ENSTGUP00000000001	SINCAM013965
ENSTGUP00000000002	SINCAM010179
ENSTGUP00000000004	SINCAM010120
ENSTGUP00000000005	SINCAM013967
ENSTGUP00000000009	SINCAM014983
ENSTGUP00000000010	SINCAM001441
ENSTGUP00000000011	SINCAM001440
ENSTGUP00000000012	SINCAM001439
ENSTGUP00000000014	SINCAM014002
ENSTGUP00000000017	SINCAM004629
ENSTGUP00000000018	SINCAM010118
ENSTGUP00000000020	SINCAM922743
ENSTGUP00000000021	SINCAM014013
ENSTGUP00000000022	SINCAM014014
ENSTGUP00000000024	SINCAM001437
ENSTGUP00000000025	SINCAM013985
ENSTGUP00000000028	SINCAM001436
ENSTGUP00000000029	SINCAM010132
ENSTGUP00000000030	SINCAM012718
ENSTGUP00000000031	SINCAM001434
ENSTGUP00000000032	SINCAM001433
ENSTGUP00000000034	SINCAM013987
ENSTGUP00000000036	SINCAM012719
ENSTGUP00000000037	SINCAM013982
ENSTGUP00000000038	SINCAM010127
ENSTGUP00000000040	SINCAM001431
ENSTGUP00000000041	SINCAM001430
ENSTGUP00000000042	SINCAM002775
ENSTGUP00000000044	SINCAM010139
ENSTGUP00000000045	SINCAM012730
ENSTGUP00000000047	SINCAM014011
ENSTGUP00000000048	SINCAM012729
ENSTGUP00000000049	SINCAM002776
ENSTGUP00000000050	SINCAM001429
ENSTGUP00000000052	SINCAM922632
ENSTGUP00000000053	SINCAM013931
ENSTGUP00000000054	SINCAM012728
ENSTGUP00000000055	SINCAM013043
ENSTGUP00000000056	SINCAM922732
ENSTGUP00000000057	SINCAM922742
ENSTGUP00000000058	SINCAM001426
ENSTGUP00000000059	SINCAM003058
ENSTGUP00000000060	SINCAM015923
ENSTGUP00000000061	SINCAM013926
ENSTGUP00000000063	SINCAM014041
ENSTGUP00000000064	SINCAM012711
ENSTGUP00000000066	SINCAM010141
ENSTGUP00000000068	SINCAM001428
ENSTGUP00000000070	SINCAM002790
ENSTGUP00000000072	SINCAM013927
ENSTGUP00000000074	SINCAM012843
ENSTGUP00000000076	SINCAM010142
ENSTGUP00000000080	SINCAM922730
ENSTGUP00000000081	SINCAM922443
ENSTGUP00000000082	SINCAM010143
ENSTGUP00000000085	SINCAM012727
ENSTGUP00000000086	SINCAM012710
ENSTGUP00000000088	SINCAM010214
ENSTGUP00000000089	SINCAM012720
ENSTGUP00000000090	SINCAM920593
ENSTGUP00000000094	SINCAM014686
ENSTGUP00000000095	SINCAM000061
ENSTGUP00000000099	SINCAM013929
ENSTGUP00000000101	SINCAM012722
ENSTGUP00000000103	SINCAM000055
ENSTGUP00000000105	SINCAM012839
ENSTGUP00000000106	SINCAM000736
ENSTGUP00000000107	SINCAM013947
ENSTGUP00000000111	SINCAM921948
ENSTGUP00000000112	SINCAM000801
ENSTGUP00000000113	SINCAM013945
ENSTGUP00000000115	SINCAM013944
ENSTGUP00000000117	SINCAM002781
ENSTGUP00000000119	SINCAM013901
ENSTGUP00000000120	SINCAM010200
ENSTGUP00000000121	SINCAM012786
ENSTGUP00000000124	SINCAM013900
ENSTGUP00000000128	SINCAM009969
ENSTGUP00000000129	SINCAM000804
ENSTGUP00000000130	SINCAM000805
ENSTGUP00000000131	SINCAM000806
ENSTGUP00000000134	SINCAM000807
ENSTGUP00000000135	SINCAM009967
ENSTGUP00000000136	SINCAM012751
ENSTGUP00000000137	SINCAM012748
ENSTGUP00000000138	SINCAM013917
ENSTGUP00000000140	SINCAM012747
ENSTGUP00000000141	SINCAM013997
ENSTGUP00000000142	SINCAM002780
ENSTGUP00000000147	SINCAM009966
ENSTGUP00000000151	SINCAM013998
ENSTGUP00000000154	SINCAM000835
ENSTGUP00000000155	SINCAM012744
ENSTGUP00000000157	SINCAM002782
ENSTGUP00000000159	SINCAM922362
ENSTGUP00000000161	SINCAM922363
ENSTGUP00000000162	SINCAM013977
ENSTGUP00000000163	SINCAM012746
ENSTGUP00000000164	SINCAM002785
ENSTGUP00000000165	SINCAM922735
ENSTGUP00000000166	SINCAM010213
ENSTGUP00000000167	SINCAM012883
ENSTGUP00000000168	SINCAM012882
ENSTGUP00000000169	SINCAM000084
ENSTGUP00000000171	SINCAM009929
ENSTGUP00000000172	SINCAM002784
ENSTGUP00000000176	SINCAM009928
ENSTGUP00000000177	SINCAM922483
ENSTGUP00000000178	SINCAM000386
ENSTGUP00000000179	SINCAM000325
ENSTGUP00000000180	SINCAM013980
ENSTGUP00000000181	SINCAM922481
ENSTGUP00000000182	SINCAM012868
ENSTGUP00000000183	SINCAM013981
ENSTGUP00000000184	SINCAM013956
ENSTGUP00000000185	SINCAM002786
ENSTGUP00000000187	SINCAM009927
ENSTGUP00000000189	SINCAM012866
ENSTGUP00000000190	SINCAM013957
