SINCAM006004	ENSP00000001008
SINCAM010124	ENSP00000001146
SINCAM003502	ENSP00000002125
SINCAM002886	ENSP00000002165
SINCAM920492	ENSP00000002596
SINCAM009749	ENSP00000002829
SINCAM005837	ENSP00000003084
SINCAM002209	ENSP00000003100
SINCAM013947	ENSP00000003302
SINCAM000577	ENSP00000004531
SINCAM014149	ENSP00000004980
SINCAM011598	ENSP00000005226
SINCAM001684	ENSP00000005257
SINCAM011227	ENSP00000005260
SINCAM009154	ENSP00000005340
SINCAM005724	ENSP00000005386
SINCAM001981	ENSP00000005587
SINCAM012407	ENSP00000006658
SINCAM900280	ENSP00000006777
SINCAM013390	ENSP00000007722
SINCAM017663	ENSP00000007969
SINCAM003313	ENSP00000008391
SINCAM005625	ENSP00000008527
SINCAM002258	ENSP00000009041
SINCAM012182	ENSP00000009105
SINCAM010274	ENSP00000009530
SINCAM008957	ENSP00000010299
SINCAM006150	ENSP00000011292
SINCAM006034	ENSP00000011473
SINCAM920666	ENSP00000011619
SINCAM005620	ENSP00000011898
SINCAM016659	ENSP00000012049
SINCAM008074	ENSP00000013070
SINCAM008197	ENSP00000013125
SINCAM014769	ENSP00000014914
SINCAM014782	ENSP00000014930
SINCAM007294	ENSP00000016171
SINCAM012443	ENSP00000017003
SINCAM002660	ENSP00000019317
SINCAM007090	ENSP00000020673
SINCAM011468	ENSP00000020926
SINCAM010482	ENSP00000023064
SINCAM922438	ENSP00000023939
SINCAM002641	ENSP00000024061
SINCAM002526	ENSP00000025008
SINCAM004265	ENSP00000025301
SINCAM922025	ENSP00000026218
SINCAM920779	ENSP00000027335
SINCAM009947	ENSP00000033079
SINCAM002775	ENSP00000035307
SINCAM005054	ENSP00000035383
SINCAM010425	ENSP00000037243
SINCAM920861	ENSP00000037502
SINCAM004625	ENSP00000039007
SINCAM011659	ENSP00000039989
SINCAM016450	ENSP00000040663
SINCAM010078	ENSP00000040738
SINCAM003453	ENSP00000040877
SINCAM922031	ENSP00000043402
SINCAM013280	ENSP00000044462
SINCAM921792	ENSP00000046087
SINCAM010176	ENSP00000046794
SINCAM005693	ENSP00000052754
SINCAM011322	ENSP00000053243
SINCAM003856	ENSP00000053468
SINCAM002022	ENSP00000053867
SINCAM013828	ENSP00000054650
SINCAM013824	ENSP00000054666
SINCAM011724	ENSP00000054950
SINCAM008586	ENSP00000055077
