ENSMUSP00000025288	ENSMUSP00000105282
ENSMUSP00000105282	ENSMUSP00000025288
ENSMUSP00000102991	ENSMUSP00000018989
ENSMUSP00000018989	ENSMUSP00000102991
ENSMUSP00000018466	ENSMUSP00000047335
ENSMUSP00000047335	ENSMUSP00000018466
ENSMUSP00000014505	ENSMUSP00000028763
ENSMUSP00000028763	ENSMUSP00000014505
ENSMUSP00000014505	ENSMUSP00000002677
ENSMUSP00000002677	ENSMUSP00000014505
ENSMUSP00000028763	ENSMUSP00000002677
ENSMUSP00000002677	ENSMUSP00000028763
ENSMUSP00000035203	ENSMUSP00000111103
ENSMUSP00000111103	ENSMUSP00000035203
ENSMUSP00000033610	ENSMUSP00000015484
ENSMUSP00000015484	ENSMUSP00000033610
ENSMUSP00000033610	ENSMUSP00000024565
ENSMUSP00000024565	ENSMUSP00000033610
ENSMUSP00000015484	ENSMUSP00000024565
ENSMUSP00000024565	ENSMUSP00000015484
ENSMUSP00000133649	ENSMUSP00000138399
ENSMUSP00000138399	ENSMUSP00000133649
ENSMUSP00000024829	ENSMUSP00000124647
ENSMUSP00000124647	ENSMUSP00000024829
ENSMUSP00000035246	ENSMUSP00000069495
ENSMUSP00000069495	ENSMUSP00000035246
ENSMUSP00000113675	ENSMUSP00000111483
ENSMUSP00000111483	ENSMUSP00000113675
ENSMUSP00000113675	ENSMUSP00000034840
ENSMUSP00000034840	ENSMUSP00000113675
ENSMUSP00000113675	ENSMUSP00000029784
ENSMUSP00000029784	ENSMUSP00000113675
ENSMUSP00000111483	ENSMUSP00000034840
ENSMUSP00000034840	ENSMUSP00000111483
ENSMUSP00000111483	ENSMUSP00000029784
ENSMUSP00000029784	ENSMUSP00000111483
ENSMUSP00000034840	ENSMUSP00000029784
ENSMUSP00000029784	ENSMUSP00000034840
ENSMUSP00000110574	ENSMUSP00000107079
ENSMUSP00000107079	ENSMUSP00000110574
ENSMUSP00000005606	ENSMUSP00000005164
ENSMUSP00000005164	ENSMUSP00000005606
ENSMUSP00000130759	ENSMUSP00000028311
ENSMUSP00000028311	ENSMUSP00000130759
ENSMUSP00000069259	ENSMUSP00000096248
ENSMUSP00000096248	ENSMUSP00000069259
ENSMUSP00000069259	ENSMUSP00000110425
ENSMUSP00000110425	ENSMUSP00000069259
ENSMUSP00000069259	ENSMUSP00000005064
ENSMUSP00000005064	ENSMUSP00000069259
ENSMUSP00000096248	ENSMUSP00000110425
ENSMUSP00000110425	ENSMUSP00000096248
ENSMUSP00000096248	ENSMUSP00000005064
ENSMUSP00000005064	ENSMUSP00000096248
ENSMUSP00000110425	ENSMUSP00000005064
ENSMUSP00000005064	ENSMUSP00000110425
ENSMUSP00000124863	ENSMUSP00000105409
ENSMUSP00000105409	ENSMUSP00000124863
ENSMUSP00000088642	ENSMUSP00000059272
ENSMUSP00000059272	ENSMUSP00000088642
ENSMUSP00000088642	ENSMUSP00000044730
ENSMUSP00000044730	ENSMUSP00000088642
ENSMUSP00000088642	ENSMUSP00000051353
ENSMUSP00000051353	ENSMUSP00000088642
ENSMUSP00000059272	ENSMUSP00000044730
ENSMUSP00000044730	ENSMUSP00000059272
ENSMUSP00000059272	ENSMUSP00000051353
ENSMUSP00000051353	ENSMUSP00000059272
ENSMUSP00000044730	ENSMUSP00000051353
ENSMUSP00000051353	ENSMUSP00000044730
