ENSMGAP00000004051	fgenesh2_pg.scaffold_351000043
ENSMGAP00000003422	fgenesh2_pg.scaffold_352000001
ENSMGAP00000006312	fgenesh2_pg.scaffold_352000004
ENSMGAP00000015233	fgenesh2_pg.scaffold_352000005
ENSMGAP00000017332	fgenesh2_pg.scaffold_353000010
ENSMGAP00000015946	fgenesh2_pg.scaffold_353000014
ENSMGAP00000001738	fgenesh2_pg.scaffold_353000019
ENSMGAP00000014258	fgenesh2_pg.scaffold_353000019
ENSMGAP00000014721	fgenesh2_pg.scaffold_354000021
ENSMGAP00000015203	fgenesh2_pg.scaffold_355000001
ENSMGAP00000011082	fgenesh2_pg.scaffold_355000016
ENSMGAP00000007076	fgenesh2_pg.scaffold_355000026
ENSMGAP00000005647	fgenesh2_pg.scaffold_355000037
ENSMGAP00000007983	fgenesh2_pg.scaffold_355000054
ENSMGAP00000012372	fgenesh2_pg.scaffold_356000023
ENSMGAP00000018950	fgenesh2_pg.scaffold_357000006
ENSMGAP00000007958	fgenesh2_pg.scaffold_357000006
ENSMGAP00000015895	fgenesh2_pg.scaffold_359000018
ENSMGAP00000017199	fgenesh2_pg.scaffold_359000049
ENSMGAP00000004159	fgenesh2_pg.scaffold_360000041
ENSMGAP00000015428	fgenesh2_pg.scaffold_360000052
ENSMGAP00000000650	fgenesh2_pg.scaffold_361000015
ENSMGAP00000015900	fgenesh2_pg.scaffold_361000021
ENSMGAP00000011384	fgenesh2_pg.scaffold_361000021
ENSMGAP00000003142	fgenesh2_pg.scaffold_361000038
ENSMGAP00000013840	fgenesh2_pg.scaffold_361000050
ENSMGAP00000015194	fgenesh2_pg.scaffold_362000008
ENSMGAP00000010614	fgenesh2_pg.scaffold_363000036
ENSMGAP00000011555	fgenesh2_pg.scaffold_364000023
ENSMGAP00000014487	fgenesh2_pg.scaffold_364000027
ENSMGAP00000010000	fgenesh2_pg.scaffold_364000053
ENSMGAP00000007687	fgenesh2_pg.scaffold_367000002
ENSMGAP00000009914	fgenesh2_pg.scaffold_367000019
ENSMGAP00000004372	fgenesh2_pg.scaffold_367000027
ENSMGAP00000009694	fgenesh2_pg.scaffold_368000003
ENSMGAP00000000353	fgenesh2_pg.scaffold_369000015
ENSMGAP00000012948	fgenesh2_pg.scaffold_369000029
ENSMGAP00000002122	fgenesh2_pg.scaffold_370000006
ENSMGAP00000009655	fgenesh2_pg.scaffold_371000053
ENSMGAP00000010063	fgenesh2_pg.scaffold_371000061
ENSMGAP00000000207	fgenesh2_pg.scaffold_372000004
ENSMGAP00000011146	fgenesh2_pg.scaffold_374000029
ENSMGAP00000007150	fgenesh2_pg.scaffold_374000029
ENSMGAP00000015324	fgenesh2_pg.scaffold_374000038
ENSMGAP00000004068	fgenesh2_pg.scaffold_374000042
ENSMGAP00000001295	fgenesh2_pg.scaffold_374000042
ENSMGAP00000017624	fgenesh2_pg.scaffold_375000002
ENSMGAP00000000986	fgenesh2_pg.scaffold_375000019
ENSMGAP00000003057	fgenesh2_pg.scaffold_375000019
ENSMGAP00000014559	fgenesh2_pg.scaffold_376000057
ENSMGAP00000014367	fgenesh2_pg.scaffold_377000020
ENSMGAP00000010076	fgenesh2_pg.scaffold_377000035
ENSMGAP00000019822	fgenesh2_pg.scaffold_378000021
ENSMGAP00000006532	fgenesh2_pg.scaffold_379000018
ENSMGAP00000018174	fgenesh2_pg.scaffold_379000044
ENSMGAP00000009862	fgenesh2_pg.scaffold_380000008
ENSMGAP00000012442	fgenesh2_pg.scaffold_380000008
ENSMGAP00000013408	fgenesh2_pg.scaffold_380000008
ENSMGAP00000014922	fgenesh2_pg.scaffold_380000036
ENSMGAP00000013774	fgenesh2_pg.scaffold_381000020
ENSMGAP00000001539	fgenesh2_pg.scaffold_381000020
ENSMGAP00000001588	fgenesh2_pg.scaffold_381000021
ENSMGAP00000014026	fgenesh2_pg.scaffold_381000034
ENSMGAP00000006814	fgenesh2_pg.scaffold_382000007
ENSMGAP00000000943	fgenesh2_pg.scaffold_383000011
ENSMGAP00000017940	fgenesh2_pg.scaffold_384000004
ENSMGAP00000006899	fgenesh2_pg.scaffold_384000024
ENSMGAP00000002025	fgenesh2_pg.scaffold_384000041
ENSMGAP00000007137	fgenesh2_pg.scaffold_384000041
ENSMGAP00000000448	fgenesh2_pg.scaffold_385000013
ENSMGAP00000001358	fgenesh2_pg.scaffold_385000014
ENSMGAP00000012988	fgenesh2_pg.scaffold_385000017
ENSMGAP00000012928	fgenesh2_pg.scaffold_385000018
ENSMGAP00000015237	fgenesh2_pg.scaffold_386000031
ENSMGAP00000010773	fgenesh2_pg.scaffold_386000031
ENSMGAP00000015327	fgenesh2_pg.scaffold_386000031
ENSMGAP00000015437	fgenesh2_pg.scaffold_386000031
ENSMGAP00000011979	fgenesh2_pg.scaffold_386000031
ENSMGAP00000012658	fgenesh2_pg.scaffold_386000033
ENSMGAP00000001634	fgenesh2_pg.scaffold_388000003
ENSMGAP00000006930	fgenesh2_pg.scaffold_388000032
ENSMGAP00000006936	fgenesh2_pg.scaffold_388000032
ENSMGAP00000005764	fgenesh2_pg.scaffold_388000033
ENSMGAP00000014624	fgenesh2_pg.scaffold_389000024
ENSMGAP00000002703	fgenesh2_pg.scaffold_391000010
ENSMGAP00000007320	fgenesh2_pg.scaffold_391000010
ENSMGAP00000005364	fgenesh2_pg.scaffold_391000023
ENSMGAP00000013020	fgenesh2_pg.scaffold_391000033
ENSMGAP00000019618	fgenesh2_pg.scaffold_393000001
ENSMGAP00000011949	fgenesh2_pg.scaffold_395000037
ENSMGAP00000011685	fgenesh2_pg.scaffold_396000027
ENSMGAP00000013178	fgenesh2_pg.scaffold_396000027
ENSMGAP00000012448	fgenesh2_pg.scaffold_398000059
ENSMGAP00000002142	fgenesh2_pg.scaffold_400000031
ENSMGAP00000011107	fgenesh2_pg.scaffold_402000006
ENSMGAP00000014767	fgenesh2_pg.scaffold_402000021
ENSMGAP00000005589	fgenesh2_pg.scaffold_402000028
ENSMGAP00000018408	fgenesh2_pg.scaffold_403000003
ENSMGAP00000009661	fgenesh2_pg.scaffold_403000008
ENSMGAP00000004634	fgenesh2_pg.scaffold_403000022
ENSMGAP00000010650	fgenesh2_pg.scaffold_403000023
ENSMGAP00000006179	fgenesh2_pg.scaffold_403000023
ENSMGAP00000015341	fgenesh2_pg.scaffold_403000025
ENSMGAP00000015297	fgenesh2_pg.scaffold_404000038
ENSMGAP00000000872	fgenesh2_pg.scaffold_405000003
ENSMGAP00000001009	fgenesh2_pg.scaffold_406000014
ENSMGAP00000018363	fgenesh2_pg.scaffold_406000028
ENSMGAP00000010200	fgenesh2_pg.scaffold_407000028
ENSMGAP00000017412	fgenesh2_pg.scaffold_407000039
ENSMGAP00000017428	fgenesh2_pg.scaffold_408000010
ENSMGAP00000013157	fgenesh2_pg.scaffold_410000005
ENSMGAP00000003725	fgenesh2_pg.scaffold_410000008
ENSMGAP00000015693	fgenesh2_pg.scaffold_410000011
ENSMGAP00000018992	fgenesh2_pg.scaffold_410000024
ENSMGAP00000006070	fgenesh2_pg.scaffold_410000031
ENSMGAP00000009496	fgenesh2_pg.scaffold_410000031
ENSMGAP00000018810	fgenesh2_pg.scaffold_410000031
ENSMGAP00000008653	fgenesh2_pg.scaffold_411000041
ENSMGAP00000011952	fgenesh2_pg.scaffold_412000032
ENSMGAP00000005237	fgenesh2_pg.scaffold_413000015
ENSMGAP00000011393	fgenesh2_pg.scaffold_413000023
ENSMGAP00000000955	fgenesh2_pg.scaffold_413000024
ENSMGAP00000008344	fgenesh2_pg.scaffold_413000026
ENSMGAP00000004922	fgenesh2_pg.scaffold_414000003
ENSMGAP00000003548	fgenesh2_pg.scaffold_414000023
ENSMGAP00000018386	fgenesh2_pg.scaffold_415000003
ENSMGAP00000009708	fgenesh2_pg.scaffold_415000039
ENSMGAP00000006210	fgenesh2_pg.scaffold_416000004
ENSMGAP00000009175	fgenesh2_pg.scaffold_416000027
ENSMGAP00000009178	fgenesh2_pg.scaffold_416000027
