SINCAM000007	SINLEJ008012
SINCAM000008	SINLEJ006281
SINCAM000010	SINLEJ006238
SINCAM000017	SINLEJ018457
SINCAM000025	SINLEJ010513
SINCAM000025	SINLEJ006455
SINCAM000026	SINLEJ010512
SINCAM000029	SINLEJ005780
SINCAM000032	SINLEJ010633
SINCAM000036	SINLEJ006403
SINCAM000037	SINLEJ006401
SINCAM000037	SINLEJ010643
SINCAM000039	SINLEJ010640
SINCAM000040	SINLEJ005679
SINCAM000040	SINLEJ005678
SINCAM000044	SINLEJ006131
SINCAM000044	SINLEJ006132
SINCAM000045	SINLEJ004587
SINCAM000047	SINLEJ010525
SINCAM000049	SINLEJ010645
SINCAM000049	SINLEJ006495
SINCAM000051	SINLEJ010647
SINCAM000051	SINLEJ015476
SINCAM000058	SINLEJ004209
SINCAM000058	SINLEJ004210
SINCAM000059	SINLEJ004212
SINCAM000063	SINLEJ010626
SINCAM000064	SINLEJ010625
SINCAM000064	SINLEJ006649
SINCAM000068	SINLEJ006128
SINCAM000068	SINLEJ005715
SINCAM000069	SINLEJ004362
SINCAM000070	SINLEJ004361
SINCAM000071	SINLEJ004275
SINCAM000071	SINLEJ004274
SINCAM000075	SINLEJ010549
SINCAM000077	SINLEJ010556
SINCAM000078	SINLEJ006299
SINCAM000078	SINLEJ006298
SINCAM000079	SINLEJ006297
SINCAM000081	SINLEJ006542
SINCAM000082	SINLEJ013508
SINCAM000083	SINLEJ012521
SINCAM000083	SINLEJ002915
SINCAM000084	SINLEJ012516
SINCAM000100	SINLEJ017349
SINCAM000102	SINLEJ019028
SINCAM000103	SINLEJ019029
SINCAM000103	SINLEJ011659
SINCAM000104	SINLEJ004537
SINCAM000106	SINLEJ005187
SINCAM000106	SINLEJ016842
SINCAM000112	SINLEJ015475
SINCAM000112	SINLEJ010648
SINCAM000116	SINLEJ005674
SINCAM000123	SINLEJ017601
SINCAM000123	SINLEJ012471
SINCAM000125	SINLEJ006274
SINCAM000125	SINLEJ006275
SINCAM000127	SINLEJ008999
SINCAM000130	SINLEJ014091
SINCAM000130	SINLEJ006391
SINCAM000131	SINLEJ003009
SINCAM000131	SINLEJ003010
SINCAM000132	SINLEJ006235
SINCAM000132	SINLEJ006236
SINCAM000133	SINLEJ006234
SINCAM000133	SINLEJ014099
SINCAM000134	SINLEJ018705
SINCAM000135	SINLEJ013927
SINCAM000136	SINLEJ004483
SINCAM000140	SINLEJ013483
SINCAM000141	SINLEJ018543
SINCAM000143	SINLEJ004524
SINCAM000147	SINLEJ015425
SINCAM000148	SINLEJ015825
SINCAM000149	SINLEJ015460
SINCAM000151	SINLEJ006625
SINCAM000152	SINLEJ010515
SINCAM000153	SINLEJ005747
SINCAM000153	SINLEJ005738
SINCAM000155	SINLEJ006412
SINCAM000155	SINLEJ006267
SINCAM000159	SINLEJ010705
SINCAM000161	SINLEJ017896
SINCAM000162	SINLEJ004341
SINCAM000163	SINLEJ004342
SINCAM000164	SINLEJ004424
SINCAM000165	SINLEJ011924
SINCAM000172	SINLEJ010607
SINCAM000172	SINLEJ006499
SINCAM000174	SINLEJ010606
SINCAM000175	SINLEJ010605
SINCAM000178	SINLEJ004448
SINCAM000179	SINLEJ004445
SINCAM000179	SINLEJ004446
SINCAM000180	SINLEJ015132
SINCAM000180	SINLEJ004444
SINCAM000184	SINLEJ004438
SINCAM000186	SINLEJ019187
SINCAM000186	SINLEJ005882
SINCAM000191	SINLEJ006158
SINCAM000192	SINLEJ006986
SINCAM000192	SINLEJ006987
SINCAM000193	SINLEJ006164
SINCAM000193	SINLEJ006165
SINCAM000194	SINLEJ003007
SINCAM000194	SINLEJ006159
SINCAM000196	SINLEJ006172
SINCAM000197	SINLEJ006226
SINCAM000199	SINLEJ010669
SINCAM000199	SINLEJ006489
SINCAM000200	SINLEJ015436
SINCAM000200	SINLEJ010692
SINCAM000201	SINLEJ006476
SINCAM000201	SINLEJ006474
SINCAM000203	SINLEJ004746
SINCAM000204	SINLEJ006516
SINCAM000204	SINLEJ010561
SINCAM000205	SINLEJ006193
SINCAM000205	SINLEJ006194
SINCAM000209	SINLEJ006187
SINCAM000209	SINLEJ006188
SINCAM000210	SINLEJ007028
SINCAM000214	SINLEJ006280
SINCAM000215	SINLEJ017724
SINCAM000216	SINLEJ000230
SINCAM000216	SINLEJ017169
SINCAM000218	SINLEJ007116
SINCAM000218	SINLEJ007117
SINCAM000221	SINLEJ006262
SINCAM000221	SINLEJ019058
SINCAM000222	SINLEJ006290
SINCAM000224	SINLEJ006292
SINCAM000225	SINLEJ006294
SINCAM000228	SINLEJ600300
SINCAM000228	SINLEJ006241
SINCAM000232	SINLEJ017429
SINCAM000232	SINLEJ007147
SINCAM000234	SINLEJ017427
SINCAM000234	SINLEJ006247
SINCAM000235	SINLEJ003022
SINCAM000235	SINLEJ003023
SINCAM000236	SINLEJ003039
SINCAM000236	SINLEJ006758
SINCAM000237	SINLEJ014080
SINCAM000237	SINLEJ014079
SINCAM000238	SINLEJ006337
SINCAM000238	SINLEJ006335
SINCAM000239	SINLEJ006329
SINCAM000239	SINLEJ006328
SINCAM000241	SINLEJ006346
SINCAM000241	SINLEJ007127
SINCAM000243	SINLEJ006347
SINCAM000244	SINLEJ006374
SINCAM000247	SINLEJ006254
SINCAM000247	SINLEJ009428
SINCAM000248	SINLEJ007129
SINCAM000249	SINLEJ006342
SINCAM000250	SINLEJ006258
SINCAM000250	SINLEJ002837
SINCAM000251	SINLEJ006485
SINCAM000251	SINLEJ006484
SINCAM000254	SINLEJ006273
SINCAM000256	SINLEJ010595
SINCAM000260	SINLEJ008504
SINCAM000261	SINLEJ003727
SINCAM000261	SINLEJ016940
SINCAM000263	SINLEJ007322
SINCAM000264	SINLEJ004336
SINCAM000265	SINLEJ012527
SINCAM000268	SINLEJ004557
SINCAM000272	SINLEJ004574
