ENSLOCP00000011371	ENSLOCP00000009128
ENSLOCP00000009128	ENSLOCP00000011371
ENSLOCP00000007725	ENSLOCP00000009060
ENSLOCP00000009060	ENSLOCP00000007725
ENSLOCP00000018593	ENSLOCP00000011472
ENSLOCP00000011472	ENSLOCP00000018593
ENSLOCP00000009147	ENSLOCP00000011869
ENSLOCP00000011869	ENSLOCP00000009147
ENSLOCP00000020429	ENSLOCP00000017457
ENSLOCP00000017457	ENSLOCP00000020429
ENSLOCP00000004161	ENSLOCP00000007780
ENSLOCP00000007780	ENSLOCP00000004161
ENSLOCP00000018831	ENSLOCP00000009530
ENSLOCP00000009530	ENSLOCP00000018831
ENSLOCP00000018831	ENSLOCP00000020825
ENSLOCP00000020825	ENSLOCP00000018831
ENSLOCP00000009530	ENSLOCP00000020825
ENSLOCP00000020825	ENSLOCP00000009530
ENSLOCP00000020267	ENSLOCP00000020273
ENSLOCP00000020273	ENSLOCP00000020267
ENSLOCP00000016575	ENSLOCP00000013950
ENSLOCP00000013950	ENSLOCP00000016575
ENSLOCP00000006610	ENSLOCP00000018635
ENSLOCP00000018635	ENSLOCP00000006610
ENSLOCP00000006610	ENSLOCP00000007870
ENSLOCP00000007870	ENSLOCP00000006610
ENSLOCP00000018635	ENSLOCP00000007870
ENSLOCP00000007870	ENSLOCP00000018635
ENSLOCP00000019319	ENSLOCP00000007227
ENSLOCP00000007227	ENSLOCP00000019319
ENSLOCP00000012214	ENSLOCP00000010181
ENSLOCP00000010181	ENSLOCP00000012214
ENSLOCP00000011625	ENSLOCP00000008648
ENSLOCP00000008648	ENSLOCP00000011625
ENSLOCP00000019190	ENSLOCP00000007649
ENSLOCP00000007649	ENSLOCP00000019190
ENSLOCP00000007747	ENSLOCP00000001624
ENSLOCP00000001624	ENSLOCP00000007747
ENSLOCP00000007747	ENSLOCP00000000941
ENSLOCP00000000941	ENSLOCP00000007747
ENSLOCP00000001624	ENSLOCP00000000941
ENSLOCP00000000941	ENSLOCP00000001624
ENSLOCP00000017180	ENSLOCP00000008030
ENSLOCP00000008030	ENSLOCP00000017180
ENSLOCP00000017180	ENSLOCP00000007201
ENSLOCP00000007201	ENSLOCP00000017180
ENSLOCP00000008030	ENSLOCP00000007201
ENSLOCP00000007201	ENSLOCP00000008030
ENSLOCP00000005887	ENSLOCP00000018808
ENSLOCP00000018808	ENSLOCP00000005887
ENSLOCP00000001010	ENSLOCP00000019922
ENSLOCP00000019922	ENSLOCP00000001010
ENSLOCP00000001010	ENSLOCP00000004833
ENSLOCP00000004833	ENSLOCP00000001010
ENSLOCP00000001010	ENSLOCP00000013825
ENSLOCP00000013825	ENSLOCP00000001010
ENSLOCP00000019922	ENSLOCP00000004833
ENSLOCP00000004833	ENSLOCP00000019922
ENSLOCP00000019922	ENSLOCP00000013825
ENSLOCP00000013825	ENSLOCP00000019922
ENSLOCP00000004833	ENSLOCP00000013825
ENSLOCP00000013825	ENSLOCP00000004833
ENSLOCP00000000639	ENSLOCP00000008038
ENSLOCP00000008038	ENSLOCP00000000639
ENSLOCP00000002259	ENSLOCP00000021479
ENSLOCP00000021479	ENSLOCP00000002259
ENSLOCP00000002259	ENSLOCP00000021480
ENSLOCP00000021480	ENSLOCP00000002259
ENSLOCP00000002259	ENSLOCP00000002272
ENSLOCP00000002272	ENSLOCP00000002259
