ENSMODP00000003608	ENSMODP00000016222
ENSMODP00000016222	ENSMODP00000003608
ENSMODP00000020505	ENSMODP00000024085
ENSMODP00000024085	ENSMODP00000020505
ENSMODP00000012374	ENSMODP00000016247
ENSMODP00000016247	ENSMODP00000012374
ENSMODP00000024314	ENSMODP00000023878
ENSMODP00000023878	ENSMODP00000024314
ENSMODP00000028608	ENSMODP00000000113
ENSMODP00000000113	ENSMODP00000028608
ENSMODP00000028608	ENSMODP00000031323
ENSMODP00000031323	ENSMODP00000028608
ENSMODP00000000113	ENSMODP00000031323
ENSMODP00000031323	ENSMODP00000000113
ENSMODP00000015454	ENSMODP00000019742
ENSMODP00000019742	ENSMODP00000015454
ENSMODP00000005540	ENSMODP00000003267
ENSMODP00000003267	ENSMODP00000005540
ENSMODP00000026393	ENSMODP00000010124
ENSMODP00000010124	ENSMODP00000026393
ENSMODP00000026284	ENSMODP00000016589
ENSMODP00000016589	ENSMODP00000026284
ENSMODP00000028394	ENSMODP00000000677
ENSMODP00000000677	ENSMODP00000028394
ENSMODP00000023901	ENSMODP00000000363
ENSMODP00000000363	ENSMODP00000023901
ENSMODP00000023901	ENSMODP00000036724
ENSMODP00000036724	ENSMODP00000023901
ENSMODP00000023901	ENSMODP00000023578
ENSMODP00000023578	ENSMODP00000023901
ENSMODP00000000363	ENSMODP00000036724
ENSMODP00000036724	ENSMODP00000000363
ENSMODP00000000363	ENSMODP00000023578
ENSMODP00000023578	ENSMODP00000000363
ENSMODP00000036724	ENSMODP00000023578
ENSMODP00000023578	ENSMODP00000036724
ENSMODP00000020923	ENSMODP00000024842
ENSMODP00000024842	ENSMODP00000020923
ENSMODP00000015141	ENSMODP00000000650
ENSMODP00000000650	ENSMODP00000015141
ENSMODP00000030326	ENSMODP00000021625
ENSMODP00000021625	ENSMODP00000030326
ENSMODP00000028954	ENSMODP00000034686
ENSMODP00000034686	ENSMODP00000028954
ENSMODP00000028954	ENSMODP00000004064
ENSMODP00000004064	ENSMODP00000028954
ENSMODP00000028954	ENSMODP00000019536
ENSMODP00000019536	ENSMODP00000028954
ENSMODP00000028954	ENSMODP00000000916
ENSMODP00000000916	ENSMODP00000028954
ENSMODP00000034686	ENSMODP00000004064
ENSMODP00000004064	ENSMODP00000034686
ENSMODP00000034686	ENSMODP00000019536
ENSMODP00000019536	ENSMODP00000034686
ENSMODP00000034686	ENSMODP00000000916
ENSMODP00000000916	ENSMODP00000034686
ENSMODP00000004064	ENSMODP00000000916
ENSMODP00000000916	ENSMODP00000004064
ENSMODP00000019536	ENSMODP00000000916
ENSMODP00000000916	ENSMODP00000019536
ENSMODP00000001331	ENSMODP00000020102
ENSMODP00000020102	ENSMODP00000001331
ENSMODP00000023121	ENSMODP00000021051
ENSMODP00000021051	ENSMODP00000023121
ENSMODP00000026600	ENSMODP00000026601
ENSMODP00000026601	ENSMODP00000026600
ENSMODP00000026600	ENSMODP00000035510
ENSMODP00000035510	ENSMODP00000026600
ENSMODP00000026600	ENSMODP00000035512
ENSMODP00000035512	ENSMODP00000026600
ENSMODP00000026601	ENSMODP00000035510
ENSMODP00000035510	ENSMODP00000026601
ENSMODP00000026601	ENSMODP00000035512
ENSMODP00000035512	ENSMODP00000026601
ENSMODP00000035510	ENSMODP00000035512
ENSMODP00000035512	ENSMODP00000035510
ENSMODP00000014612	ENSMODP00000000679
ENSMODP00000000679	ENSMODP00000014612
ENSMODP00000014612	ENSMODP00000025796
ENSMODP00000025796	ENSMODP00000014612
ENSMODP00000014612	ENSMODP00000010442
ENSMODP00000010442	ENSMODP00000014612
ENSMODP00000000679	ENSMODP00000025796
ENSMODP00000025796	ENSMODP00000000679
ENSMODP00000000679	ENSMODP00000010442
ENSMODP00000010442	ENSMODP00000000679
ENSMODP00000025796	ENSMODP00000010442
ENSMODP00000010442	ENSMODP00000025796
ENSMODP00000016379	ENSMODP00000008107
ENSMODP00000008107	ENSMODP00000016379
ENSMODP00000022950	ENSMODP00000018817
ENSMODP00000018817	ENSMODP00000022950
ENSMODP00000022950	ENSMODP00000010998
ENSMODP00000010998	ENSMODP00000022950
ENSMODP00000022950	ENSMODP00000026124
ENSMODP00000026124	ENSMODP00000022950
ENSMODP00000018817	ENSMODP00000010998
ENSMODP00000010998	ENSMODP00000018817
ENSMODP00000018817	ENSMODP00000026124
ENSMODP00000026124	ENSMODP00000018817
ENSMODP00000010998	ENSMODP00000026124
ENSMODP00000026124	ENSMODP00000010998
ENSMODP00000019519	ENSMODP00000011474
ENSMODP00000011474	ENSMODP00000019519
ENSMODP00000002091	ENSMODP00000009649
ENSMODP00000009649	ENSMODP00000002091
ENSMODP00000002091	ENSMODP00000011306
ENSMODP00000011306	ENSMODP00000002091
ENSMODP00000026122	ENSMODP00000010914
ENSMODP00000010914	ENSMODP00000026122
ENSMODP00000026122	ENSMODP00000017143
ENSMODP00000017143	ENSMODP00000026122
ENSMODP00000010914	ENSMODP00000017143
ENSMODP00000017143	ENSMODP00000010914
ENSMODP00000023478	ENSMODP00000015235
