SINCAM012787	SINCAM922661
SINCAM920990	SINCAM011490
SINCAM001445	SINCAM012713
SINCAM921464	SINCAM012269
SINCAM922071	SINCAM009312
SINCAM010924	SINCAM920794
SINCAM011954	SINCAM920827
SINCAM014480	SINCAM922582
SINCAM013431	SINCAM002165
SINCAM922013	SINCAM012370
SINCAM014558	SINCAM007930
SINCAM001691	SINCAM013437
SINCAM007929	SINCAM005384
SINCAM009012	SINCAM002869
SINCAM010031	SINCAM921166
SINCAM015249	SINCAM923143
SINCAM013110	SINCAM001007
SINCAM009969	SINCAM920497
SINCAM003829	SINCAM003155
SINCAM001436	SINCAM012796
SINCAM000424	SINCAM009942
SINCAM006687	SINCAM012481
SINCAM001782	SINCAM017811
SINCAM001086	SINCAM015732
SINCAM003097	SINCAM003382
SINCAM005086	SINCAM000973
SINCAM001775	SINCAM920554
SINCAM001975	SINCAM001974
SINCAM008497	SINCAM016223
SINCAM003353	SINCAM004897
SINCAM000748	SINCAM014257
SINCAM001623	SINCAM005670
SINCAM004472	SINCAM010804
SINCAM010833	SINCAM009359
SINCAM010215	SINCAM010762
SINCAM002155	SINCAM014126
SINCAM006787	SINCAM013504
SINCAM007657	SINCAM012073
SINCAM016418	SINCAM921786
SINCAM013917	SINCAM004117
SINCAM012828	SINCAM001428
SINCAM014568	SINCAM015066
SINCAM013962	SINCAM900012
SINCAM009467	SINCAM009399
SINCAM014641	SINCAM014586
SINCAM009020	SINCAM921250
SINCAM006916	SINCAM922218
SINCAM012274	SINCAM005756
SINCAM921712	SINCAM003040
SINCAM011861	SINCAM002498
SINCAM005838	SINCAM006176
SINCAM016113	SINCAM001992
SINCAM002873	SINCAM013757
SINCAM012363	SINCAM921218
SINCAM014578	SINCAM012663
SINCAM921135	SINCAM010694
SINCAM011774	SINCAM002383
SINCAM006342	SINCAM013431
SINCAM004766	SINCAM011315
SINCAM922956	SINCAM015558
SINCAM003970	SINCAM016377
SINCAM000476	SINCAM010811
SINCAM011319	SINCAM014836
SINCAM001292	SINCAM012974
SINCAM010349	SINCAM920779
SINCAM012761	SINCAM000987
SINCAM001785	SINCAM010656
SINCAM008200	SINCAM003637
SINCAM923079	SINCAM015647
SINCAM921900	SINCAM007858
SINCAM010825	SINCAM004737
SINCAM015193	SINCAM015207
SINCAM015620	SINCAM008064
SINCAM009245	SINCAM921325
SINCAM014568	SINCAM017951
SINCAM013349	SINCAM001733
SINCAM006011	SINCAM014754
SINCAM011740	SINCAM012274
SINCAM013194	SINCAM000205
SINCAM008122	SINCAM004957
SINCAM002685	SINCAM012065
SINCAM002309	SINCAM922416
SINCAM900021	SINCAM001087
SINCAM015944	SINCAM007465
SINCAM900210	SINCAM013126
SINCAM012950	SINCAM006037
SINCAM011845	SINCAM002432
SINCAM005409	SINCAM923107
SINCAM016851	SINCAM006816
SINCAM009834	SINCAM005941
SINCAM006866	SINCAM922323
SINCAM015941	SINCAM920745
SINCAM006241	SINCAM011709
SINCAM001011	SINCAM900053
SINCAM006687	SINCAM005219
SINCAM015497	SINCAM002264
SINCAM009555	SINCAM011035
SINCAM920628	SINCAM922411
SINCAM002688	SINCAM010515
SINCAM001320	SINCAM008001
SINCAM920433	SINCAM922668
SINCAM920454	SINCAM014340
SINCAM005483	SINCAM004599
SINCAM015988	SINCAM923019
SINCAM922586	SINCAM004650
SINCAM921105	SINCAM002800
SINCAM900191	SINCAM005003
SINCAM002718	SINCAM010505
SINCAM012332	SINCAM008032
SINCAM010250	SINCAM010234
SINCAM015851	SINCAM018107
SINCAM009327	SINCAM004410
SINCAM001717	SINCAM001716
SINCAM000004	SINCAM009935
SINCAM922091	SINCAM011941
SINCAM012763	SINCAM000987
SINCAM006363	SINCAM922625
SINCAM006004	SINCAM015318
SINCAM011583	SINCAM005598
SINCAM017526	SINCAM013313
SINCAM005808	SINCAM005807
SINCAM014612	SINCAM015647
SINCAM920866	SINCAM014510
SINCAM009246	SINCAM004593
SINCAM014568	SINCAM017493
SINCAM007353	SINCAM008653
SINCAM013011	SINCAM013087
SINCAM000337	SINCAM010659
SINCAM008566	SINCAM007525
SINCAM014568	SINCAM015451
SINCAM922727	SINCAM004087
SINCAM015531	SINCAM014943
SINCAM002620	SINCAM000358
SINCAM000693	SINCAM010131
SINCAM005668	SINCAM921500
SINCAM012744	SINCAM013207
SINCAM008880	SINCAM001716
SINCAM013861	SINCAM004093
SINCAM004253	SINCAM003236
SINCAM009148	SINCAM004547
SINCAM014558	SINCAM921438
SINCAM016784	SINCAM015640
SINCAM000577	SINCAM011024
SINCAM000409	SINCAM004385
SINCAM012537	SINCAM011138
SINCAM009836	SINCAM005942
SINCAM003746	SINCAM008308
SINCAM007930	SINCAM014558
SINCAM009320	SINCAM011823
SINCAM013520	SINCAM001499
SINCAM920439	SINCAM921843
SINCAM008485	SINCAM003975
SINCAM002536	SINCAM003093
SINCAM015064	SINCAM015850
SINCAM001199	SINCAM010435
SINCAM006086	SINCAM006087
SINCAM006553	SINCAM002181
SINCAM005761	SINCAM012095
SINCAM011603	SINCAM922245
SINCAM001230	SINCAM012991
SINCAM007890	SINCAM013974
SINCAM014206	SINCAM013550
SINCAM007800	SINCAM014661
SINCAM000965	SINCAM008685
SINCAM008066	SINCAM003883
SINCAM005459	SINCAM001257
SINCAM012076	SINCAM009677
SINCAM921007	SINCAM000485
SINCAM017339	SINCAM006602
SINCAM011336	SINCAM012443
SINCAM920836	SINCAM000870
SINCAM000803	SINCAM010026
SINCAM010709	SINCAM010712
