ENSCAFP00000026820	ENSCAFP00000014703
ENSCAFP00000014703	ENSCAFP00000026820
ENSCAFP00000018022	ENSCAFP00000027009
ENSCAFP00000027009	ENSCAFP00000018022
ENSCAFP00000014101	ENSCAFP00000036702
ENSCAFP00000036702	ENSCAFP00000014101
ENSCAFP00000014101	ENSCAFP00000000777
ENSCAFP00000000777	ENSCAFP00000014101
ENSCAFP00000010599	ENSCAFP00000014168
ENSCAFP00000014168	ENSCAFP00000010599
ENSCAFP00000010599	ENSCAFP00000007520
ENSCAFP00000007520	ENSCAFP00000010599
ENSCAFP00000014168	ENSCAFP00000007520
ENSCAFP00000007520	ENSCAFP00000014168
ENSCAFP00000016175	ENSCAFP00000041478
ENSCAFP00000041478	ENSCAFP00000016175
ENSCAFP00000029489	ENSCAFP00000011228
ENSCAFP00000011228	ENSCAFP00000029489
ENSCAFP00000025906	ENSCAFP00000020532
ENSCAFP00000020532	ENSCAFP00000025906
ENSCAFP00000025906	ENSCAFP00000000844
ENSCAFP00000000844	ENSCAFP00000025906
ENSCAFP00000020532	ENSCAFP00000000844
ENSCAFP00000000844	ENSCAFP00000020532
ENSCAFP00000004514	ENSCAFP00000019636
ENSCAFP00000019636	ENSCAFP00000004514
ENSCAFP00000015206	ENSCAFP00000018010
ENSCAFP00000018010	ENSCAFP00000015206
ENSCAFP00000003668	ENSCAFP00000003657
ENSCAFP00000003657	ENSCAFP00000003668
ENSCAFP00000028428	ENSCAFP00000026110
ENSCAFP00000026110	ENSCAFP00000028428
ENSCAFP00000028428	ENSCAFP00000018851
ENSCAFP00000018851	ENSCAFP00000028428
ENSCAFP00000026110	ENSCAFP00000018851
ENSCAFP00000018851	ENSCAFP00000026110
ENSCAFP00000007426	ENSCAFP00000012432
ENSCAFP00000012432	ENSCAFP00000007426
ENSCAFP00000024262	ENSCAFP00000030135
ENSCAFP00000030135	ENSCAFP00000024262
ENSCAFP00000031262	ENSCAFP00000028894
ENSCAFP00000028894	ENSCAFP00000031262
ENSCAFP00000016670	ENSCAFP00000025741
ENSCAFP00000025741	ENSCAFP00000016670
