fgenesh2_pg.scaffold_351000043	ENSLOCP00000006075
fgenesh2_pg.scaffold_352000005	ENSLOCP00000013157
fgenesh2_pg.scaffold_352000011	ENSLOCP00000013656
fgenesh2_pg.scaffold_353000014	ENSLOCP00000010708
fgenesh2_pg.scaffold_353000019	ENSLOCP00000018367
fgenesh2_pg.scaffold_353000041	ENSLOCP00000006457
fgenesh2_pg.scaffold_355000001	ENSLOCP00000011583
fgenesh2_pg.scaffold_355000014	ENSLOCP00000002014
fgenesh2_pg.scaffold_355000040	ENSLOCP00000014599
fgenesh2_pg.scaffold_355000054	ENSLOCP00000010182
fgenesh2_pg.scaffold_356000007	ENSLOCP00000021819
fgenesh2_pg.scaffold_356000053	ENSLOCP00000019037
fgenesh2_pg.scaffold_358000025	ENSLOCP00000021909
fgenesh2_pg.scaffold_358000027	ENSLOCP00000009800
fgenesh2_pg.scaffold_359000018	ENSLOCP00000006651
fgenesh2_pg.scaffold_359000049	ENSLOCP00000006154
fgenesh2_pg.scaffold_360000003	ENSLOCP00000009855
fgenesh2_pg.scaffold_360000041	ENSLOCP00000010804
fgenesh2_pg.scaffold_360000052	ENSLOCP00000005520
fgenesh2_pg.scaffold_361000001	ENSLOCP00000009806
fgenesh2_pg.scaffold_361000015	ENSLOCP00000010850
fgenesh2_pg.scaffold_361000017	ENSLOCP00000017210
fgenesh2_pg.scaffold_361000018	ENSLOCP00000018113
fgenesh2_pg.scaffold_361000021	ENSLOCP00000009820
fgenesh2_pg.scaffold_361000038	ENSLOCP00000007793
fgenesh2_pg.scaffold_362000019	ENSLOCP00000015036
fgenesh2_pg.scaffold_363000036	ENSLOCP00000017258
fgenesh2_pg.scaffold_364000023	ENSLOCP00000006287
fgenesh2_pg.scaffold_364000027	ENSLOCP00000018726
fgenesh2_pg.scaffold_364000039	ENSLOCP00000012705
fgenesh2_pg.scaffold_364000047	ENSLOCP00000002999
fgenesh2_pg.scaffold_364000050	ENSLOCP00000007585
fgenesh2_pg.scaffold_364000053	ENSLOCP00000009752
fgenesh2_pg.scaffold_365000014	ENSLOCP00000003241
fgenesh2_pg.scaffold_367000027	ENSLOCP00000007935
fgenesh2_pg.scaffold_367000031	ENSLOCP00000006256
fgenesh2_pg.scaffold_367000045	ENSLOCP00000007273
fgenesh2_pg.scaffold_368000011	ENSLOCP00000011119
fgenesh2_pg.scaffold_369000011	ENSLOCP00000004255
fgenesh2_pg.scaffold_369000036	ENSLOCP00000000022
fgenesh2_pg.scaffold_370000006	ENSLOCP00000001116
fgenesh2_pg.scaffold_371000008	ENSLOCP00000012295
fgenesh2_pg.scaffold_371000019	ENSLOCP00000001210
fgenesh2_pg.scaffold_371000020	ENSLOCP00000003152
fgenesh2_pg.scaffold_371000040	ENSLOCP00000015467
fgenesh2_pg.scaffold_371000041	ENSLOCP00000016099
fgenesh2_pg.scaffold_371000051	ENSLOCP00000013135
fgenesh2_pg.scaffold_371000051	ENSLOCP00000011380
fgenesh2_pg.scaffold_371000052	ENSLOCP00000000095
fgenesh2_pg.scaffold_371000061	ENSLOCP00000007667
fgenesh2_pg.scaffold_372000005	ENSLOCP00000008457
fgenesh2_pg.scaffold_372000021	ENSLOCP00000000356
fgenesh2_pg.scaffold_373000026	ENSLOCP00000017427
fgenesh2_pg.scaffold_374000029	ENSLOCP00000014610
fgenesh2_pg.scaffold_374000029	ENSLOCP00000007561
fgenesh2_pg.scaffold_374000029	ENSLOCP00000016620
fgenesh2_pg.scaffold_374000039	ENSLOCP00000022113
fgenesh2_pg.scaffold_374000042	ENSLOCP00000005641
fgenesh2_pg.scaffold_374000042	ENSLOCP00000010528
fgenesh2_pg.scaffold_375000002	ENSLOCP00000018733
fgenesh2_pg.scaffold_375000015	ENSLOCP00000021456
fgenesh2_pg.scaffold_375000016	ENSLOCP00000001552
fgenesh2_pg.scaffold_375000019	ENSLOCP00000019143
fgenesh2_pg.scaffold_375000019	ENSLOCP00000021223
fgenesh2_pg.scaffold_375000032	ENSLOCP00000022320
fgenesh2_pg.scaffold_376000026	ENSLOCP00000019531
fgenesh2_pg.scaffold_376000034	ENSLOCP00000002697
fgenesh2_pg.scaffold_377000001	ENSLOCP00000022376
fgenesh2_pg.scaffold_377000001	ENSLOCP00000021612
fgenesh2_pg.scaffold_377000005	ENSLOCP00000018489
fgenesh2_pg.scaffold_377000020	ENSLOCP00000021138
fgenesh2_pg.scaffold_377000035	ENSLOCP00000003556
fgenesh2_pg.scaffold_377000035	ENSLOCP00000000327
fgenesh2_pg.scaffold_378000022	ENSLOCP00000017584
fgenesh2_pg.scaffold_378000051	ENSLOCP00000020814
fgenesh2_pg.scaffold_379000006	ENSLOCP00000002126
fgenesh2_pg.scaffold_379000018	ENSLOCP00000017035
