ENSMUSP00000000001	SINCAM012129
ENSMUSP00000000028	SINCAM007391
ENSMUSP00000000049	SINCAM012459
ENSMUSP00000000058	SINCAM009871
ENSMUSP00000000080	SINCAM001636
ENSMUSP00000000090	SINCAM013228
ENSMUSP00000000095	SINCAM921457
ENSMUSP00000000122	SINCAM002783
ENSMUSP00000000127	SINCAM013541
ENSMUSP00000000129	SINCAM001116
ENSMUSP00000000137	SINCAM003682
ENSMUSP00000000153	SINCAM011125
ENSMUSP00000000171	SINCAM013919
ENSMUSP00000000175	SINCAM922733
ENSMUSP00000000186	SINCAM005613
ENSMUSP00000000187	SINCAM920954
ENSMUSP00000000188	SINCAM005615
ENSMUSP00000000193	SINCAM922112
ENSMUSP00000000194	SINCAM009449
ENSMUSP00000000199	SINCAM007932
ENSMUSP00000000201	SINCAM004573
ENSMUSP00000000206	SINCAM012513
ENSMUSP00000000219	SINCAM920962
ENSMUSP00000000221	SINCAM921993
ENSMUSP00000000253	SINCAM008031
ENSMUSP00000000260	SINCAM001868
ENSMUSP00000000275	SINCAM000632
ENSMUSP00000000287	SINCAM012699
ENSMUSP00000000291	SINCAM008633
ENSMUSP00000000299	SINCAM006505
ENSMUSP00000000304	SINCAM003166
ENSMUSP00000000305	SINCAM003167
ENSMUSP00000000312	SINCAM922056
ENSMUSP00000000314	SINCAM011983
ENSMUSP00000000342	SINCAM009444
ENSMUSP00000000348	SINCAM005115
ENSMUSP00000000349	SINCAM005116
ENSMUSP00000000356	SINCAM014188
ENSMUSP00000000365	SINCAM900244
ENSMUSP00000000388	SINCAM003094
ENSMUSP00000000395	SINCAM015161
ENSMUSP00000000412	SINCAM004342
ENSMUSP00000000421	SINCAM008875
ENSMUSP00000000445	SINCAM920985
ENSMUSP00000000449	SINCAM009612
ENSMUSP00000000450	SINCAM009609
ENSMUSP00000000451	SINCAM009613
ENSMUSP00000000466	SINCAM000987
ENSMUSP00000000505	SINCAM015045
ENSMUSP00000000542	SINCAM007808
ENSMUSP00000000543	SINCAM014209
ENSMUSP00000000544	SINCAM014210
ENSMUSP00000000572	SINCAM000517
ENSMUSP00000000579	SINCAM012539
ENSMUSP00000000590	SINCAM004793
ENSMUSP00000000608	SINCAM010209
ENSMUSP00000000641	SINCAM000762
ENSMUSP00000000642	SINCAM011529
ENSMUSP00000000687	SINCAM003842
ENSMUSP00000000724	SINCAM002191
ENSMUSP00000000727	SINCAM006566
ENSMUSP00000000755	SINCAM010458
ENSMUSP00000000756	SINCAM010455
ENSMUSP00000000759	SINCAM010407
ENSMUSP00000000769	SINCAM921725
ENSMUSP00000000776	SINCAM004415
ENSMUSP00000000793	SINCAM922800
ENSMUSP00000000804	SINCAM921352
ENSMUSP00000000809	SINCAM012926
ENSMUSP00000000828	SINCAM922154
ENSMUSP00000000834	SINCAM005237
ENSMUSP00000000889	SINCAM010217
ENSMUSP00000000895	SINCAM002701
ENSMUSP00000000896	SINCAM922390
ENSMUSP00000000910	SINCAM007888
ENSMUSP00000000924	SINCAM007331
ENSMUSP00000000925	SINCAM921416
ENSMUSP00000000926	SINCAM921059
ENSMUSP00000000939	SINCAM921441
ENSMUSP00000000940	SINCAM008838
ENSMUSP00000000964	SINCAM001980
ENSMUSP00000000984	SINCAM001862
ENSMUSP00000001002	SINCAM008656
ENSMUSP00000001009	SINCAM010883
ENSMUSP00000001036	SINCAM014516
ENSMUSP00000001059	SINCAM921988
ENSMUSP00000001079	SINCAM000260
ENSMUSP00000001080	SINCAM010110
ENSMUSP00000001092	SINCAM010463
ENSMUSP00000001109	SINCAM000661
ENSMUSP00000001115	SINCAM010181
ENSMUSP00000001122	SINCAM008779
ENSMUSP00000001125	SINCAM007684
ENSMUSP00000001126	SINCAM008778
ENSMUSP00000001127	SINCAM008808
ENSMUSP00000001130	SINCAM008810
ENSMUSP00000001147	SINCAM006545
ENSMUSP00000001148	SINCAM921571
ENSMUSP00000001166	SINCAM014306
ENSMUSP00000001172	SINCAM014242
ENSMUSP00000001179	SINCAM013834
ENSMUSP00000001181	SINCAM006546
ENSMUSP00000001183	SINCAM921554
ENSMUSP00000001184	SINCAM014358
ENSMUSP00000001185	SINCAM014252
ENSMUSP00000001186	SINCAM014311
ENSMUSP00000001202	SINCAM010795
ENSMUSP00000001240	SINCAM004120
ENSMUSP00000001242	SINCAM004116
ENSMUSP00000001247	SINCAM001535
ENSMUSP00000001253	SINCAM920934
ENSMUSP00000001254	SINCAM920935
ENSMUSP00000001258	SINCAM012780
ENSMUSP00000001304	SINCAM008166
ENSMUSP00000001319	SINCAM004461
ENSMUSP00000001326	SINCAM014067
ENSMUSP00000001339	SINCAM003873
ENSMUSP00000001347	SINCAM013510
ENSMUSP00000001365	SINCAM008904
ENSMUSP00000001384	SINCAM014533
ENSMUSP00000001402	SINCAM002936
ENSMUSP00000001412	SINCAM002106
ENSMUSP00000001415	SINCAM010264
ENSMUSP00000001416	SINCAM922367
ENSMUSP00000001419	SINCAM922365
ENSMUSP00000001456	SINCAM012884
ENSMUSP00000001460	SINCAM006225
ENSMUSP00000001479	SINCAM013329
ENSMUSP00000001480	SINCAM013330
ENSMUSP00000001484	SINCAM013365
ENSMUSP00000001497	SINCAM923041
ENSMUSP00000001507	SINCAM002209
ENSMUSP00000001534	SINCAM013476
ENSMUSP00000001536	SINCAM008303
ENSMUSP00000001547	SINCAM013386
ENSMUSP00000001548	SINCAM013390
ENSMUSP00000001559	SINCAM006005
ENSMUSP00000001562	SINCAM012326
ENSMUSP00000001565	SINCAM923170
ENSMUSP00000001569	SINCAM009666
ENSMUSP00000001583	SINCAM001143
ENSMUSP00000001592	SINCAM013291
ENSMUSP00000001595	SINCAM013293
ENSMUSP00000001599	SINCAM013296
ENSMUSP00000001611	SINCAM001537
ENSMUSP00000001620	SINCAM010886
ENSMUSP00000001652	SINCAM921697
ENSMUSP00000001672	SINCAM009720
ENSMUSP00000001675	SINCAM005651
ENSMUSP00000001699	SINCAM014084
ENSMUSP00000001700	SINCAM014086
ENSMUSP00000001701	SINCAM014085
ENSMUSP00000001703	SINCAM006707
ENSMUSP00000001706	SINCAM014083
ENSMUSP00000001709	SINCAM014081
ENSMUSP00000001711	SINCAM014082
ENSMUSP00000001712	SINCAM007351
ENSMUSP00000001713	SINCAM007698
ENSMUSP00000001715	SINCAM007611
ENSMUSP00000001716	SINCAM007348
ENSMUSP00000001720	SINCAM010303
ENSMUSP00000001722	SINCAM922060
ENSMUSP00000001724	SINCAM006425
ENSMUSP00000001757	SINCAM002281
ENSMUSP00000001792	SINCAM900110
ENSMUSP00000001802	SINCAM013423
ENSMUSP00000001809	SINCAM002807
ENSMUSP00000001812	SINCAM921038
ENSMUSP00000001818	SINCAM003670
ENSMUSP00000001824	SINCAM009556
ENSMUSP00000001825	SINCAM004670
ENSMUSP00000001834	SINCAM005917
ENSMUSP00000001836	SINCAM005621
ENSMUSP00000001872	SINCAM006711
ENSMUSP00000001878	SINCAM006710
ENSMUSP00000001882	SINCAM004013
ENSMUSP00000001920	SINCAM007824
ENSMUSP00000001921	SINCAM009218
ENSMUSP00000001927	SINCAM003490
ENSMUSP00000001950	SINCAM011645
ENSMUSP00000001963	SINCAM013564
ENSMUSP00000001965	SINCAM013480
ENSMUSP00000001974	SINCAM017971
ENSMUSP00000001975	SINCAM017973
ENSMUSP00000001984	SINCAM015402
ENSMUSP00000001989	SINCAM922141
ENSMUSP00000001995	SINCAM005604
ENSMUSP00000002007	SINCAM013867
ENSMUSP00000002008	SINCAM013883
ENSMUSP00000002011	SINCAM013882
ENSMUSP00000002013	SINCAM013884
ENSMUSP00000002043	SINCAM013569
ENSMUSP00000002044	SINCAM013568
ENSMUSP00000002048	SINCAM013482
ENSMUSP00000002063	SINCAM922666
ENSMUSP00000002064	SINCAM002173
ENSMUSP00000002095	SINCAM013927
ENSMUSP00000002099	SINCAM922742
ENSMUSP00000002121	SINCAM008706
ENSMUSP00000002127	SINCAM008798
ENSMUSP00000002133	SINCAM007700
ENSMUSP00000002145	SINCAM004106
ENSMUSP00000002198	SINCAM007517
ENSMUSP00000002275	SINCAM010559
ENSMUSP00000002289	SINCAM004489
ENSMUSP00000002291	SINCAM001529
ENSMUSP00000002292	SINCAM010115
ENSMUSP00000002305	SINCAM921018
ENSMUSP00000002318	SINCAM012290
ENSMUSP00000002320	SINCAM012292
ENSMUSP00000002327	SINCAM012291
ENSMUSP00000002350	SINCAM900285
ENSMUSP00000002360	SINCAM012710
ENSMUSP00000002397	SINCAM017486
ENSMUSP00000002412	SINCAM012929
ENSMUSP00000002436	SINCAM921182
ENSMUSP00000002444	SINCAM012723
ENSMUSP00000002445	SINCAM012718
ENSMUSP00000002456	SINCAM003046
ENSMUSP00000002473	SINCAM012961
ENSMUSP00000002487	SINCAM005972
ENSMUSP00000002502	SINCAM009213
ENSMUSP00000002529	SINCAM012014
ENSMUSP00000002549	SINCAM920789
ENSMUSP00000002551	SINCAM920708
ENSMUSP00000002572	SINCAM011051
ENSMUSP00000002603	SINCAM001562
ENSMUSP00000002625	SINCAM921485
ENSMUSP00000002640	SINCAM002066
ENSMUSP00000002655	SINCAM013446
ENSMUSP00000002683	SINCAM015104
ENSMUSP00000002708	SINCAM001534
ENSMUSP00000002710	SINCAM010344
ENSMUSP00000002733	SINCAM014489
ENSMUSP00000002735	SINCAM015445
ENSMUSP00000002756	SINCAM008357
ENSMUSP00000002765	SINCAM008274
ENSMUSP00000002790	SINCAM012005
ENSMUSP00000002805	SINCAM003671
ENSMUSP00000002808	SINCAM006694
ENSMUSP00000002809	SINCAM006692
ENSMUSP00000002818	SINCAM014390
ENSMUSP00000002825	SINCAM015316
ENSMUSP00000002837	SINCAM005239
ENSMUSP00000002839	SINCAM008140
ENSMUSP00000002840	SINCAM003683
ENSMUSP00000002844	SINCAM003689
ENSMUSP00000002845	SINCAM003730
ENSMUSP00000002846	SINCAM003882
ENSMUSP00000002880	SINCAM008529
ENSMUSP00000002883	SINCAM002256
ENSMUSP00000002885	SINCAM002257
ENSMUSP00000002889	SINCAM011198
ENSMUSP00000002891	SINCAM011196
ENSMUSP00000002902	SINCAM014531
ENSMUSP00000002911	SINCAM012764
ENSMUSP00000002914	SINCAM012767
ENSMUSP00000002923	SINCAM006524
ENSMUSP00000002924	SINCAM921274
ENSMUSP00000002925	SINCAM011757
ENSMUSP00000002926	SINCAM004215
ENSMUSP00000002976	SINCAM921000
ENSMUSP00000002979	SINCAM009825
ENSMUSP00000003017	SINCAM005955
