ENSMGAP00000000006	SINCAM000417
ENSMGAP00000000009	SINCAM004028
ENSMGAP00000000015	SINCAM007890
ENSMGAP00000000018	SINCAM014556
ENSMGAP00000000022	SINCAM006945
ENSMGAP00000000023	SINCAM006943
ENSMGAP00000000026	SINCAM014347
ENSMGAP00000000029	SINCAM921224
ENSMGAP00000000032	SINCAM014348
ENSMGAP00000000034	SINCAM001043
ENSMGAP00000000036	SINCAM014349
ENSMGAP00000000037	SINCAM004974
ENSMGAP00000000045	SINCAM013515
ENSMGAP00000000057	SINCAM013539
ENSMGAP00000000058	SINCAM004617
ENSMGAP00000000059	SINCAM014229
ENSMGAP00000000061	SINCAM013567
ENSMGAP00000000062	SINCAM012326
ENSMGAP00000000063	SINCAM009021
ENSMGAP00000000065	SINCAM009019
ENSMGAP00000000066	SINCAM922714
ENSMGAP00000000067	SINCAM900151
ENSMGAP00000000068	SINCAM014321
ENSMGAP00000000071	SINCAM922441
ENSMGAP00000000072	SINCAM013517
ENSMGAP00000000079	SINCAM012195
ENSMGAP00000000080	SINCAM921770
ENSMGAP00000000081	SINCAM013989
ENSMGAP00000000082	SINCAM013518
ENSMGAP00000000083	SINCAM922347
ENSMGAP00000000084	SINCAM013590
ENSMGAP00000000087	SINCAM008995
ENSMGAP00000000089	SINCAM922724
ENSMGAP00000000090	SINCAM922442
ENSMGAP00000000093	SINCAM921837
ENSMGAP00000000094	SINCAM922725
ENSMGAP00000000097	SINCAM013592
ENSMGAP00000000099	SINCAM015923
ENSMGAP00000000101	SINCAM922145
ENSMGAP00000000102	SINCAM000589
ENSMGAP00000000103	SINCAM922705
ENSMGAP00000000106	SINCAM016899
ENSMGAP00000000108	SINCAM015730
ENSMGAP00000000109	SINCAM013593
ENSMGAP00000000110	SINCAM017013
ENSMGAP00000000112	SINCAM922985
ENSMGAP00000000113	SINCAM007774
ENSMGAP00000000114	SINCAM007775
ENSMGAP00000000116	SINCAM013857
ENSMGAP00000000118	SINCAM009436
ENSMGAP00000000120	SINCAM013856
ENSMGAP00000000121	SINCAM922837
ENSMGAP00000000126	SINCAM922706
ENSMGAP00000000128	SINCAM010931
ENSMGAP00000000129	SINCAM005473
ENSMGAP00000000132	SINCAM010930
ENSMGAP00000000135	SINCAM012711
ENSMGAP00000000137	SINCAM922707
ENSMGAP00000000138	SINCAM009880
ENSMGAP00000000140	SINCAM009000
ENSMGAP00000000141	SINCAM007199
ENSMGAP00000000143	SINCAM014323
ENSMGAP00000000146	SINCAM010929
ENSMGAP00000000151	SINCAM009001
ENSMGAP00000000154	SINCAM001233
ENSMGAP00000000155	SINCAM922711
ENSMGAP00000000158	SINCAM013877
ENSMGAP00000000160	SINCAM001339
ENSMGAP00000000161	SINCAM011847
ENSMGAP00000000163	SINCAM007202
ENSMGAP00000000166	SINCAM009002
ENSMGAP00000000167	SINCAM013542
ENSMGAP00000000168	SINCAM921461
