fgenesh2_pg.scaffold_351000043	ENSP00000261819
fgenesh2_pg.scaffold_352000001	ENSP00000418070
fgenesh2_pg.scaffold_352000002	ENSP00000404817
fgenesh2_pg.scaffold_352000004	ENSP00000349971
fgenesh2_pg.scaffold_352000005	ENSP00000402219
fgenesh2_pg.scaffold_353000014	ENSP00000315397
fgenesh2_pg.scaffold_353000019	ENSP00000363392
fgenesh2_pg.scaffold_353000041	ENSP00000064724
fgenesh2_pg.scaffold_353000043	ENSP00000366248
fgenesh2_pg.scaffold_355000001	ENSP00000284322
fgenesh2_pg.scaffold_355000006	ENSP00000361083
fgenesh2_pg.scaffold_355000016	ENSP00000358727
fgenesh2_pg.scaffold_355000037	ENSP00000306105
fgenesh2_pg.scaffold_355000054	ENSP00000318128
fgenesh2_pg.scaffold_356000031	ENSP00000374818
fgenesh2_pg.scaffold_357000004	ENSP00000331610
fgenesh2_pg.scaffold_357000006	ENSP00000299198
fgenesh2_pg.scaffold_358000017	ENSP00000221498
fgenesh2_pg.scaffold_358000032	ENSP00000348050
fgenesh2_pg.scaffold_359000018	ENSP00000340823
fgenesh2_pg.scaffold_359000049	ENSP00000441283
fgenesh2_pg.scaffold_360000041	ENSP00000469049
fgenesh2_pg.scaffold_360000052	ENSP00000269844
fgenesh2_pg.scaffold_361000015	ENSP00000293826
fgenesh2_pg.scaffold_361000018	ENSP00000245903
fgenesh2_pg.scaffold_361000021	ENSP00000298738
fgenesh2_pg.scaffold_361000038	ENSP00000385006
fgenesh2_pg.scaffold_361000047	ENSP00000449999
fgenesh2_pg.scaffold_363000007	ENSP00000365630
fgenesh2_pg.scaffold_363000036	ENSP00000260363
fgenesh2_pg.scaffold_364000023	ENSP00000411012
fgenesh2_pg.scaffold_364000027	ENSP00000282892
fgenesh2_pg.scaffold_364000047	ENSP00000386210
fgenesh2_pg.scaffold_364000050	ENSP00000250101
fgenesh2_pg.scaffold_364000053	ENSP00000337340
fgenesh2_pg.scaffold_365000029	ENSP00000413015
fgenesh2_pg.scaffold_365000032	ENSP00000299088
fgenesh2_pg.scaffold_365000039	ENSP00000436777
fgenesh2_pg.scaffold_366000007	ENSP00000384340
fgenesh2_pg.scaffold_367000002	ENSP00000341963
fgenesh2_pg.scaffold_367000010	ENSP00000472923
fgenesh2_pg.scaffold_367000027	ENSP00000366221
fgenesh2_pg.scaffold_368000028	ENSP00000393887
fgenesh2_pg.scaffold_368000031	ENSP00000408292
fgenesh2_pg.scaffold_369000015	ENSP00000310520
fgenesh2_pg.scaffold_369000029	ENSP00000471077
fgenesh2_pg.scaffold_369000043	ENSP00000369146
fgenesh2_pg.scaffold_370000005	ENSP00000331474
fgenesh2_pg.scaffold_370000020	ENSP00000226760
fgenesh2_pg.scaffold_371000007	ENSP00000363641
fgenesh2_pg.scaffold_371000007	ENSP00000363634
fgenesh2_pg.scaffold_371000008	ENSP00000300209
fgenesh2_pg.scaffold_371000019	ENSP00000216139
fgenesh2_pg.scaffold_371000020	ENSP00000256255
fgenesh2_pg.scaffold_371000022	ENSP00000259205
fgenesh2_pg.scaffold_371000045	ENSP00000242209
fgenesh2_pg.scaffold_371000053	ENSP00000245543
fgenesh2_pg.scaffold_371000059	ENSP00000344579
fgenesh2_pg.scaffold_371000061	ENSP00000361554
fgenesh2_pg.scaffold_372000006	ENSP00000302724
fgenesh2_pg.scaffold_372000008	ENSP00000373191
fgenesh2_pg.scaffold_372000009	ENSP00000308330
fgenesh2_pg.scaffold_373000026	ENSP00000330721
fgenesh2_pg.scaffold_374000005	ENSP00000341139
fgenesh2_pg.scaffold_374000009	ENSP00000226355
fgenesh2_pg.scaffold_374000020	ENSP00000389880
fgenesh2_pg.scaffold_374000029	ENSP00000379612
fgenesh2_pg.scaffold_374000029	ENSP00000449960
fgenesh2_pg.scaffold_374000029	ENSP00000398523
fgenesh2_pg.scaffold_374000038	ENSP00000356946
fgenesh2_pg.scaffold_374000042	ENSP00000340820
fgenesh2_pg.scaffold_374000045	ENSP00000296420
fgenesh2_pg.scaffold_375000002	ENSP00000373684
fgenesh2_pg.scaffold_375000019	ENSP00000438248
fgenesh2_pg.scaffold_375000019	ENSP00000270645
fgenesh2_pg.scaffold_376000010	ENSP00000422924
fgenesh2_pg.scaffold_376000022	ENSP00000469663
fgenesh2_pg.scaffold_376000034	ENSP00000270176
fgenesh2_pg.scaffold_376000054	ENSP00000474003
fgenesh2_pg.scaffold_377000020	ENSP00000275053
fgenesh2_pg.scaffold_377000035	ENSP00000367655
fgenesh2_pg.scaffold_377000042	ENSP00000358925
fgenesh2_pg.scaffold_378000028	ENSP00000342676
fgenesh2_pg.scaffold_378000051	ENSP00000289407
fgenesh2_pg.scaffold_379000006	ENSP00000304065
fgenesh2_pg.scaffold_379000018	ENSP00000361112
fgenesh2_pg.scaffold_380000008	ENSP00000298630
fgenesh2_pg.scaffold_380000024	ENSP00000362888
fgenesh2_pg.scaffold_380000035	ENSP00000398729
fgenesh2_pg.scaffold_380000036	ENSP00000385026
fgenesh2_pg.scaffold_380000036	ENSP00000315602
fgenesh2_pg.scaffold_380000036	ENSP00000258385
fgenesh2_pg.scaffold_380000041	ENSP00000396732
fgenesh2_pg.scaffold_381000020	ENSP00000305653
fgenesh2_pg.scaffold_381000020	ENSP00000428765
fgenesh2_pg.scaffold_381000021	ENSP00000313983
fgenesh2_pg.scaffold_381000032	ENSP00000392335
fgenesh2_pg.scaffold_381000034	ENSP00000376800
fgenesh2_pg.scaffold_382000006	ENSP00000377696
fgenesh2_pg.scaffold_382000007	ENSP00000379568
fgenesh2_pg.scaffold_382000007	ENSP00000405969
fgenesh2_pg.scaffold_383000011	ENSP00000354742
