ENSLOCP00000000004	SINCAM011582
ENSLOCP00000000005	SINCAM014768
ENSLOCP00000000006	SINCAM011580
ENSLOCP00000000018	SINCAM011548
ENSLOCP00000000022	SINCAM923118
ENSLOCP00000000025	SINCAM921869
ENSLOCP00000000026	SINCAM921870
ENSLOCP00000000029	SINCAM007146
ENSLOCP00000000032	SINCAM015898
ENSLOCP00000000038	SINCAM007148
ENSLOCP00000000044	SINCAM007149
ENSLOCP00000000045	SINCAM017851
ENSLOCP00000000046	SINCAM007150
ENSLOCP00000000048	SINCAM006244
ENSLOCP00000000051	SINCAM007151
ENSLOCP00000000056	SINCAM015009
ENSLOCP00000000064	SINCAM015267
ENSLOCP00000000070	SINCAM000350
ENSLOCP00000000071	SINCAM000437
ENSLOCP00000000087	SINCAM012906
ENSLOCP00000000089	SINCAM000815
ENSLOCP00000000100	SINCAM012990
ENSLOCP00000000103	SINCAM923029
ENSLOCP00000000104	SINCAM012782
ENSLOCP00000000106	SINCAM014445
ENSLOCP00000000108	SINCAM005115
ENSLOCP00000000111	SINCAM012780
ENSLOCP00000000115	SINCAM013023
ENSLOCP00000000116	SINCAM006045
ENSLOCP00000000119	SINCAM005114
ENSLOCP00000000126	SINCAM003714
ENSLOCP00000000129	SINCAM012779
ENSLOCP00000000135	SINCAM004850
ENSLOCP00000000136	SINCAM922918
ENSLOCP00000000139	SINCAM008852
ENSLOCP00000000144	SINCAM005112
ENSLOCP00000000145	SINCAM004852
ENSLOCP00000000147	SINCAM000495
ENSLOCP00000000154	SINCAM015903
ENSLOCP00000000159	SINCAM005111
ENSLOCP00000000162	SINCAM012777
ENSLOCP00000000167	SINCAM004853
ENSLOCP00000000179	SINCAM005110
ENSLOCP00000000183	SINCAM015647
ENSLOCP00000000184	SINCAM014623
ENSLOCP00000000187	SINCAM920538
ENSLOCP00000000195	SINCAM009014
ENSLOCP00000000198	SINCAM012882
ENSLOCP00000000202	SINCAM920764
ENSLOCP00000000204	SINCAM017700
ENSLOCP00000000207	SINCAM013340
ENSLOCP00000000208	SINCAM010904
ENSLOCP00000000210	SINCAM005109
ENSLOCP00000000211	SINCAM922932
ENSLOCP00000000213	SINCAM922941
ENSLOCP00000000220	SINCAM012881
ENSLOCP00000000221	SINCAM004855
ENSLOCP00000000240	SINCAM922482
ENSLOCP00000000242	SINCAM015923
ENSLOCP00000000243	SINCAM002569
ENSLOCP00000000244	SINCAM923158
ENSLOCP00000000256	SINCAM005125
ENSLOCP00000000260	SINCAM921381
ENSLOCP00000000264	SINCAM010324
ENSLOCP00000000268	SINCAM002829
ENSLOCP00000000273	SINCAM923082
ENSLOCP00000000275	SINCAM014406
ENSLOCP00000000278	SINCAM014932
ENSLOCP00000000280	SINCAM921382
ENSLOCP00000000289	SINCAM920849
ENSLOCP00000000300	SINCAM002863
ENSLOCP00000000302	SINCAM015327
ENSLOCP00000000304	SINCAM921383
ENSLOCP00000000307	SINCAM015612
ENSLOCP00000000308	SINCAM920850
ENSLOCP00000000310	SINCAM015387
ENSLOCP00000000313	SINCAM012786
ENSLOCP00000000314	SINCAM001601
ENSLOCP00000000316	SINCAM922619
ENSLOCP00000000324	SINCAM921384
ENSLOCP00000000326	SINCAM005116
ENSLOCP00000000328	SINCAM900054
ENSLOCP00000000332	SINCAM002864
ENSLOCP00000000339	SINCAM016429
ENSLOCP00000000343	SINCAM003868
ENSLOCP00000000348	SINCAM015664
ENSLOCP00000000349	SINCAM008942
ENSLOCP00000000350	SINCAM011670
ENSLOCP00000000360	SINCAM015307
ENSLOCP00000000362	SINCAM008560
ENSLOCP00000000367	SINCAM014638
ENSLOCP00000000372	SINCAM006989
ENSLOCP00000000375	SINCAM018101
ENSLOCP00000000381	SINCAM002865
ENSLOCP00000000390	SINCAM015449
ENSLOCP00000000394	SINCAM012908
ENSLOCP00000000395	SINCAM013025
ENSLOCP00000000399	SINCAM006011
ENSLOCP00000000404	SINCAM014098
ENSLOCP00000000407	SINCAM001806
ENSLOCP00000000414	SINCAM011517
ENSLOCP00000000415	SINCAM004857
ENSLOCP00000000416	SINCAM010598
ENSLOCP00000000419	SINCAM005117
ENSLOCP00000000423	SINCAM922228
ENSLOCP00000000424	SINCAM922732
ENSLOCP00000000425	SINCAM014630
ENSLOCP00000000428	SINCAM007895
ENSLOCP00000000434	SINCAM012907
ENSLOCP00000000436	SINCAM013751
ENSLOCP00000000451	SINCAM013050
ENSLOCP00000000454	SINCAM001636
ENSLOCP00000000456	SINCAM010597
ENSLOCP00000000457	SINCAM000414
ENSLOCP00000000458	SINCAM005118
ENSLOCP00000000461	SINCAM004858
ENSLOCP00000000463	SINCAM007849
ENSLOCP00000000465	SINCAM017055
ENSLOCP00000000472	SINCAM009158
ENSLOCP00000000475	SINCAM010609
ENSLOCP00000000481	SINCAM922214
ENSLOCP00000000482	SINCAM004373
ENSLOCP00000000483	SINCAM007931
ENSLOCP00000000490	SINCAM000669
ENSLOCP00000000493	SINCAM015515
ENSLOCP00000000495	SINCAM012975
ENSLOCP00000000498	SINCAM012293
ENSLOCP00000000500	SINCAM001635
ENSLOCP00000000507	SINCAM010596
ENSLOCP00000000511	SINCAM921742
ENSLOCP00000000512	SINCAM007848
ENSLOCP00000000514	SINCAM009046
ENSLOCP00000000515	SINCAM002438
ENSLOCP00000000516	SINCAM011578
ENSLOCP00000000522	SINCAM015641
ENSLOCP00000000529	SINCAM003685
ENSLOCP00000000533	SINCAM017850
ENSLOCP00000000534	SINCAM922815
ENSLOCP00000000535	SINCAM018080
ENSLOCP00000000540	SINCAM012974
ENSLOCP00000000541	SINCAM014679
ENSLOCP00000000542	SINCAM009088
ENSLOCP00000000544	SINCAM012294
ENSLOCP00000000546	SINCAM014597
ENSLOCP00000000547	SINCAM922215
ENSLOCP00000000548	SINCAM003124
ENSLOCP00000000549	SINCAM012314
ENSLOCP00000000552	SINCAM001634
ENSLOCP00000000559	SINCAM921740
ENSLOCP00000000562	SINCAM007872
ENSLOCP00000000565	SINCAM003485
ENSLOCP00000000570	SINCAM016770
ENSLOCP00000000571	SINCAM008874
ENSLOCP00000000579	SINCAM921063
ENSLOCP00000000583	SINCAM010368
ENSLOCP00000000585	SINCAM013583
ENSLOCP00000000586	SINCAM018091
ENSLOCP00000000590	SINCAM012322
ENSLOCP00000000591	SINCAM015147
ENSLOCP00000000599	SINCAM922883
ENSLOCP00000000602	SINCAM007871
ENSLOCP00000000609	SINCAM002440
ENSLOCP00000000610	SINCAM009159
ENSLOCP00000000611	SINCAM923108
ENSLOCP00000000613	SINCAM001488
ENSLOCP00000000614	SINCAM922877
ENSLOCP00000000619	SINCAM005934
ENSLOCP00000000620	SINCAM005869
ENSLOCP00000000625	SINCAM011081
ENSLOCP00000000627	SINCAM002870
ENSLOCP00000000630	SINCAM013562
ENSLOCP00000000631	SINCAM003931
ENSLOCP00000000634	SINCAM011519
ENSLOCP00000000635	SINCAM010370
ENSLOCP00000000640	SINCAM004004
ENSLOCP00000000641	SINCAM921509
ENSLOCP00000000642	SINCAM001632
ENSLOCP00000000643	SINCAM923078
ENSLOCP00000000646	SINCAM007870
ENSLOCP00000000647	SINCAM014987
ENSLOCP00000000650	SINCAM002856
ENSLOCP00000000652	SINCAM009160
ENSLOCP00000000653	SINCAM922107
ENSLOCP00000000654	SINCAM012886
ENSLOCP00000000660	SINCAM923164
ENSLOCP00000000662	SINCAM009787
ENSLOCP00000000670	SINCAM922044
ENSLOCP00000000674	SINCAM017256
ENSLOCP00000000676	SINCAM011520
ENSLOCP00000000679	SINCAM007055
ENSLOCP00000000680	SINCAM001996
ENSLOCP00000000681	SINCAM011080
ENSLOCP00000000689	SINCAM015302
ENSLOCP00000000693	SINCAM014455
ENSLOCP00000000695	SINCAM012887
ENSLOCP00000000701	SINCAM921739
ENSLOCP00000000712	SINCAM001995
ENSLOCP00000000714	SINCAM922045
ENSLOCP00000000717	SINCAM011521
ENSLOCP00000000720	SINCAM921858
ENSLOCP00000000724	SINCAM922383
ENSLOCP00000000728	SINCAM011575
ENSLOCP00000000732	SINCAM007864
ENSLOCP00000000734	SINCAM008923
ENSLOCP00000000741	SINCAM006031
ENSLOCP00000000743	SINCAM007625
ENSLOCP00000000744	SINCAM004053
ENSLOCP00000000745	SINCAM921800
ENSLOCP00000000747	SINCAM002867
ENSLOCP00000000752	SINCAM003825
ENSLOCP00000000753	SINCAM922046
ENSLOCP00000000757	SINCAM922216
ENSLOCP00000000759	SINCAM003820
ENSLOCP00000000760	SINCAM011066
ENSLOCP00000000761	SINCAM010557
ENSLOCP00000000765	SINCAM001631
ENSLOCP00000000766	SINCAM004613
ENSLOCP00000000767	SINCAM006292
ENSLOCP00000000769	SINCAM007861
ENSLOCP00000000775	SINCAM922458
ENSLOCP00000000778	SINCAM008924
ENSLOCP00000000782	SINCAM002871
ENSLOCP00000000784	SINCAM009163
ENSLOCP00000000787	SINCAM010372
ENSLOCP00000000789	SINCAM013711
ENSLOCP00000000791	SINCAM922225
ENSLOCP00000000797	SINCAM921484
ENSLOCP00000000799	SINCAM921501
ENSLOCP00000000800	SINCAM011764
ENSLOCP00000000801	SINCAM921980
ENSLOCP00000000805	SINCAM900193
ENSLOCP00000000806	SINCAM920853
ENSLOCP00000000810	SINCAM922961
ENSLOCP00000000813	SINCAM009164
ENSLOCP00000000817	SINCAM002872
ENSLOCP00000000818	SINCAM011545
ENSLOCP00000000819	SINCAM001630
ENSLOCP00000000831	SINCAM007860
ENSLOCP00000000836	SINCAM002826
ENSLOCP00000000839	SINCAM013748
ENSLOCP00000000841	SINCAM921738
ENSLOCP00000000844	SINCAM006288
ENSLOCP00000000848	SINCAM002886
ENSLOCP00000000851	SINCAM001923
ENSLOCP00000000852	SINCAM007744
ENSLOCP00000000855	SINCAM015617
ENSLOCP00000000856	SINCAM010374
ENSLOCP00000000857	SINCAM014862
ENSLOCP00000000860	SINCAM921981
ENSLOCP00000000861	SINCAM011646
ENSLOCP00000000862	SINCAM014012
ENSLOCP00000000863	SINCAM012911
ENSLOCP00000000865	SINCAM922970
ENSLOCP00000000870	SINCAM009166
ENSLOCP00000000874	SINCAM015758
ENSLOCP00000000875	SINCAM006267
ENSLOCP00000000877	SINCAM008808
ENSLOCP00000000879	SINCAM007743
ENSLOCP00000000880	SINCAM015618
ENSLOCP00000000886	SINCAM008919
ENSLOCP00000000887	SINCAM001627
ENSLOCP00000000891	SINCAM013712
ENSLOCP00000000897	SINCAM921913
ENSLOCP00000000900	SINCAM008809
ENSLOCP00000000903	SINCAM003990
ENSLOCP00000000904	SINCAM922535
ENSLOCP00000000905	SINCAM002233
ENSLOCP00000000906	SINCAM010375
ENSLOCP00000000908	SINCAM008920
ENSLOCP00000000909	SINCAM007853
ENSLOCP00000000910	SINCAM014014
ENSLOCP00000000913	SINCAM014874
ENSLOCP00000000914	SINCAM921744
ENSLOCP00000000917	SINCAM922973
ENSLOCP00000000918	SINCAM012391
ENSLOCP00000000921	SINCAM004138
ENSLOCP00000000922	SINCAM920537
ENSLOCP00000000923	SINCAM011068
ENSLOCP00000000926	SINCAM011495
ENSLOCP00000000932	SINCAM003991
ENSLOCP00000000933	SINCAM008612
ENSLOCP00000000940	SINCAM015414
ENSLOCP00000000942	SINCAM012972
ENSLOCP00000000945	SINCAM922703
ENSLOCP00000000947	SINCAM000743
ENSLOCP00000000948	SINCAM011069
ENSLOCP00000000949	SINCAM008786
ENSLOCP00000000950	SINCAM008930
ENSLOCP00000000951	SINCAM921926
ENSLOCP00000000953	SINCAM010376
ENSLOCP00000000954	SINCAM013605
ENSLOCP00000000955	SINCAM004044
ENSLOCP00000000959	SINCAM003992
ENSLOCP00000000960	SINCAM001625
ENSLOCP00000000961	SINCAM005600
ENSLOCP00000000963	SINCAM007835
ENSLOCP00000000964	SINCAM011818
ENSLOCP00000000973	SINCAM011494
ENSLOCP00000000975	SINCAM006405
ENSLOCP00000000977	SINCAM008584
ENSLOCP00000000979	SINCAM009282
ENSLOCP00000000982	SINCAM921982
ENSLOCP00000000983	SINCAM000741
ENSLOCP00000000984	SINCAM007836
ENSLOCP00000000986	SINCAM921745
ENSLOCP00000000987	SINCAM005599
ENSLOCP00000000989	SINCAM011490
ENSLOCP00000000990	SINCAM920756
ENSLOCP00000000991	SINCAM013893
ENSLOCP00000000995	SINCAM008586
ENSLOCP00000000996	SINCAM922468
ENSLOCP00000000997	SINCAM922549
ENSLOCP00000000999	SINCAM003994
ENSLOCP00000001002	SINCAM016201
ENSLOCP00000001003	SINCAM007858
ENSLOCP00000001008	SINCAM000740
ENSLOCP00000001009	SINCAM016278
ENSLOCP00000001012	SINCAM009167
ENSLOCP00000001014	SINCAM010377
ENSLOCP00000001018	SINCAM921983
ENSLOCP00000001019	SINCAM008587
ENSLOCP00000001023	SINCAM920533
ENSLOCP00000001024	SINCAM014020
ENSLOCP00000001027	SINCAM006404
ENSLOCP00000001028	SINCAM010378
ENSLOCP00000001029	SINCAM000924
ENSLOCP00000001030	SINCAM003885
ENSLOCP00000001033	SINCAM014854
ENSLOCP00000001036	SINCAM011816
ENSLOCP00000001038	SINCAM004042
ENSLOCP00000001041	SINCAM002884
ENSLOCP00000001042	SINCAM003995
ENSLOCP00000001045	SINCAM006403
ENSLOCP00000001048	SINCAM006892
ENSLOCP00000001051	SINCAM007866
ENSLOCP00000001053	SINCAM920745
ENSLOCP00000001054	SINCAM010379
ENSLOCP00000001055	SINCAM003123
ENSLOCP00000001059	SINCAM012723
ENSLOCP00000001060	SINCAM011789
ENSLOCP00000001061	SINCAM004041
ENSLOCP00000001062	SINCAM002931
ENSLOCP00000001065	SINCAM011511
ENSLOCP00000001067	SINCAM000739
ENSLOCP00000001068	SINCAM015318
ENSLOCP00000001069	SINCAM011297
ENSLOCP00000001073	SINCAM007780
ENSLOCP00000001074	SINCAM010380
ENSLOCP00000001078	SINCAM006281
ENSLOCP00000001079	SINCAM006402
ENSLOCP00000001080	SINCAM013895
ENSLOCP00000001082	SINCAM009553
ENSLOCP00000001084	SINCAM012844
ENSLOCP00000001086	SINCAM922548
ENSLOCP00000001088	SINCAM922329
ENSLOCP00000001089	SINCAM005880
ENSLOCP00000001093	SINCAM007771
ENSLOCP00000001096	SINCAM009554
ENSLOCP00000001100	SINCAM000421
ENSLOCP00000001102	SINCAM000738
ENSLOCP00000001103	SINCAM006397
ENSLOCP00000001104	SINCAM003122
ENSLOCP00000001105	SINCAM015316
ENSLOCP00000001109	SINCAM000751
ENSLOCP00000001110	SINCAM010381
ENSLOCP00000001112	SINCAM017761
ENSLOCP00000001114	SINCAM013871
ENSLOCP00000001116	SINCAM011509
ENSLOCP00000001119	SINCAM009555
ENSLOCP00000001120	SINCAM922390
ENSLOCP00000001122	SINCAM921496
ENSLOCP00000001123	SINCAM921747
ENSLOCP00000001128	SINCAM005404
ENSLOCP00000001129	SINCAM002151
ENSLOCP00000001130	SINCAM000750
ENSLOCP00000001133	SINCAM013603
ENSLOCP00000001135	SINCAM011098
ENSLOCP00000001136	SINCAM012845
ENSLOCP00000001137	SINCAM003121
ENSLOCP00000001138	SINCAM006396
ENSLOCP00000001144	SINCAM010382
ENSLOCP00000001146	SINCAM009556
ENSLOCP00000001147	SINCAM008935
ENSLOCP00000001148	SINCAM001699
ENSLOCP00000001151	SINCAM013602
ENSLOCP00000001152	SINCAM012846
ENSLOCP00000001157	SINCAM007851
ENSLOCP00000001160	SINCAM011474
ENSLOCP00000001161	SINCAM006395
ENSLOCP00000001165	SINCAM015315
ENSLOCP00000001167	SINCAM006022
ENSLOCP00000001168	SINCAM003119
ENSLOCP00000001171	SINCAM010383
ENSLOCP00000001172	SINCAM000737
ENSLOCP00000001173	SINCAM001700
ENSLOCP00000001176	SINCAM016147
ENSLOCP00000001177	SINCAM921413
ENSLOCP00000001179	SINCAM008934
ENSLOCP00000001183	SINCAM000719
ENSLOCP00000001192	SINCAM006393
ENSLOCP00000001193	SINCAM011099
ENSLOCP00000001194	SINCAM008842
ENSLOCP00000001195	SINCAM006023
ENSLOCP00000001198	SINCAM921412
ENSLOCP00000001200	SINCAM009559
ENSLOCP00000001206	SINCAM001510
ENSLOCP00000001207	SINCAM011946
ENSLOCP00000001211	SINCAM000736
ENSLOCP00000001212	SINCAM013601
ENSLOCP00000001213	SINCAM005405
ENSLOCP00000001214	SINCAM003118
ENSLOCP00000001216	SINCAM009715
ENSLOCP00000001218	SINCAM015704
ENSLOCP00000001219	SINCAM900057
ENSLOCP00000001220	SINCAM920752
ENSLOCP00000001221	SINCAM008860
ENSLOCP00000001223	SINCAM922059
ENSLOCP00000001224	SINCAM011100
ENSLOCP00000001225	SINCAM006392
ENSLOCP00000001226	SINCAM009102
ENSLOCP00000001229	SINCAM009560
ENSLOCP00000001230	SINCAM003117
ENSLOCP00000001232	SINCAM920715
ENSLOCP00000001234	SINCAM921522
ENSLOCP00000001235	SINCAM011947
ENSLOCP00000001240	SINCAM008887
ENSLOCP00000001241	SINCAM011478
ENSLOCP00000001243	SINCAM010446
ENSLOCP00000001244	SINCAM009561
ENSLOCP00000001247	SINCAM011101
ENSLOCP00000001248	SINCAM013599
ENSLOCP00000001249	SINCAM012852
ENSLOCP00000001250	SINCAM008838
ENSLOCP00000001252	SINCAM000789
ENSLOCP00000001253	SINCAM006024
ENSLOCP00000001254	SINCAM007955
ENSLOCP00000001255	SINCAM002227
ENSLOCP00000001257	SINCAM920900
ENSLOCP00000001261	SINCAM004564
ENSLOCP00000001262	SINCAM011477
ENSLOCP00000001266	SINCAM010155
ENSLOCP00000001268	SINCAM008888
ENSLOCP00000001271	SINCAM008839
ENSLOCP00000001274	SINCAM011948
ENSLOCP00000001280	SINCAM012853
ENSLOCP00000001282	SINCAM004311
ENSLOCP00000001283	SINCAM006975
ENSLOCP00000001284	SINCAM015256
ENSLOCP00000001287	SINCAM011658
ENSLOCP00000001288	SINCAM013600
ENSLOCP00000001292	SINCAM002228
ENSLOCP00000001295	SINCAM010447
ENSLOCP00000001297	SINCAM011102
ENSLOCP00000001299	SINCAM012869
ENSLOCP00000001300	SINCAM014684
ENSLOCP00000001302	SINCAM005870
ENSLOCP00000001310	SINCAM008940
ENSLOCP00000001316	SINCAM010449
ENSLOCP00000001317	SINCAM921492
ENSLOCP00000001318	SINCAM920524
ENSLOCP00000001319	SINCAM004442
ENSLOCP00000001320	SINCAM013598
ENSLOCP00000001321	SINCAM013872
ENSLOCP00000001323	SINCAM018063
ENSLOCP00000001325	SINCAM011659
ENSLOCP00000001326	SINCAM011103
ENSLOCP00000001329	SINCAM011942
ENSLOCP00000001332	SINCAM002229
ENSLOCP00000001333	SINCAM012870
ENSLOCP00000001336	SINCAM000729
ENSLOCP00000001338	SINCAM008840
ENSLOCP00000001339	SINCAM004108
ENSLOCP00000001341	SINCAM013873
ENSLOCP00000001343	SINCAM006489
ENSLOCP00000001348	SINCAM002859
ENSLOCP00000001350	SINCAM005169
ENSLOCP00000001351	SINCAM011906
ENSLOCP00000001355	SINCAM000734
ENSLOCP00000001361	SINCAM000766
ENSLOCP00000001363	SINCAM002860
ENSLOCP00000001364	SINCAM923096
ENSLOCP00000001367	SINCAM007998
ENSLOCP00000001368	SINCAM005854
ENSLOCP00000001369	SINCAM005168
ENSLOCP00000001371	SINCAM920564
ENSLOCP00000001372	SINCAM011939
ENSLOCP00000001376	SINCAM011660
ENSLOCP00000001377	SINCAM010450
ENSLOCP00000001380	SINCAM007997
ENSLOCP00000001382	SINCAM008600
ENSLOCP00000001383	SINCAM000735
ENSLOCP00000001384	SINCAM006390
ENSLOCP00000001385	SINCAM002861
ENSLOCP00000001386	SINCAM920515
ENSLOCP00000001388	SINCAM011144
ENSLOCP00000001392	SINCAM002230
ENSLOCP00000001393	SINCAM008000
