SINCAM011582	ENSLOCP00000000004
SINCAM014768	ENSLOCP00000000005
SINCAM011580	ENSLOCP00000000006
SINCAM011548	ENSLOCP00000000018
SINCAM923118	ENSLOCP00000000022
SINCAM921869	ENSLOCP00000000025
SINCAM921870	ENSLOCP00000000026
SINCAM007146	ENSLOCP00000000029
SINCAM015898	ENSLOCP00000000032
SINCAM007148	ENSLOCP00000000038
SINCAM007149	ENSLOCP00000000044
SINCAM017851	ENSLOCP00000000045
SINCAM007150	ENSLOCP00000000046
SINCAM006244	ENSLOCP00000000048
SINCAM007151	ENSLOCP00000000051
SINCAM015009	ENSLOCP00000000056
SINCAM015267	ENSLOCP00000000064
SINCAM000350	ENSLOCP00000000070
SINCAM000437	ENSLOCP00000000071
SINCAM012906	ENSLOCP00000000087
SINCAM000815	ENSLOCP00000000089
SINCAM012990	ENSLOCP00000000100
SINCAM923029	ENSLOCP00000000103
SINCAM012782	ENSLOCP00000000104
SINCAM014445	ENSLOCP00000000106
SINCAM005115	ENSLOCP00000000108
SINCAM012780	ENSLOCP00000000111
SINCAM013023	ENSLOCP00000000115
SINCAM006045	ENSLOCP00000000116
SINCAM005114	ENSLOCP00000000119
SINCAM003714	ENSLOCP00000000126
SINCAM012779	ENSLOCP00000000129
SINCAM004850	ENSLOCP00000000135
SINCAM922918	ENSLOCP00000000136
SINCAM008852	ENSLOCP00000000139
SINCAM005112	ENSLOCP00000000144
SINCAM004852	ENSLOCP00000000145
SINCAM000495	ENSLOCP00000000147
SINCAM015903	ENSLOCP00000000154
SINCAM005111	ENSLOCP00000000159
SINCAM012777	ENSLOCP00000000162
SINCAM004853	ENSLOCP00000000167
SINCAM005110	ENSLOCP00000000179
SINCAM015647	ENSLOCP00000000183
SINCAM014623	ENSLOCP00000000184
SINCAM920538	ENSLOCP00000000187
SINCAM009014	ENSLOCP00000000195
SINCAM012882	ENSLOCP00000000198
SINCAM920764	ENSLOCP00000000202
SINCAM017700	ENSLOCP00000000204
SINCAM013340	ENSLOCP00000000207
SINCAM010904	ENSLOCP00000000208
SINCAM005109	ENSLOCP00000000210
SINCAM922932	ENSLOCP00000000211
SINCAM922941	ENSLOCP00000000213
SINCAM012881	ENSLOCP00000000220
SINCAM004855	ENSLOCP00000000221
SINCAM922482	ENSLOCP00000000240
SINCAM015923	ENSLOCP00000000242
SINCAM002569	ENSLOCP00000000243
SINCAM923158	ENSLOCP00000000244
SINCAM005125	ENSLOCP00000000256
SINCAM921381	ENSLOCP00000000260
SINCAM010324	ENSLOCP00000000264
SINCAM002829	ENSLOCP00000000268
SINCAM923082	ENSLOCP00000000273
SINCAM014406	ENSLOCP00000000275
SINCAM014932	ENSLOCP00000000278
SINCAM921382	ENSLOCP00000000280
SINCAM920849	ENSLOCP00000000289
SINCAM002863	ENSLOCP00000000300
SINCAM015327	ENSLOCP00000000302
SINCAM921383	ENSLOCP00000000304
SINCAM015612	ENSLOCP00000000307
SINCAM920850	ENSLOCP00000000308
SINCAM015387	ENSLOCP00000000310
SINCAM012786	ENSLOCP00000000313
SINCAM001601	ENSLOCP00000000314
SINCAM922619	ENSLOCP00000000316
SINCAM921384	ENSLOCP00000000324
SINCAM005116	ENSLOCP00000000326
SINCAM900054	ENSLOCP00000000328
SINCAM002864	ENSLOCP00000000332
SINCAM016429	ENSLOCP00000000339
SINCAM003868	ENSLOCP00000000343
SINCAM015664	ENSLOCP00000000348
SINCAM008942	ENSLOCP00000000349
SINCAM011670	ENSLOCP00000000350
SINCAM015307	ENSLOCP00000000360
SINCAM008560	ENSLOCP00000000362
SINCAM014638	ENSLOCP00000000367
SINCAM006989	ENSLOCP00000000372
SINCAM018101	ENSLOCP00000000375
SINCAM002865	ENSLOCP00000000381
SINCAM015449	ENSLOCP00000000390
SINCAM012908	ENSLOCP00000000394
SINCAM013025	ENSLOCP00000000395
SINCAM006011	ENSLOCP00000000399
SINCAM014098	ENSLOCP00000000404
SINCAM001806	ENSLOCP00000000407
SINCAM011517	ENSLOCP00000000414
SINCAM004857	ENSLOCP00000000415
SINCAM010598	ENSLOCP00000000416
SINCAM005117	ENSLOCP00000000419
SINCAM922228	ENSLOCP00000000423
SINCAM922732	ENSLOCP00000000424
SINCAM014630	ENSLOCP00000000425
SINCAM007895	ENSLOCP00000000428
SINCAM012907	ENSLOCP00000000434
SINCAM013751	ENSLOCP00000000436
SINCAM013050	ENSLOCP00000000451
SINCAM001636	ENSLOCP00000000454
SINCAM010597	ENSLOCP00000000456
SINCAM000414	ENSLOCP00000000457
SINCAM005118	ENSLOCP00000000458
SINCAM004858	ENSLOCP00000000461
SINCAM007849	ENSLOCP00000000463
SINCAM017055	ENSLOCP00000000465
SINCAM009158	ENSLOCP00000000472
SINCAM010609	ENSLOCP00000000475
SINCAM922214	ENSLOCP00000000481
SINCAM004373	ENSLOCP00000000482
SINCAM007931	ENSLOCP00000000483
SINCAM000669	ENSLOCP00000000490
SINCAM015515	ENSLOCP00000000493
SINCAM012975	ENSLOCP00000000495
SINCAM012293	ENSLOCP00000000498
SINCAM001635	ENSLOCP00000000500
SINCAM010596	ENSLOCP00000000507
SINCAM921742	ENSLOCP00000000511
