fgenesh2_pg.scaffold_351000043	ENSCAFP00000012213
fgenesh2_pg.scaffold_351000067	ENSCAFP00000004595
fgenesh2_pg.scaffold_352000001	ENSCAFP00000018655
fgenesh2_pg.scaffold_352000002	ENSCAFP00000025493
fgenesh2_pg.scaffold_352000005	ENSCAFP00000017680
fgenesh2_pg.scaffold_353000014	ENSCAFP00000008939
fgenesh2_pg.scaffold_353000019	ENSCAFP00000024881
fgenesh2_pg.scaffold_353000041	ENSCAFP00000021881
fgenesh2_pg.scaffold_353000041	ENSCAFP00000042593
fgenesh2_pg.scaffold_353000043	ENSCAFP00000041669
fgenesh2_pg.scaffold_354000023	ENSCAFP00000026113
fgenesh2_pg.scaffold_354000046	ENSCAFP00000042228
fgenesh2_pg.scaffold_355000001	ENSCAFP00000013989
fgenesh2_pg.scaffold_355000037	ENSCAFP00000011121
fgenesh2_pg.scaffold_355000040	ENSCAFP00000015586
fgenesh2_pg.scaffold_355000054	ENSCAFP00000031275
fgenesh2_pg.scaffold_356000018	ENSCAFP00000041746
fgenesh2_pg.scaffold_356000031	ENSCAFP00000031016
fgenesh2_pg.scaffold_356000057	ENSCAFP00000031410
fgenesh2_pg.scaffold_357000006	ENSCAFP00000012679
fgenesh2_pg.scaffold_357000018	ENSCAFP00000033593
fgenesh2_pg.scaffold_358000018	ENSCAFP00000022811
fgenesh2_pg.scaffold_359000018	ENSCAFP00000019003
fgenesh2_pg.scaffold_359000049	ENSCAFP00000028558
fgenesh2_pg.scaffold_360000003	ENSCAFP00000038528
fgenesh2_pg.scaffold_360000023	ENSCAFP00000033139
fgenesh2_pg.scaffold_360000041	ENSCAFP00000027487
fgenesh2_pg.scaffold_361000004	ENSCAFP00000015307
fgenesh2_pg.scaffold_361000015	ENSCAFP00000037326
fgenesh2_pg.scaffold_361000017	ENSCAFP00000024452
fgenesh2_pg.scaffold_361000021	ENSCAFP00000012398
fgenesh2_pg.scaffold_361000021	ENSCAFP00000006748
fgenesh2_pg.scaffold_361000032	ENSCAFP00000039197
fgenesh2_pg.scaffold_361000038	ENSCAFP00000019175
fgenesh2_pg.scaffold_361000047	ENSCAFP00000005767
fgenesh2_pg.scaffold_362000008	ENSCAFP00000013583
fgenesh2_pg.scaffold_363000007	ENSCAFP00000002105
fgenesh2_pg.scaffold_363000008	ENSCAFP00000036287
fgenesh2_pg.scaffold_363000036	ENSCAFP00000041455
fgenesh2_pg.scaffold_364000023	ENSCAFP00000010595
fgenesh2_pg.scaffold_364000027	ENSCAFP00000041986
fgenesh2_pg.scaffold_364000038	ENSCAFP00000020817
fgenesh2_pg.scaffold_365000032	ENSCAFP00000016602
fgenesh2_pg.scaffold_367000002	ENSCAFP00000040106
fgenesh2_pg.scaffold_367000027	ENSCAFP00000024655
fgenesh2_pg.scaffold_369000015	ENSCAFP00000027778
fgenesh2_pg.scaffold_369000036	ENSCAFP00000043165
fgenesh2_pg.scaffold_370000005	ENSCAFP00000024888
fgenesh2_pg.scaffold_371000007	ENSCAFP00000037540
fgenesh2_pg.scaffold_371000015	ENSCAFP00000013399
fgenesh2_pg.scaffold_371000036	ENSCAFP00000040568
fgenesh2_pg.scaffold_371000045	ENSCAFP00000004699
fgenesh2_pg.scaffold_371000053	ENSCAFP00000007036
fgenesh2_pg.scaffold_371000060	ENSCAFP00000002178
fgenesh2_pg.scaffold_371000061	ENSCAFP00000007922
fgenesh2_pg.scaffold_373000009	ENSCAFP00000030690
fgenesh2_pg.scaffold_373000026	ENSCAFP00000018036
fgenesh2_pg.scaffold_374000005	ENSCAFP00000017130
fgenesh2_pg.scaffold_374000029	ENSCAFP00000004461
fgenesh2_pg.scaffold_374000029	ENSCAFP00000009995
fgenesh2_pg.scaffold_374000029	ENSCAFP00000024827
fgenesh2_pg.scaffold_374000038	ENSCAFP00000027597
fgenesh2_pg.scaffold_374000039	ENSCAFP00000007179
fgenesh2_pg.scaffold_374000042	ENSCAFP00000020147
fgenesh2_pg.scaffold_374000045	ENSCAFP00000009000
fgenesh2_pg.scaffold_375000002	ENSCAFP00000016430
fgenesh2_pg.scaffold_375000019	ENSCAFP00000002396
fgenesh2_pg.scaffold_375000019	ENSCAFP00000035614
fgenesh2_pg.scaffold_375000019	ENSCAFP00000005390
fgenesh2_pg.scaffold_376000034	ENSCAFP00000019980
fgenesh2_pg.scaffold_376000054	ENSCAFP00000009118
fgenesh2_pg.scaffold_377000020	ENSCAFP00000005153
fgenesh2_pg.scaffold_377000035	ENSCAFP00000041128
fgenesh2_pg.scaffold_378000047	ENSCAFP00000002972
fgenesh2_pg.scaffold_378000051	ENSCAFP00000002214
fgenesh2_pg.scaffold_379000013	ENSCAFP00000005616
fgenesh2_pg.scaffold_379000016	ENSCAFP00000007052
fgenesh2_pg.scaffold_379000017	ENSCAFP00000035008
fgenesh2_pg.scaffold_379000018	ENSCAFP00000026779
fgenesh2_pg.scaffold_380000008	ENSCAFP00000023111
fgenesh2_pg.scaffold_380000024	ENSCAFP00000019201
fgenesh2_pg.scaffold_380000036	ENSCAFP00000012536
fgenesh2_pg.scaffold_380000036	ENSCAFP00000019023
fgenesh2_pg.scaffold_381000020	ENSCAFP00000022062
fgenesh2_pg.scaffold_381000020	ENSCAFP00000009069
fgenesh2_pg.scaffold_381000021	ENSCAFP00000022033
fgenesh2_pg.scaffold_381000034	ENSCAFP00000039244
fgenesh2_pg.scaffold_382000006	ENSCAFP00000013662
fgenesh2_pg.scaffold_382000007	ENSCAFP00000006507
fgenesh2_pg.scaffold_382000007	ENSCAFP00000020473
fgenesh2_pg.scaffold_383000011	ENSCAFP00000015686
fgenesh2_pg.scaffold_384000004	ENSCAFP00000027231
fgenesh2_pg.scaffold_384000039	ENSCAFP00000009523
fgenesh2_pg.scaffold_384000041	ENSCAFP00000000803
fgenesh2_pg.scaffold_384000041	ENSCAFP00000016319
fgenesh2_pg.scaffold_385000004	ENSCAFP00000023645
fgenesh2_pg.scaffold_385000013	ENSCAFP00000029960
fgenesh2_pg.scaffold_385000017	ENSCAFP00000038707
fgenesh2_pg.scaffold_385000018	ENSCAFP00000038465
fgenesh2_pg.scaffold_386000031	ENSCAFP00000002181
fgenesh2_pg.scaffold_386000031	ENSCAFP00000004160
fgenesh2_pg.scaffold_386000031	ENSCAFP00000010914
fgenesh2_pg.scaffold_386000031	ENSCAFP00000018907
fgenesh2_pg.scaffold_386000031	ENSCAFP00000016511
fgenesh2_pg.scaffold_386000033	ENSCAFP00000014713
fgenesh2_pg.scaffold_386000033	ENSCAFP00000002806
fgenesh2_pg.scaffold_387000005	ENSCAFP00000013240
fgenesh2_pg.scaffold_388000003	ENSCAFP00000010500
fgenesh2_pg.scaffold_388000016	ENSCAFP00000033087
fgenesh2_pg.scaffold_388000028	ENSCAFP00000021147
fgenesh2_pg.scaffold_388000032	ENSCAFP00000020647
fgenesh2_pg.scaffold_389000013	ENSCAFP00000027884
fgenesh2_pg.scaffold_389000024	ENSCAFP00000032770
fgenesh2_pg.scaffold_389000031	ENSCAFP00000025219
fgenesh2_pg.scaffold_391000010	ENSCAFP00000029711
fgenesh2_pg.scaffold_391000010	ENSCAFP00000003758
fgenesh2_pg.scaffold_391000016	ENSCAFP00000026372
fgenesh2_pg.scaffold_391000023	ENSCAFP00000022935
fgenesh2_pg.scaffold_391000033	ENSCAFP00000025217
fgenesh2_pg.scaffold_391000033	ENSCAFP00000025205
fgenesh2_pg.scaffold_391000033	ENSCAFP00000000955
fgenesh2_pg.scaffold_391000033	ENSCAFP00000034981
fgenesh2_pg.scaffold_394000023	ENSCAFP00000039193
fgenesh2_pg.scaffold_395000006	ENSCAFP00000004135
fgenesh2_pg.scaffold_395000025	ENSCAFP00000025227
fgenesh2_pg.scaffold_395000037	ENSCAFP00000009500
fgenesh2_pg.scaffold_395000039	ENSCAFP00000029769
fgenesh2_pg.scaffold_396000020	ENSCAFP00000043100
fgenesh2_pg.scaffold_396000027	ENSCAFP00000012904
fgenesh2_pg.scaffold_396000027	ENSCAFP00000001204
fgenesh2_pg.scaffold_397000018	ENSCAFP00000025609
fgenesh2_pg.scaffold_398000058	ENSCAFP00000037411
fgenesh2_pg.scaffold_398000059	ENSCAFP00000042221
fgenesh2_pg.scaffold_400000031	ENSCAFP00000020625
fgenesh2_pg.scaffold_402000006	ENSCAFP00000037493
fgenesh2_pg.scaffold_402000006	ENSCAFP00000024769
fgenesh2_pg.scaffold_402000021	ENSCAFP00000012515
fgenesh2_pg.scaffold_402000028	ENSCAFP00000018354
fgenesh2_pg.scaffold_403000003	ENSCAFP00000030996
fgenesh2_pg.scaffold_403000022	ENSCAFP00000024771
fgenesh2_pg.scaffold_403000023	ENSCAFP00000002238
fgenesh2_pg.scaffold_403000023	ENSCAFP00000028496
fgenesh2_pg.scaffold_403000023	ENSCAFP00000032835
fgenesh2_pg.scaffold_403000023	ENSCAFP00000028500
fgenesh2_pg.scaffold_403000025	ENSCAFP00000012439
fgenesh2_pg.scaffold_404000010	ENSCAFP00000016627
fgenesh2_pg.scaffold_404000035	ENSCAFP00000021938
fgenesh2_pg.scaffold_404000038	ENSCAFP00000040857
fgenesh2_pg.scaffold_404000048	ENSCAFP00000020751
fgenesh2_pg.scaffold_405000003	ENSCAFP00000034224
fgenesh2_pg.scaffold_405000019	ENSCAFP00000005903
fgenesh2_pg.scaffold_406000011	ENSCAFP00000008876
fgenesh2_pg.scaffold_406000011	ENSCAFP00000040060
fgenesh2_pg.scaffold_406000014	ENSCAFP00000026049
fgenesh2_pg.scaffold_406000026	ENSCAFP00000019013
fgenesh2_pg.scaffold_406000028	ENSCAFP00000011037
fgenesh2_pg.scaffold_407000028	ENSCAFP00000003309
fgenesh2_pg.scaffold_409000004	ENSCAFP00000009691
fgenesh2_pg.scaffold_409000017	ENSCAFP00000025832
fgenesh2_pg.scaffold_410000005	ENSCAFP00000019700
fgenesh2_pg.scaffold_410000008	ENSCAFP00000030522
fgenesh2_pg.scaffold_410000031	ENSCAFP00000002986
fgenesh2_pg.scaffold_410000031	ENSCAFP00000040482
fgenesh2_pg.scaffold_411000014	ENSCAFP00000032931
fgenesh2_pg.scaffold_411000015	ENSCAFP00000034903
fgenesh2_pg.scaffold_411000041	ENSCAFP00000028961
fgenesh2_pg.scaffold_411000041	ENSCAFP00000034469
fgenesh2_pg.scaffold_411000053	ENSCAFP00000007858
fgenesh2_pg.scaffold_411000054	ENSCAFP00000011872
fgenesh2_pg.scaffold_412000006	ENSCAFP00000040231
fgenesh2_pg.scaffold_412000007	ENSCAFP00000040668
fgenesh2_pg.scaffold_413000015	ENSCAFP00000014462
fgenesh2_pg.scaffold_413000023	ENSCAFP00000016167
fgenesh2_pg.scaffold_413000024	ENSCAFP00000002432
fgenesh2_pg.scaffold_414000003	ENSCAFP00000006173
fgenesh2_pg.scaffold_414000018	ENSCAFP00000016189
fgenesh2_pg.scaffold_414000020	ENSCAFP00000039033
fgenesh2_pg.scaffold_414000023	ENSCAFP00000035938
fgenesh2_pg.scaffold_415000003	ENSCAFP00000011922
fgenesh2_pg.scaffold_416000004	ENSCAFP00000028042
fgenesh2_pg.scaffold_416000009	ENSCAFP00000005672
fgenesh2_pg.scaffold_416000013	ENSCAFP00000031996
fgenesh2_pg.scaffold_416000027	ENSCAFP00000013754
fgenesh2_pg.scaffold_416000027	ENSCAFP00000036371
fgenesh2_pg.scaffold_417000003	ENSCAFP00000008197
fgenesh2_pg.scaffold_417000011	ENSCAFP00000019369
fgenesh2_pg.scaffold_417000012	ENSCAFP00000012688
fgenesh2_pg.scaffold_417000012	ENSCAFP00000038097
fgenesh2_pg.scaffold_417000012	ENSCAFP00000015329
fgenesh2_pg.scaffold_417000012	ENSCAFP00000022418
fgenesh2_pg.scaffold_417000012	ENSCAFP00000039822
fgenesh2_pg.scaffold_418000009	ENSCAFP00000013780
fgenesh2_pg.scaffold_418000024	ENSCAFP00000013055
fgenesh2_pg.scaffold_419000014	ENSCAFP00000006774
fgenesh2_pg.scaffold_419000027	ENSCAFP00000002754
fgenesh2_pg.scaffold_421000002	ENSCAFP00000013380
fgenesh2_pg.scaffold_421000008	ENSCAFP00000042206
fgenesh2_pg.scaffold_421000019	ENSCAFP00000021976
fgenesh2_pg.scaffold_421000023	ENSCAFP00000011751
fgenesh2_pg.scaffold_422000008	ENSCAFP00000018043
fgenesh2_pg.scaffold_422000031	ENSCAFP00000040748
fgenesh2_pg.scaffold_423000012	ENSCAFP00000037914
fgenesh2_pg.scaffold_423000012	ENSCAFP00000035560
fgenesh2_pg.scaffold_423000016	ENSCAFP00000033691
fgenesh2_pg.scaffold_423000017	ENSCAFP00000009784
fgenesh2_pg.scaffold_423000017	ENSCAFP00000023205
fgenesh2_pg.scaffold_423000018	ENSCAFP00000027105
fgenesh2_pg.scaffold_423000025	ENSCAFP00000006846
fgenesh2_pg.scaffold_423000030	ENSCAFP00000042096
fgenesh2_pg.scaffold_424000001	ENSCAFP00000033962
fgenesh2_pg.scaffold_425000008	ENSCAFP00000029327
fgenesh2_pg.scaffold_425000012	ENSCAFP00000025359
fgenesh2_pg.scaffold_426000018	ENSCAFP00000014590
fgenesh2_pg.scaffold_426000022	ENSCAFP00000007552
fgenesh2_pg.scaffold_426000048	ENSCAFP00000008387
fgenesh2_pg.scaffold_427000017	ENSCAFP00000021172
fgenesh2_pg.scaffold_427000017	ENSCAFP00000013479
fgenesh2_pg.scaffold_429000008	ENSCAFP00000033861
fgenesh2_pg.scaffold_429000014	ENSCAFP00000037652
fgenesh2_pg.scaffold_429000016	ENSCAFP00000005861
fgenesh2_pg.scaffold_430000006	ENSCAFP00000036889
fgenesh2_pg.scaffold_430000022	ENSCAFP00000040151
fgenesh2_pg.scaffold_430000023	ENSCAFP00000011779
fgenesh2_pg.scaffold_431000004	ENSCAFP00000042164
fgenesh2_pg.scaffold_432000007	ENSCAFP00000038773
fgenesh2_pg.scaffold_432000036	ENSCAFP00000029463
fgenesh2_pg.scaffold_432000040	ENSCAFP00000039299
fgenesh2_pg.scaffold_432000042	ENSCAFP00000040866
fgenesh2_pg.scaffold_433000019	ENSCAFP00000012569
fgenesh2_pg.scaffold_435000006	ENSCAFP00000027485
fgenesh2_pg.scaffold_435000009	ENSCAFP00000026369
fgenesh2_pg.scaffold_435000031	ENSCAFP00000003220
fgenesh2_pg.scaffold_436000014	ENSCAFP00000019848
fgenesh2_pg.scaffold_436000015	ENSCAFP00000003120
fgenesh2_pg.scaffold_437000002	ENSCAFP00000005982
fgenesh2_pg.scaffold_438000005	ENSCAFP00000017158
fgenesh2_pg.scaffold_438000005	ENSCAFP00000015145
fgenesh2_pg.scaffold_438000005	ENSCAFP00000017211
fgenesh2_pg.scaffold_438000005	ENSCAFP00000036452
fgenesh2_pg.scaffold_438000009	ENSCAFP00000025121
fgenesh2_pg.scaffold_438000009	ENSCAFP00000037475
