ENSP00000000412	PMZ_0044679-RA
ENSP00000001008	PMZ_0031548-RA
ENSP00000001146	PMZ_0042506-RA
ENSP00000001146	PMZ_0027606-RA
ENSP00000002125	PMZ_0027732-RA
ENSP00000002125	PMZ_0036058-RA
ENSP00000002596	PMZ_0042518-RA
ENSP00000002596	PMZ_0037039-RA
ENSP00000002829	PMZ_0036792-RA
ENSP00000003084	PMZ_0032464-RA
ENSP00000003084	PMZ_0034763-RA
ENSP00000003100	PMZ_0011133-RA
ENSP00000003302	PMZ_0030521-RA
ENSP00000004531	PMZ_0013196-RA
ENSP00000004531	PMZ_0047733-RA
ENSP00000004980	PMZ_0043527-RA
ENSP00000004980	PMZ_0044993-RA
ENSP00000005257	PMZ_0040562-RA
ENSP00000005257	PMZ_0040274-RA
ENSP00000005284	PMZ_0046035-RA
ENSP00000005284	PMZ_0039134-RA
ENSP00000005587	PMZ_0044954-RA
ENSP00000006015	PMZ_0035682-RA
ENSP00000006015	PMZ_0039089-RA
ENSP00000006526	PMZ_0005087-RA
ENSP00000006658	PMZ_0008264-RA
ENSP00000006658	PMZ_0008265-RA
ENSP00000007390	PMZ_0043288-RA
ENSP00000008391	PMZ_0043740-RA
ENSP00000008391	PMZ_0043741-RA
ENSP00000008527	PMZ_0009072-RA
ENSP00000008527	PMZ_0008677-RA
ENSP00000009041	PMZ_0044966-RA
ENSP00000009041	PMZ_0027967-RA
ENSP00000009105	PMZ_0007480-RA
ENSP00000009105	PMZ_0037690-RA
ENSP00000011292	PMZ_0044421-RA
ENSP00000011619	PMZ_0027726-RA
ENSP00000011619	PMZ_0016710-RA
ENSP00000011653	PMZ_0040662-RA
ENSP00000011898	PMZ_0040918-RA
ENSP00000011898	PMZ_0000716-RA
ENSP00000012443	PMZ_0010805-RA
ENSP00000013070	PMZ_0044146-RA
ENSP00000013807	PMZ_0000740-RA
ENSP00000014930	PMZ_0010373-RA
ENSP00000017003	PMZ_0026804-RA
ENSP00000019103	PMZ_0031830-RA
ENSP00000019317	PMZ_0009968-RA
ENSP00000020673	PMZ_0016496-RA
ENSP00000020673	PMZ_0047630-RA
ENSP00000020926	PMZ_0040942-RA
ENSP00000023064	PMZ_0010399-RA
ENSP00000023064	PMZ_0029865-RA
ENSP00000023939	PMZ_0004691-RA
ENSP00000023939	PMZ_0046688-RA
ENSP00000024061	PMZ_0031366-RA
ENSP00000024061	PMZ_0041064-RA
ENSP00000025008	PMZ_0026910-RA
ENSP00000025008	PMZ_0035530-RA
ENSP00000025301	PMZ_0035849-RA
ENSP00000026218	PMZ_0018772-RA
ENSP00000035307	PMZ_0011729-RA
ENSP00000035383	PMZ_0045614-RA
ENSP00000035383	PMZ_0018882-RA
ENSP00000037243	PMZ_0042274-RA
ENSP00000037502	PMZ_0042381-RA
ENSP00000037869	PMZ_0041503-RA
ENSP00000039989	PMZ_0040885-RA
ENSP00000039989	PMZ_0032248-RA
ENSP00000040584	PMZ_0037542-RA
ENSP00000040663	PMZ_0003219-RA
ENSP00000040738	PMZ_0014972-RA
ENSP00000040877	PMZ_0028774-RA
ENSP00000040877	PMZ_0040782-RA
ENSP00000043402	PMZ_0030468-RA
ENSP00000043402	PMZ_0036178-RA
ENSP00000044462	PMZ_0045779-RA
ENSP00000052754	PMZ_0034472-RA
ENSP00000052754	PMZ_0044907-RA
ENSP00000053243	PMZ_0017377-RA
ENSP00000053468	PMZ_0007062-RA
ENSP00000053867	PMZ_0045853-RA
ENSP00000053867	PMZ_0030606-RA
ENSP00000055335	PMZ_0043819-RA
ENSP00000055335	PMZ_0043818-RA
ENSP00000055682	PMZ_0043150-RA
ENSP00000056217	PMZ_0028336-RA
ENSP00000061240	PMZ_0031950-RA
ENSP00000061240	PMZ_0032590-RA
ENSP00000064724	PMZ_0032263-RA
ENSP00000064780	PMZ_0031557-RA
ENSP00000070846	PMZ_0040911-RA
ENSP00000072644	PMZ_0002516-RA
ENSP00000074304	PMZ_0011606-RA
ENSP00000074304	PMZ_0036370-RA
ENSP00000078445	PMZ_0021746-RA
ENSP00000085068	PMZ_0017802-RA
ENSP00000085219	PMZ_0028727-RA
ENSP00000085219	PMZ_0020105-RA
ENSP00000155093	PMZ_0035785-RA
ENSP00000155093	PMZ_0048378-RA
ENSP00000155840	PMZ_0041921-RA
ENSP00000155858	PMZ_0040914-RA
ENSP00000155858	PMZ_0036623-RA
ENSP00000155926	PMZ_0004742-RA
ENSP00000155926	PMZ_0030652-RA
ENSP00000156084	PMZ_0031749-RA
ENSP00000156109	PMZ_0018795-RA
ENSP00000156471	PMZ_0014581-RA
ENSP00000156471	PMZ_0042579-RA
ENSP00000157600	PMZ_0028928-RA
ENSP00000157812	PMZ_0006837-RA
ENSP00000159087	PMZ_0027157-RA
ENSP00000159087	PMZ_0032105-RA
ENSP00000159111	PMZ_0027077-RA
ENSP00000160373	PMZ_0044017-RA
ENSP00000160382	PMZ_0033002-RA
ENSP00000161863	PMZ_0032667-RA
ENSP00000161863	PMZ_0027445-RA
ENSP00000162023	PMZ_0022853-RA
ENSP00000164024	PMZ_0030500-RA
ENSP00000164139	PMZ_0026301-RA
ENSP00000164139	PMZ_0042014-RA
ENSP00000164305	PMZ_0040125-RA
ENSP00000164305	PMZ_0035983-RA
ENSP00000165524	PMZ_0044952-RA
ENSP00000165524	PMZ_0041378-RA
ENSP00000166345	PMZ_0016871-RA
ENSP00000167106	PMZ_0029647-RA
ENSP00000167586	PMZ_0028257-RA
ENSP00000168148	PMZ_0030055-RA
ENSP00000168216	PMZ_0044450-RA
ENSP00000168712	PMZ_0040072-RA
ENSP00000168977	PMZ_0029161-RA
ENSP00000168977	PMZ_0045204-RA
ENSP00000169551	PMZ_0042276-RA
ENSP00000170168	PMZ_0028698-RA
ENSP00000170168	PMZ_0047645-RA
ENSP00000171111	PMZ_0030543-RA
ENSP00000171887	PMZ_0027428-RA
ENSP00000171887	PMZ_0026332-RA
ENSP00000172229	PMZ_0012258-RA
ENSP00000172229	PMZ_0040552-RA
ENSP00000173229	PMZ_0033279-RA
ENSP00000173229	PMZ_0042693-RA
ENSP00000173527	PMZ_0030302-RA
ENSP00000173527	PMZ_0047210-RA
ENSP00000174618	PMZ_0017978-RA
ENSP00000174618	PMZ_0031698-RA
ENSP00000175091	PMZ_0009411-RA
ENSP00000176183	PMZ_0040928-RA
ENSP00000176195	PMZ_0023301-RA
ENSP00000176763	PMZ_0003784-RA
ENSP00000178638	PMZ_0041645-RA
ENSP00000178638	PMZ_0046866-RA
ENSP00000178640	PMZ_0040454-RA
ENSP00000178640	PMZ_0040453-RA
ENSP00000179259	PMZ_0037799-RA
ENSP00000181796	PMZ_0000247-RA
ENSP00000181796	PMZ_0043572-RA
ENSP00000181839	PMZ_0015853-RA
ENSP00000182527	PMZ_0005463-RA
ENSP00000183605	PMZ_0045161-RA
ENSP00000184956	PMZ_0012328-RA
ENSP00000185206	PMZ_0041177-RA
ENSP00000185206	PMZ_0033832-RA
ENSP00000186436	PMZ_0015461-RA
ENSP00000187762	PMZ_0043902-RA
ENSP00000188312	PMZ_0016372-RA
ENSP00000190165	PMZ_0043871-RA
ENSP00000190165	PMZ_0034410-RA
