ENSMODP00000000002	SINCAM921321
ENSMODP00000000005	SINCAM004986
ENSMODP00000000007	SINCAM922514
ENSMODP00000000009	SINCAM921322
ENSMODP00000000026	SINCAM007078
ENSMODP00000000030	SINCAM921676
ENSMODP00000000032	SINCAM000476
ENSMODP00000000033	SINCAM007076
ENSMODP00000000035	SINCAM920764
ENSMODP00000000037	SINCAM002271
ENSMODP00000000038	SINCAM000289
ENSMODP00000000039	SINCAM004774
ENSMODP00000000050	SINCAM004983
ENSMODP00000000052	SINCAM000290
ENSMODP00000000056	SINCAM008399
ENSMODP00000000062	SINCAM921409
ENSMODP00000000069	SINCAM004980
ENSMODP00000000071	SINCAM002272
ENSMODP00000000079	SINCAM007080
ENSMODP00000000081	SINCAM000178
ENSMODP00000000087	SINCAM921407
ENSMODP00000000090	SINCAM004976
ENSMODP00000000091	SINCAM002274
ENSMODP00000000092	SINCAM000291
ENSMODP00000000094	SINCAM007081
ENSMODP00000000098	SINCAM000292
ENSMODP00000000102	SINCAM007082
ENSMODP00000000103	SINCAM009920
ENSMODP00000000105	SINCAM921359
ENSMODP00000000108	SINCAM921856
ENSMODP00000000110	SINCAM004650
ENSMODP00000000113	SINCAM008408
ENSMODP00000000114	SINCAM009921
ENSMODP00000000116	SINCAM006344
ENSMODP00000000120	SINCAM008402
ENSMODP00000000124	SINCAM000298
ENSMODP00000000130	SINCAM011408
ENSMODP00000000132	SINCAM011407
ENSMODP00000000133	SINCAM010907
ENSMODP00000000134	SINCAM004477
ENSMODP00000000135	SINCAM008136
ENSMODP00000000136	SINCAM008404
ENSMODP00000000137	SINCAM000301
ENSMODP00000000138	SINCAM009508
ENSMODP00000000142	SINCAM921857
ENSMODP00000000143	SINCAM011406
ENSMODP00000000144	SINCAM004653
ENSMODP00000000146	SINCAM000473
ENSMODP00000000150	SINCAM920476
ENSMODP00000000153	SINCAM004970
ENSMODP00000000154	SINCAM008458
ENSMODP00000000160	SINCAM008457
ENSMODP00000000163	SINCAM007084
ENSMODP00000000167	SINCAM922029
ENSMODP00000000168	SINCAM921545
ENSMODP00000000171	SINCAM009923
ENSMODP00000000172	SINCAM007086
ENSMODP00000000174	SINCAM008456
ENSMODP00000000175	SINCAM006360
ENSMODP00000000178	SINCAM000472
ENSMODP00000000179	SINCAM009712
ENSMODP00000000182	SINCAM921682
ENSMODP00000000185	SINCAM006990
ENSMODP00000000186	SINCAM920477
ENSMODP00000000187	SINCAM004655
ENSMODP00000000188	SINCAM011160
ENSMODP00000000191	SINCAM008450
ENSMODP00000000192	SINCAM922815
ENSMODP00000000193	SINCAM921831
ENSMODP00000000194	SINCAM013669
ENSMODP00000000195	SINCAM004656
ENSMODP00000000197	SINCAM000306
ENSMODP00000000199	SINCAM004478
ENSMODP00000000202	SINCAM011938
ENSMODP00000000204	SINCAM011410
ENSMODP00000000207	SINCAM005748
ENSMODP00000000209	SINCAM004657
ENSMODP00000000210	SINCAM012329
ENSMODP00000000213	SINCAM012557
ENSMODP00000000215	SINCAM009711
ENSMODP00000000216	SINCAM001338
ENSMODP00000000217	SINCAM008449
ENSMODP00000000222	SINCAM011117
ENSMODP00000000226	SINCAM011125
ENSMODP00000000229	SINCAM001676
ENSMODP00000000235	SINCAM008453
ENSMODP00000000237	SINCAM011942
ENSMODP00000000241	SINCAM009710
ENSMODP00000000243	SINCAM006919
ENSMODP00000000245	SINCAM004481
ENSMODP00000000251	SINCAM008388
ENSMODP00000000253	SINCAM011124
ENSMODP00000000254	SINCAM011948
ENSMODP00000000256	SINCAM000308
ENSMODP00000000258	SINCAM004658
ENSMODP00000000259	SINCAM011947
ENSMODP00000000262	SINCAM001342
ENSMODP00000000264	SINCAM008423
ENSMODP00000000265	SINCAM004660
ENSMODP00000000266	SINCAM000310
ENSMODP00000000269	SINCAM011946
ENSMODP00000000271	SINCAM008420
ENSMODP00000000274	SINCAM009709
ENSMODP00000000276	SINCAM004661
ENSMODP00000000278	SINCAM011123
ENSMODP00000000283	SINCAM012375
ENSMODP00000000286	SINCAM004662
ENSMODP00000000291	SINCAM012374
ENSMODP00000000294	SINCAM006307
ENSMODP00000000300	SINCAM011866
ENSMODP00000000301	SINCAM003405
ENSMODP00000000306	SINCAM013831
ENSMODP00000000307	SINCAM922396
ENSMODP00000000308	SINCAM006354
ENSMODP00000000313	SINCAM007058
