ENSGALP00000000002	SINCAM006085
ENSGALP00000000003	SINCAM001058
ENSGALP00000000011	SINCAM921884
ENSGALP00000000018	SINCAM922841
ENSGALP00000000021	SINCAM008330
ENSGALP00000000025	SINCAM006945
ENSGALP00000000045	SINCAM006943
ENSGALP00000000050	SINCAM922087
ENSGALP00000000052	SINCAM011310
ENSGALP00000000058	SINCAM012895
ENSGALP00000000063	SINCAM922793
ENSGALP00000000070	SINCAM000843
ENSGALP00000000076	SINCAM002566
ENSGALP00000000083	SINCAM014663
ENSGALP00000000088	SINCAM012164
ENSGALP00000000091	SINCAM000771
ENSGALP00000000096	SINCAM004696
ENSGALP00000000102	SINCAM001562
ENSGALP00000000114	SINCAM014347
ENSGALP00000000122	SINCAM922516
ENSGALP00000000127	SINCAM015473
ENSGALP00000000131	SINCAM922539
ENSGALP00000000135	SINCAM000379
ENSGALP00000000137	SINCAM012296
ENSGALP00000000140	SINCAM012244
ENSGALP00000000144	SINCAM012346
ENSGALP00000000146	SINCAM014626
ENSGALP00000000148	SINCAM014579
ENSGALP00000000157	SINCAM012519
ENSGALP00000000161	SINCAM009561
ENSGALP00000000168	SINCAM014349
ENSGALP00000000170	SINCAM000417
ENSGALP00000000178	SINCAM010466
ENSGALP00000000183	SINCAM014350
ENSGALP00000000189	SINCAM012125
ENSGALP00000000194	SINCAM012355
ENSGALP00000000199	SINCAM008706
ENSGALP00000000205	SINCAM000492
ENSGALP00000000206	SINCAM922888
ENSGALP00000000209	SINCAM012350
ENSGALP00000000211	SINCAM005371
ENSGALP00000000216	SINCAM900209
ENSGALP00000000221	SINCAM004192
ENSGALP00000000223	SINCAM012257
ENSGALP00000000226	SINCAM014321
ENSGALP00000000232	SINCAM000484
ENSGALP00000000233	SINCAM016596
ENSGALP00000000239	SINCAM900210
ENSGALP00000000242	SINCAM012359
ENSGALP00000000246	SINCAM001102
ENSGALP00000000256	SINCAM009523
ENSGALP00000000261	SINCAM921224
ENSGALP00000000266	SINCAM016732
ENSGALP00000000272	SINCAM921837
ENSGALP00000000275	SINCAM001103
ENSGALP00000000282	SINCAM001104
ENSGALP00000000286	SINCAM012271
ENSGALP00000000293	SINCAM920589
ENSGALP00000000295	SINCAM001107
ENSGALP00000000297	SINCAM922837
ENSGALP00000000303	SINCAM012329
ENSGALP00000000309	SINCAM014323
ENSGALP00000000311	SINCAM013300
ENSGALP00000000312	SINCAM001108
ENSGALP00000000316	SINCAM015310
ENSGALP00000000317	SINCAM001571
ENSGALP00000000319	SINCAM001109
ENSGALP00000000320	SINCAM014320
ENSGALP00000000321	SINCAM013558
ENSGALP00000000322	SINCAM001110
ENSGALP00000000325	SINCAM001111
ENSGALP00000000327	SINCAM013559
ENSGALP00000000329	SINCAM013560
ENSGALP00000000331	SINCAM001112
ENSGALP00000000333	SINCAM001114
ENSGALP00000000337	SINCAM003416
ENSGALP00000000338	SINCAM011756
ENSGALP00000000343	SINCAM001115
ENSGALP00000000352	SINCAM013965
ENSGALP00000000358	SINCAM001116
ENSGALP00000000360	SINCAM013531
ENSGALP00000000361	SINCAM014318
ENSGALP00000000364	SINCAM001117
ENSGALP00000000365	SINCAM014258
ENSGALP00000000368	SINCAM001118
ENSGALP00000000373	SINCAM013967
ENSGALP00000000379	SINCAM014002
ENSGALP00000000383	SINCAM010633
ENSGALP00000000384	SINCAM003446
ENSGALP00000000385	SINCAM922220
ENSGALP00000000387	SINCAM008359
ENSGALP00000000392	SINCAM922743
ENSGALP00000000400	SINCAM012249
ENSGALP00000000403	SINCAM011369
ENSGALP00000000406	SINCAM012843
ENSGALP00000000409	SINCAM012250
ENSGALP00000000410	SINCAM922526
ENSGALP00000000412	SINCAM014257
ENSGALP00000000416	SINCAM013989
ENSGALP00000000418	SINCAM005601
ENSGALP00000000419	SINCAM014337
ENSGALP00000000421	SINCAM922714
ENSGALP00000000422	SINCAM007011
ENSGALP00000000423	SINCAM012253
ENSGALP00000000429	SINCAM921790
ENSGALP00000000432	SINCAM922889
ENSGALP00000000449	SINCAM005669
ENSGALP00000000451	SINCAM012725
ENSGALP00000000468	SINCAM013396
ENSGALP00000000471	SINCAM922441
ENSGALP00000000478	SINCAM922712
ENSGALP00000000484	SINCAM920808
ENSGALP00000000485	SINCAM921789
ENSGALP00000000490	SINCAM012254
ENSGALP00000000494	SINCAM013397
ENSGALP00000000497	SINCAM009018
ENSGALP00000000498	SINCAM013398
ENSGALP00000000499	SINCAM012388
ENSGALP00000000502	SINCAM013529
ENSGALP00000000506	SINCAM922515
ENSGALP00000000509	SINCAM009800
ENSGALP00000000518	SINCAM013537
ENSGALP00000000524	SINCAM009043
ENSGALP00000000530	SINCAM014264
ENSGALP00000000538	SINCAM014748
ENSGALP00000000540	SINCAM922655
ENSGALP00000000541	SINCAM012360
ENSGALP00000000543	SINCAM009435
ENSGALP00000000544	SINCAM012094
ENSGALP00000000545	SINCAM012093
ENSGALP00000000547	SINCAM006832
ENSGALP00000000549	SINCAM922672
ENSGALP00000000556	SINCAM014339
ENSGALP00000000558	SINCAM922654
ENSGALP00000000562	SINCAM922711
ENSGALP00000000569	SINCAM012092
ENSGALP00000000573	SINCAM013877
ENSGALP00000000579	SINCAM013590
ENSGALP00000000581	SINCAM012362
ENSGALP00000000583	SINCAM900203
ENSGALP00000000586	SINCAM012711
ENSGALP00000000594	SINCAM000911
ENSGALP00000000595	SINCAM900272
ENSGALP00000000597	SINCAM012259
ENSGALP00000000611	SINCAM006207
ENSGALP00000000613	SINCAM017405
ENSGALP00000000615	SINCAM013329
ENSGALP00000000619	SINCAM015923
ENSGALP00000000625	SINCAM005238
