ENSP00000354794	ENSP00000455426
ENSP00000455426	ENSP00000354794
ENSP00000407487	ENSP00000268876
ENSP00000268876	ENSP00000407487
ENSP00000361900	ENSP00000373450
ENSP00000373450	ENSP00000361900
ENSP00000295408	ENSP00000301178
ENSP00000301178	ENSP00000295408
ENSP00000296474	ENSP00000317272
ENSP00000317272	ENSP00000296474
ENSP00000305059	ENSP00000363970
ENSP00000363970	ENSP00000305059
ENSP00000268607	ENSP00000363970
ENSP00000363970	ENSP00000268607
ENSP00000362057	ENSP00000367851
ENSP00000367851	ENSP00000362057
ENSP00000362057	ENSP00000159060
ENSP00000159060	ENSP00000362057
ENSP00000367851	ENSP00000159060
ENSP00000159060	ENSP00000367851
ENSP00000358635	ENSP00000363745
ENSP00000363745	ENSP00000358635
ENSP00000354995	ENSP00000304111
ENSP00000304111	ENSP00000354995
ENSP00000272286	ENSP00000260645
ENSP00000260645	ENSP00000272286
ENSP00000292672	ENSP00000410584
ENSP00000410584	ENSP00000292672
ENSP00000292672	ENSP00000290583
ENSP00000290583	ENSP00000292672
ENSP00000410584	ENSP00000290583
ENSP00000290583	ENSP00000410584
ENSP00000389951	ENSP00000435926
ENSP00000435926	ENSP00000389951
ENSP00000366488	ENSP00000359719
ENSP00000359719	ENSP00000366488
ENSP00000309591	ENSP00000359719
ENSP00000359719	ENSP00000309591
ENSP00000362994	ENSP00000247668
ENSP00000247668	ENSP00000362994
ENSP00000376765	ENSP00000249636
ENSP00000249636	ENSP00000376765
ENSP00000376765	ENSP00000465676
ENSP00000465676	ENSP00000376765
ENSP00000376765	ENSP00000262971
ENSP00000262971	ENSP00000376765
ENSP00000249636	ENSP00000465676
ENSP00000465676	ENSP00000249636
ENSP00000249636	ENSP00000262971
ENSP00000262971	ENSP00000249636
ENSP00000465676	ENSP00000262971
ENSP00000262971	ENSP00000465676
ENSP00000334474	ENSP00000311778
ENSP00000311778	ENSP00000334474
ENSP00000308361	ENSP00000260843
ENSP00000260843	ENSP00000308361
ENSP00000308361	ENSP00000320376
ENSP00000320376	ENSP00000308361
ENSP00000308361	ENSP00000307259
ENSP00000307259	ENSP00000308361
ENSP00000260843	ENSP00000320376
ENSP00000320376	ENSP00000260843
ENSP00000260843	ENSP00000307259
ENSP00000307259	ENSP00000260843
ENSP00000320376	ENSP00000307259
ENSP00000307259	ENSP00000320376
ENSP00000337618	ENSP00000295461
ENSP00000295461	ENSP00000337618
ENSP00000337618	ENSP00000311687
ENSP00000311687	ENSP00000337618
ENSP00000295461	ENSP00000311687
ENSP00000311687	ENSP00000295461
ENSP00000363520	ENSP00000339256
ENSP00000339256	ENSP00000363520
ENSP00000313059	ENSP00000246914
ENSP00000246914	ENSP00000313059
ENSP00000313059	ENSP00000297954
ENSP00000297954	ENSP00000313059
ENSP00000313059	ENSP00000346667
ENSP00000346667	ENSP00000313059
ENSP00000246914	ENSP00000297954
ENSP00000297954	ENSP00000246914
ENSP00000246914	ENSP00000346667
ENSP00000346667	ENSP00000246914
ENSP00000297954	ENSP00000346667
ENSP00000346667	ENSP00000297954
ENSP00000233557	ENSP00000414055
ENSP00000414055	ENSP00000233557
ENSP00000369666	ENSP00000366271
ENSP00000366271	ENSP00000369666
ENSP00000369666	ENSP00000432786
ENSP00000432786	ENSP00000369666
ENSP00000366271	ENSP00000432786
ENSP00000432786	ENSP00000366271
ENSP00000350676	ENSP00000352185
ENSP00000352185	ENSP00000350676
ENSP00000350676	ENSP00000380692
ENSP00000380692	ENSP00000350676
ENSP00000352185	ENSP00000380692
ENSP00000380692	ENSP00000352185
ENSP00000251363	ENSP00000271688
ENSP00000271688	ENSP00000251363
ENSP00000251363	ENSP00000284382
ENSP00000284382	ENSP00000251363
ENSP00000271688	ENSP00000284382
ENSP00000284382	ENSP00000271688
