SINCAM003135	ENSCAFP00000000001
SINCAM001857	ENSCAFP00000000006
SINCAM001856	ENSCAFP00000000007
SINCAM002276	ENSCAFP00000000008
SINCAM002354	ENSCAFP00000000010
SINCAM002351	ENSCAFP00000000011
SINCAM002350	ENSCAFP00000000012
SINCAM002349	ENSCAFP00000000013
SINCAM002347	ENSCAFP00000000020
SINCAM002346	ENSCAFP00000000022
SINCAM002345	ENSCAFP00000000026
SINCAM002340	ENSCAFP00000000032
SINCAM002338	ENSCAFP00000000034
SINCAM002402	ENSCAFP00000000037
SINCAM002403	ENSCAFP00000000040
SINCAM920775	ENSCAFP00000000041
SINCAM000075	ENSCAFP00000000042
SINCAM002423	ENSCAFP00000000043
SINCAM002422	ENSCAFP00000000045
SINCAM002421	ENSCAFP00000000046
SINCAM002417	ENSCAFP00000000048
SINCAM004561	ENSCAFP00000000049
SINCAM002756	ENSCAFP00000000060
SINCAM002017	ENSCAFP00000000064
SINCAM000098	ENSCAFP00000000068
SINCAM014203	ENSCAFP00000000074
SINCAM922767	ENSCAFP00000000082
SINCAM014204	ENSCAFP00000000084
SINCAM006631	ENSCAFP00000000088
SINCAM001816	ENSCAFP00000000091
SINCAM014205	ENSCAFP00000000096
SINCAM001991	ENSCAFP00000000100
SINCAM001990	ENSCAFP00000000101
SINCAM920726	ENSCAFP00000000102
SINCAM014168	ENSCAFP00000000106
SINCAM001943	ENSCAFP00000000107
SINCAM014169	ENSCAFP00000000108
SINCAM006307	ENSCAFP00000000109
SINCAM920716	ENSCAFP00000000110
SINCAM014114	ENSCAFP00000000113
SINCAM002064	ENSCAFP00000000114
SINCAM922752	ENSCAFP00000000115
SINCAM920714	ENSCAFP00000000117
SINCAM001941	ENSCAFP00000000119
SINCAM921585	ENSCAFP00000000121
SINCAM001940	ENSCAFP00000000122
SINCAM006566	ENSCAFP00000000123
SINCAM920712	ENSCAFP00000000126
SINCAM001389	ENSCAFP00000000129
SINCAM001390	ENSCAFP00000000133
SINCAM001392	ENSCAFP00000000135
SINCAM001393	ENSCAFP00000000137
SINCAM001395	ENSCAFP00000000140
SINCAM001396	ENSCAFP00000000142
SINCAM014113	ENSCAFP00000000143
SINCAM014051	ENSCAFP00000000145
SINCAM012747	ENSCAFP00000000146
SINCAM001398	ENSCAFP00000000148
SINCAM014179	ENSCAFP00000000152
SINCAM014178	ENSCAFP00000000155
SINCAM014036	ENSCAFP00000000162
SINCAM014034	ENSCAFP00000000164
SINCAM014033	ENSCAFP00000000167
SINCAM014031	ENSCAFP00000000169
SINCAM001399	ENSCAFP00000000179
SINCAM012299	ENSCAFP00000000180
SINCAM001401	ENSCAFP00000000182
SINCAM001402	ENSCAFP00000000186
SINCAM001405	ENSCAFP00000000191
SINCAM922773	ENSCAFP00000000192
SINCAM014043	ENSCAFP00000000198
SINCAM001408	ENSCAFP00000000199
SINCAM006780	ENSCAFP00000000202
