fgenesh2_pg.scaffold_351000043	ENSMODP00000015069
fgenesh2_pg.scaffold_351000050	ENSMODP00000019518
fgenesh2_pg.scaffold_352000001	ENSMODP00000011807
fgenesh2_pg.scaffold_352000002	ENSMODP00000038507
fgenesh2_pg.scaffold_352000005	ENSMODP00000017839
fgenesh2_pg.scaffold_352000025	ENSMODP00000019596
fgenesh2_pg.scaffold_353000014	ENSMODP00000012964
fgenesh2_pg.scaffold_353000019	ENSMODP00000041169
fgenesh2_pg.scaffold_353000041	ENSMODP00000020054
fgenesh2_pg.scaffold_355000001	ENSMODP00000037250
fgenesh2_pg.scaffold_355000016	ENSMODP00000013676
fgenesh2_pg.scaffold_355000037	ENSMODP00000015334
fgenesh2_pg.scaffold_355000051	ENSMODP00000004701
fgenesh2_pg.scaffold_355000054	ENSMODP00000014940
fgenesh2_pg.scaffold_356000031	ENSMODP00000040690
fgenesh2_pg.scaffold_356000057	ENSMODP00000036216
fgenesh2_pg.scaffold_358000027	ENSMODP00000018778
fgenesh2_pg.scaffold_359000018	ENSMODP00000038266
fgenesh2_pg.scaffold_359000048	ENSMODP00000002737
fgenesh2_pg.scaffold_359000049	ENSMODP00000034570
fgenesh2_pg.scaffold_360000003	ENSMODP00000038751
fgenesh2_pg.scaffold_360000037	ENSMODP00000040640
fgenesh2_pg.scaffold_360000041	ENSMODP00000032553
fgenesh2_pg.scaffold_360000041	ENSMODP00000019686
fgenesh2_pg.scaffold_361000001	ENSMODP00000026536
fgenesh2_pg.scaffold_361000015	ENSMODP00000005727
fgenesh2_pg.scaffold_361000015	ENSMODP00000038513
fgenesh2_pg.scaffold_361000017	ENSMODP00000008723
fgenesh2_pg.scaffold_361000021	ENSMODP00000026593
fgenesh2_pg.scaffold_361000021	ENSMODP00000040481
fgenesh2_pg.scaffold_361000032	ENSMODP00000038629
fgenesh2_pg.scaffold_361000038	ENSMODP00000020071
fgenesh2_pg.scaffold_362000015	ENSMODP00000038884
fgenesh2_pg.scaffold_363000007	ENSMODP00000011273
fgenesh2_pg.scaffold_363000019	ENSMODP00000014218
fgenesh2_pg.scaffold_363000027	ENSMODP00000039770
fgenesh2_pg.scaffold_363000036	ENSMODP00000011542
fgenesh2_pg.scaffold_364000027	ENSMODP00000020747
fgenesh2_pg.scaffold_364000050	ENSMODP00000033408
fgenesh2_pg.scaffold_364000053	ENSMODP00000008169
fgenesh2_pg.scaffold_365000032	ENSMODP00000006369
fgenesh2_pg.scaffold_367000027	ENSMODP00000003185
fgenesh2_pg.scaffold_367000045	ENSMODP00000021240
fgenesh2_pg.scaffold_369000015	ENSMODP00000005962
fgenesh2_pg.scaffold_369000019	ENSMODP00000038240
fgenesh2_pg.scaffold_369000029	ENSMODP00000033678
fgenesh2_pg.scaffold_369000036	ENSMODP00000020981
fgenesh2_pg.scaffold_370000019	ENSMODP00000038224
fgenesh2_pg.scaffold_371000015	ENSMODP00000025927
fgenesh2_pg.scaffold_371000020	ENSMODP00000023729
fgenesh2_pg.scaffold_371000053	ENSMODP00000008893
fgenesh2_pg.scaffold_371000060	ENSMODP00000008137
fgenesh2_pg.scaffold_371000061	ENSMODP00000005260
fgenesh2_pg.scaffold_372000006	ENSMODP00000023910
fgenesh2_pg.scaffold_373000026	ENSMODP00000024331
fgenesh2_pg.scaffold_374000015	ENSMODP00000040742
fgenesh2_pg.scaffold_374000029	ENSMODP00000000376
fgenesh2_pg.scaffold_374000029	ENSMODP00000015414
fgenesh2_pg.scaffold_374000038	ENSMODP00000015896
fgenesh2_pg.scaffold_374000042	ENSMODP00000019785
fgenesh2_pg.scaffold_374000045	ENSMODP00000014343
fgenesh2_pg.scaffold_375000002	ENSMODP00000020766
fgenesh2_pg.scaffold_375000012	ENSMODP00000036677
fgenesh2_pg.scaffold_375000019	ENSMODP00000018855
fgenesh2_pg.scaffold_375000019	ENSMODP00000017053
fgenesh2_pg.scaffold_376000007	ENSMODP00000016910
fgenesh2_pg.scaffold_376000012	ENSMODP00000025689
fgenesh2_pg.scaffold_376000022	ENSMODP00000032871
fgenesh2_pg.scaffold_376000033	ENSMODP00000023917
fgenesh2_pg.scaffold_376000034	ENSMODP00000012188
fgenesh2_pg.scaffold_376000054	ENSMODP00000024675
fgenesh2_pg.scaffold_377000020	ENSMODP00000022597
fgenesh2_pg.scaffold_377000035	ENSMODP00000006023
fgenesh2_pg.scaffold_378000051	ENSMODP00000018355
fgenesh2_pg.scaffold_379000009	ENSMODP00000016614
fgenesh2_pg.scaffold_379000018	ENSMODP00000008898
fgenesh2_pg.scaffold_380000008	ENSMODP00000016928
fgenesh2_pg.scaffold_380000009	ENSMODP00000021770
fgenesh2_pg.scaffold_380000012	ENSMODP00000040502
fgenesh2_pg.scaffold_380000024	ENSMODP00000021347
fgenesh2_pg.scaffold_380000026	ENSMODP00000011528
fgenesh2_pg.scaffold_380000036	ENSMODP00000019892
fgenesh2_pg.scaffold_380000041	ENSMODP00000024799
fgenesh2_pg.scaffold_381000020	ENSMODP00000005236
fgenesh2_pg.scaffold_381000020	ENSMODP00000013345
fgenesh2_pg.scaffold_381000021	ENSMODP00000013395
fgenesh2_pg.scaffold_381000034	ENSMODP00000017474
fgenesh2_pg.scaffold_381000042	ENSMODP00000039067
fgenesh2_pg.scaffold_382000006	ENSMODP00000002642
fgenesh2_pg.scaffold_382000007	ENSMODP00000010533
fgenesh2_pg.scaffold_382000041	ENSMODP00000039864
fgenesh2_pg.scaffold_383000011	ENSMODP00000000574
fgenesh2_pg.scaffold_383000032	ENSMODP00000013573
fgenesh2_pg.scaffold_384000004	ENSMODP00000018278
