SINCAM000004	ENSDARP00000101228
SINCAM000008	ENSDARP00000005262
SINCAM000009	ENSDARP00000029094
SINCAM000010	ENSDARP00000078268
SINCAM000010	ENSDARP00000102657
SINCAM000016	ENSDARP00000012805
SINCAM000017	ENSDARP00000008825
SINCAM000017	ENSDARP00000103887
SINCAM000018	ENSDARP00000105343
SINCAM000018	ENSDARP00000060954
SINCAM000019	ENSDARP00000109662
SINCAM000020	ENSDARP00000097465
SINCAM000022	ENSDARP00000088096
SINCAM000024	ENSDARP00000099456
SINCAM000024	ENSDARP00000099610
SINCAM000025	ENSDARP00000074839
SINCAM000027	ENSDARP00000116939
SINCAM000027	ENSDARP00000124102
SINCAM000030	ENSDARP00000113027
SINCAM000034	ENSDARP00000081101
SINCAM000035	ENSDARP00000106720
SINCAM000035	ENSDARP00000102269
SINCAM000036	ENSDARP00000016669
SINCAM000036	ENSDARP00000043929
SINCAM000037	ENSDARP00000035494
SINCAM000037	ENSDARP00000090718
SINCAM000040	ENSDARP00000085842
SINCAM000040	ENSDARP00000104253
SINCAM000044	ENSDARP00000121445
SINCAM000044	ENSDARP00000111764
SINCAM000045	ENSDARP00000054573
SINCAM000045	ENSDARP00000119644
SINCAM000047	ENSDARP00000089411
SINCAM000047	ENSDARP00000117985
SINCAM000048	ENSDARP00000106239
SINCAM000049	ENSDARP00000071454
SINCAM000049	ENSDARP00000043209
SINCAM000051	ENSDARP00000109117
SINCAM000052	ENSDARP00000122539
SINCAM000054	ENSDARP00000118759
SINCAM000055	ENSDARP00000083666
SINCAM000055	ENSDARP00000090007
SINCAM000058	ENSDARP00000108612
SINCAM000063	ENSDARP00000113818
SINCAM000065	ENSDARP00000121958
SINCAM000066	ENSDARP00000101190
SINCAM000067	ENSDARP00000099487
SINCAM000067	ENSDARP00000099668
SINCAM000068	ENSDARP00000059225
SINCAM000068	ENSDARP00000103908
SINCAM000069	ENSDARP00000088195
SINCAM000071	ENSDARP00000101702
SINCAM000071	ENSDARP00000126821
SINCAM000075	ENSDARP00000108075
SINCAM000077	ENSDARP00000050602
SINCAM000078	ENSDARP00000128580
SINCAM000079	ENSDARP00000112441
SINCAM000080	ENSDARP00000102053
SINCAM000081	ENSDARP00000067146
SINCAM000081	ENSDARP00000013433
SINCAM000083	ENSDARP00000110342
SINCAM000084	ENSDARP00000057558
SINCAM000084	ENSDARP00000129415
SINCAM000086	ENSDARP00000055087
SINCAM000086	ENSDARP00000101152
SINCAM000100	ENSDARP00000089318
SINCAM000100	ENSDARP00000033191
SINCAM000102	ENSDARP00000015026
SINCAM000104	ENSDARP00000082953
SINCAM000105	ENSDARP00000114072
SINCAM000106	ENSDARP00000099552
SINCAM000106	ENSDARP00000107528
SINCAM000109	ENSDARP00000115423
SINCAM000111	ENSDARP00000111479
SINCAM000112	ENSDARP00000042310
SINCAM000116	ENSDARP00000110829
SINCAM000116	ENSDARP00000019873
SINCAM000117	ENSDARP00000059321
SINCAM000117	ENSDARP00000112348
SINCAM000118	ENSDARP00000107764
SINCAM000120	ENSDARP00000087660
SINCAM000120	ENSDARP00000057868
SINCAM000122	ENSDARP00000109937
SINCAM000122	ENSDARP00000112359
SINCAM000123	ENSDARP00000106273
SINCAM000123	ENSDARP00000105263
SINCAM000126	ENSDARP00000101586
SINCAM000127	ENSDARP00000122367
SINCAM000127	ENSDARP00000114233
SINCAM000128	ENSDARP00000110219
SINCAM000129	ENSDARP00000070056
SINCAM000129	ENSDARP00000026086
SINCAM000130	ENSDARP00000043865
SINCAM000131	ENSDARP00000050073
SINCAM000132	ENSDARP00000042485
SINCAM000133	ENSDARP00000005003
SINCAM000133	ENSDARP00000007794
SINCAM000135	ENSDARP00000110172
SINCAM000136	ENSDARP00000009527
SINCAM000136	ENSDARP00000083373
SINCAM000137	ENSDARP00000068161
SINCAM000140	ENSDARP00000055877
SINCAM000141	ENSDARP00000116187
SINCAM000141	ENSDARP00000118870
SINCAM000142	ENSDARP00000110971
SINCAM000143	ENSDARP00000122575
SINCAM000143	ENSDARP00000126575
SINCAM000148	ENSDARP00000093767
SINCAM000148	ENSDARP00000022188
SINCAM000151	ENSDARP00000098708
SINCAM000151	ENSDARP00000113396
SINCAM000152	ENSDARP00000120440
SINCAM000152	ENSDARP00000049927
SINCAM000153	ENSDARP00000100235
SINCAM000153	ENSDARP00000100689
SINCAM000154	ENSDARP00000021241
SINCAM000155	ENSDARP00000068115
SINCAM000155	ENSDARP00000073815
SINCAM000156	ENSDARP00000003616
SINCAM000159	ENSDARP00000116772
SINCAM000159	ENSDARP00000112794
SINCAM000161	ENSDARP00000016871
SINCAM000161	ENSDARP00000075010
SINCAM000162	ENSDARP00000056744
SINCAM000163	ENSDARP00000112600
SINCAM000164	ENSDARP00000101249
SINCAM000164	ENSDARP00000098666
SINCAM000165	ENSDARP00000100934
SINCAM000166	ENSDARP00000010904
