ENSP00000001008	SINLEJ016677
ENSP00000001146	SINLEJ015199
ENSP00000001146	SINLEJ004281
ENSP00000002125	SINLEJ001156
ENSP00000002596	SINLEJ004527
ENSP00000002596	SINLEJ011987
ENSP00000003084	SINLEJ011362
ENSP00000003084	SINLEJ011363
ENSP00000003100	SINLEJ600360
ENSP00000003100	SINLEJ600361
ENSP00000004531	SINLEJ014115
ENSP00000004531	SINLEJ014111
ENSP00000004980	SINLEJ010433
ENSP00000005257	SINLEJ600408
ENSP00000005257	SINLEJ001390
ENSP00000005284	SINLEJ017060
ENSP00000005386	SINLEJ009556
ENSP00000006015	SINLEJ600494
ENSP00000006526	SINLEJ004391
ENSP00000006658	SINLEJ010909
ENSP00000007390	SINLEJ009142
ENSP00000007414	SINLEJ016451
ENSP00000007722	SINLEJ013774
ENSP00000008391	SINLEJ008447
ENSP00000008391	SINLEJ008446
ENSP00000008527	SINLEJ007534
ENSP00000008527	SINLEJ007533
ENSP00000010299	SINLEJ005869
ENSP00000010299	SINLEJ005868
ENSP00000011619	SINLEJ008832
ENSP00000011619	SINLEJ012983
ENSP00000011898	SINLEJ016869
ENSP00000011898	SINLEJ015748
ENSP00000012443	SINLEJ000959
ENSP00000012443	SINLEJ000958
ENSP00000013070	SINLEJ001128
ENSP00000013125	SINLEJ000992
ENSP00000013125	SINLEJ006088
ENSP00000013222	SINLEJ016926
ENSP00000013222	SINLEJ006143
ENSP00000013807	SINLEJ001209
ENSP00000013807	SINLEJ016764
ENSP00000014930	SINLEJ000668
ENSP00000017003	SINLEJ017469
ENSP00000019103	SINLEJ010351
ENSP00000019103	SINLEJ003171
ENSP00000019317	SINLEJ004447
ENSP00000020673	SINLEJ006663
ENSP00000020926	SINLEJ013212
ENSP00000023064	SINLEJ013939
ENSP00000023064	SINLEJ008602
ENSP00000023939	SINLEJ005492
ENSP00000024061	SINLEJ009628
ENSP00000024061	SINLEJ006797
ENSP00000025008	SINLEJ008252
ENSP00000025008	SINLEJ008253
ENSP00000026218	SINLEJ012592
ENSP00000033079	SINLEJ006455
ENSP00000035307	SINLEJ600258
ENSP00000035383	SINLEJ017317
ENSP00000035383	SINLEJ014878
ENSP00000037243	SINLEJ009252
ENSP00000037243	SINLEJ019463
ENSP00000037502	SINLEJ005637
ENSP00000037869	SINLEJ004454
ENSP00000039989	SINLEJ013135
ENSP00000039989	SINLEJ013136
ENSP00000040584	SINLEJ010403
ENSP00000040584	SINLEJ008017
ENSP00000040663	SINLEJ005649
ENSP00000040738	SINLEJ011972
ENSP00000040738	SINLEJ000948
ENSP00000040877	SINLEJ002155
ENSP00000043402	SINLEJ005921
ENSP00000043402	SINLEJ014789
ENSP00000044462	SINLEJ014258
ENSP00000046794	SINLEJ011981
ENSP00000052754	SINLEJ018034
ENSP00000052754	SINLEJ007434
ENSP00000053468	SINLEJ000853
ENSP00000053468	SINLEJ017006
ENSP00000053867	SINLEJ600015
ENSP00000054950	SINLEJ019098
ENSP00000054950	SINLEJ018876
ENSP00000055077	SINLEJ001723
ENSP00000061240	SINLEJ010608
ENSP00000061240	SINLEJ006498
ENSP00000064571	SINLEJ011162
ENSP00000064571	SINLEJ008750
ENSP00000064724	SINLEJ007716
ENSP00000064780	SINLEJ007050
ENSP00000070846	SINLEJ016851
ENSP00000072644	SINLEJ009947
ENSP00000074304	SINLEJ007040
ENSP00000074304	SINLEJ007041
ENSP00000078445	SINLEJ000506
ENSP00000080059	SINLEJ008018
ENSP00000080059	SINLEJ008019
ENSP00000081029	SINLEJ017530
ENSP00000081029	SINLEJ009311
ENSP00000085068	SINLEJ008982
ENSP00000085219	SINLEJ001010
ENSP00000085219	SINLEJ001007
ENSP00000155840	SINLEJ016261
ENSP00000155840	SINLEJ016260
ENSP00000155858	SINLEJ016856
ENSP00000155858	SINLEJ016761
ENSP00000155926	SINLEJ009718
ENSP00000155926	SINLEJ006739
ENSP00000156084	SINLEJ007408
ENSP00000156109	SINLEJ009559
ENSP00000156109	SINLEJ009560
ENSP00000156471	SINLEJ017080
ENSP00000156626	SINLEJ013980
ENSP00000156626	SINLEJ018738
ENSP00000157812	SINLEJ014607
ENSP00000157812	SINLEJ014608
ENSP00000159087	SINLEJ010793
ENSP00000159111	SINLEJ009965
ENSP00000161863	SINLEJ012794
ENSP00000163416	SINLEJ005857
ENSP00000164024	SINLEJ007389
ENSP00000164139	SINLEJ000762
ENSP00000164139	SINLEJ002079
ENSP00000164227	SINLEJ014653
ENSP00000164305	SINLEJ003028
ENSP00000164305	SINLEJ003026
ENSP00000164640	SINLEJ011422
ENSP00000166345	SINLEJ011231
ENSP00000167106	SINLEJ000657
ENSP00000167106	SINLEJ000660
ENSP00000168216	SINLEJ012297
ENSP00000168977	SINLEJ016433
ENSP00000168977	SINLEJ011377
ENSP00000169298	SINLEJ013429
ENSP00000170168	SINLEJ009932
ENSP00000171111	SINLEJ000366
ENSP00000171111	SINLEJ000367
ENSP00000171887	SINLEJ015294
ENSP00000171887	SINLEJ003504
ENSP00000172229	SINLEJ003374
ENSP00000172229	SINLEJ600439
ENSP00000173229	SINLEJ005288
ENSP00000173229	SINLEJ003137
ENSP00000173527	SINLEJ012923
ENSP00000174618	SINLEJ015367
ENSP00000175091	SINLEJ009691
ENSP00000175091	SINLEJ008361
ENSP00000178638	SINLEJ003603
ENSP00000178638	SINLEJ014959
ENSP00000178640	SINLEJ000460
ENSP00000178640	SINLEJ000459
ENSP00000181383	SINLEJ011870
ENSP00000181796	SINLEJ015777
ENSP00000181796	SINLEJ010108
ENSP00000181839	SINLEJ004806
ENSP00000182527	SINLEJ006789
ENSP00000183605	SINLEJ011763
ENSP00000184956	SINLEJ003783
ENSP00000184956	SINLEJ003784
ENSP00000185150	SINLEJ002099
ENSP00000185150	SINLEJ002098
ENSP00000185206	SINLEJ012743
ENSP00000185206	SINLEJ017620
ENSP00000186436	SINLEJ007042
ENSP00000187762	SINLEJ010007
ENSP00000188312	SINLEJ007531
ENSP00000190165	SINLEJ009968
ENSP00000193322	SINLEJ017793
ENSP00000193322	SINLEJ017791
ENSP00000194130	SINLEJ013194
ENSP00000194214	SINLEJ009889
ENSP00000195654	SINLEJ012693
ENSP00000196061	SINLEJ012221
ENSP00000196061	SINLEJ007776
ENSP00000196371	SINLEJ012489
ENSP00000198767	SINLEJ017630
ENSP00000198767	SINLEJ014792
ENSP00000199389	SINLEJ008798
ENSP00000199448	SINLEJ001322
ENSP00000199706	SINLEJ002095
ENSP00000199814	SINLEJ010516
ENSP00000200181	SINLEJ011040
ENSP00000200181	SINLEJ015595
ENSP00000200557	SINLEJ004650
ENSP00000200652	SINLEJ003254
ENSP00000201586	SINLEJ015822
ENSP00000201586	SINLEJ006491
ENSP00000202017	SINLEJ008755
ENSP00000202556	SINLEJ004941
ENSP00000202556	SINLEJ004940
ENSP00000202677	SINLEJ006003
ENSP00000202816	SINLEJ001956
ENSP00000202816	SINLEJ001957
ENSP00000202967	SINLEJ015391
ENSP00000203001	SINLEJ014435
ENSP00000204517	SINLEJ005380
ENSP00000204566	SINLEJ014187
ENSP00000204566	SINLEJ003971
ENSP00000204679	SINLEJ009141
ENSP00000204726	SINLEJ011634
ENSP00000204726	SINLEJ011633
ENSP00000204961	SINLEJ018629
ENSP00000204961	SINLEJ018630
ENSP00000205061	SINLEJ011170
ENSP00000205061	SINLEJ017111
ENSP00000205214	SINLEJ007158
ENSP00000205402	SINLEJ007307
ENSP00000205890	SINLEJ008997
ENSP00000205890	SINLEJ011026
ENSP00000206020	SINLEJ003828
ENSP00000206423	SINLEJ001765
ENSP00000206423	SINLEJ001766
ENSP00000206474	SINLEJ008709
ENSP00000206542	SINLEJ017242
ENSP00000206595	SINLEJ001747
ENSP00000206765	SINLEJ015821
ENSP00000206765	SINLEJ013986
ENSP00000207457	SINLEJ015280
ENSP00000207457	SINLEJ006918
ENSP00000207549	SINLEJ016795
ENSP00000207549	SINLEJ016799
ENSP00000207870	SINLEJ001297
ENSP00000207870	SINLEJ001294
ENSP00000209728	SINLEJ001282
ENSP00000209875	SINLEJ004821
ENSP00000209884	SINLEJ018820
ENSP00000209884	SINLEJ003854
ENSP00000210060	SINLEJ000371
ENSP00000210313	SINLEJ017861
ENSP00000210444	SINLEJ005498
ENSP00000211413	SINLEJ005570
ENSP00000211936	SINLEJ011333
ENSP00000212355	SINLEJ003857
ENSP00000215057	SINLEJ016070
ENSP00000215071	SINLEJ000884
ENSP00000215095	SINLEJ003666
ENSP00000215095	SINLEJ018312
ENSP00000215565	SINLEJ000325
ENSP00000215570	SINLEJ012465
ENSP00000215574	SINLEJ003936
ENSP00000215587	SINLEJ003866
ENSP00000215631	SINLEJ009975
ENSP00000215631	SINLEJ009974
ENSP00000215659	SINLEJ009484
ENSP00000215727	SINLEJ014962
ENSP00000215727	SINLEJ003600
ENSP00000215730	SINLEJ003745
ENSP00000215739	SINLEJ003724
ENSP00000215739	SINLEJ001387
ENSP00000215754	SINLEJ003726
ENSP00000215754	SINLEJ003728
ENSP00000215793	SINLEJ003692
ENSP00000215829	SINLEJ003722
ENSP00000215832	SINLEJ003627
ENSP00000215832	SINLEJ014939
ENSP00000215882	SINLEJ011546
ENSP00000215882	SINLEJ003744
ENSP00000215885	SINLEJ003617
ENSP00000215885	SINLEJ014948
ENSP00000215939	SINLEJ003704
ENSP00000215957	SINLEJ010970
ENSP00000215957	SINLEJ010969
ENSP00000215980	SINLEJ017631
ENSP00000215980	SINLEJ018648
ENSP00000216024	SINLEJ003065
ENSP00000216027	SINLEJ015398
