PMZ_0046432-RA	ENSGALP00000000003
PMZ_0003403-RA	ENSGALP00000000011
PMZ_0040805-RA	ENSGALP00000000011
PMZ_0028113-RA	ENSGALP00000000018
PMZ_0003792-RA	ENSGALP00000000021
PMZ_0006596-RA	ENSGALP00000000025
PMZ_0043404-RA	ENSGALP00000000025
PMZ_0037271-RA	ENSGALP00000000045
PMZ_0046722-RA	ENSGALP00000000045
PMZ_0001805-RA	ENSGALP00000000050
PMZ_0034228-RA	ENSGALP00000000050
PMZ_0031086-RA	ENSGALP00000000052
PMZ_0038542-RA	ENSGALP00000000054
PMZ_0003869-RA	ENSGALP00000000058
PMZ_0046032-RA	ENSGALP00000000058
PMZ_0043571-RA	ENSGALP00000000062
PMZ_0044296-RA	ENSGALP00000000069
PMZ_0044705-RA	ENSGALP00000000070
PMZ_0034000-RA	ENSGALP00000000070
PMZ_0036609-RA	ENSGALP00000000076
PMZ_0043671-RA	ENSGALP00000000076
PMZ_0020638-RA	ENSGALP00000000083
PMZ_0010536-RA	ENSGALP00000000083
PMZ_0014893-RA	ENSGALP00000000088
PMZ_0045064-RA	ENSGALP00000000088
PMZ_0034062-RA	ENSGALP00000000091
PMZ_0027630-RA	ENSGALP00000000102
PMZ_0042491-RA	ENSGALP00000000108
PMZ_0027874-RA	ENSGALP00000000114
PMZ_0012322-RA	ENSGALP00000000114
PMZ_0017712-RA	ENSGALP00000000122
PMZ_0010153-RA	ENSGALP00000000122
PMZ_0041105-RA	ENSGALP00000000127
PMZ_0033828-RA	ENSGALP00000000131
PMZ_0042745-RA	ENSGALP00000000131
PMZ_0028074-RA	ENSGALP00000000135
PMZ_0044261-RA	ENSGALP00000000135
PMZ_0016510-RA	ENSGALP00000000140
PMZ_0039339-RA	ENSGALP00000000140
PMZ_0000781-RA	ENSGALP00000000146
PMZ_0048470-RA	ENSGALP00000000146
PMZ_0046362-RA	ENSGALP00000000148
PMZ_0002474-RA	ENSGALP00000000148
PMZ_0012716-RA	ENSGALP00000000157
PMZ_0045278-RA	ENSGALP00000000167
PMZ_0005756-RA	ENSGALP00000000168
PMZ_0038403-RA	ENSGALP00000000168
PMZ_0044251-RA	ENSGALP00000000170
PMZ_0036464-RA	ENSGALP00000000170
PMZ_0046630-RA	ENSGALP00000000178
PMZ_0041608-RA	ENSGALP00000000178
PMZ_0040026-RA	ENSGALP00000000189
PMZ_0047735-RA	ENSGALP00000000194
PMZ_0047918-RA	ENSGALP00000000199
PMZ_0046528-RA	ENSGALP00000000204
PMZ_0006281-RA	ENSGALP00000000205
PMZ_0033903-RA	ENSGALP00000000205
PMZ_0040447-RA	ENSGALP00000000206
PMZ_0038498-RA	ENSGALP00000000206
PMZ_0046494-RA	ENSGALP00000000211
PMZ_0018023-RA	ENSGALP00000000211
PMZ_0044162-RA	ENSGALP00000000213
PMZ_0008124-RA	ENSGALP00000000215
PMZ_0030302-RA	ENSGALP00000000216
PMZ_0017802-RA	ENSGALP00000000216
PMZ_0002030-RA	ENSGALP00000000220
PMZ_0030153-RA	ENSGALP00000000220
PMZ_0002029-RA	ENSGALP00000000224
PMZ_0036192-RA	ENSGALP00000000224
PMZ_0039254-RA	ENSGALP00000000226
PMZ_0030234-RA	ENSGALP00000000232
PMZ_0042040-RA	ENSGALP00000000233
PMZ_0048667-RA	ENSGALP00000000233
PMZ_0031164-RA	ENSGALP00000000239
PMZ_0032899-RA	ENSGALP00000000239
PMZ_0032667-RA	ENSGALP00000000246
PMZ_0034787-RA	ENSGALP00000000246
PMZ_0017661-RA	ENSGALP00000000252
PMZ_0036237-RA	ENSGALP00000000252
PMZ_0038479-RA	ENSGALP00000000256
PMZ_0026737-RA	ENSGALP00000000260
PMZ_0037616-RA	ENSGALP00000000260
PMZ_0028933-RA	ENSGALP00000000266
PMZ_0043533-RA	ENSGALP00000000266
PMZ_0026792-RA	ENSGALP00000000272
PMZ_0034351-RA	ENSGALP00000000275
PMZ_0046065-RA	ENSGALP00000000275
PMZ_0041900-RA	ENSGALP00000000286
PMZ_0040953-RA	ENSGALP00000000286
PMZ_0046240-RA	ENSGALP00000000293
PMZ_0046238-RA	ENSGALP00000000295
PMZ_0046239-RA	ENSGALP00000000295
PMZ_0045514-RA	ENSGALP00000000312
PMZ_0040660-RA	ENSGALP00000000321
PMZ_0043353-RA	ENSGALP00000000325
PMZ_0027673-RA	ENSGALP00000000325
PMZ_0015675-RA	ENSGALP00000000327
PMZ_0048418-RA	ENSGALP00000000327
PMZ_0043236-RA	ENSGALP00000000331
PMZ_0045969-RA	ENSGALP00000000333
PMZ_0020982-RA	ENSGALP00000000337
PMZ_0016172-RA	ENSGALP00000000338
PMZ_0045746-RA	ENSGALP00000000343
PMZ_0044604-RA	ENSGALP00000000352
PMZ_0045908-RA	ENSGALP00000000358
PMZ_0045497-RA	ENSGALP00000000361
PMZ_0041794-RA	ENSGALP00000000364
PMZ_0042475-RA	ENSGALP00000000365
PMZ_0040220-RA	ENSGALP00000000365
PMZ_0031258-RA	ENSGALP00000000368
PMZ_0045523-RA	ENSGALP00000000368
PMZ_0044605-RA	ENSGALP00000000373
PMZ_0044607-RA	ENSGALP00000000379
PMZ_0032448-RA	ENSGALP00000000383
PMZ_0003003-RA	ENSGALP00000000384
PMZ_0013686-RA	ENSGALP00000000385
PMZ_0046332-RA	ENSGALP00000000385
PMZ_0007061-RA	ENSGALP00000000387
PMZ_0003258-RA	ENSGALP00000000392
PMZ_0004983-RA	ENSGALP00000000400
PMZ_0040926-RA	ENSGALP00000000400
PMZ_0040188-RA	ENSGALP00000000403
PMZ_0041996-RA	ENSGALP00000000403
PMZ_0040994-RA	ENSGALP00000000410
PMZ_0003412-RA	ENSGALP00000000410
PMZ_0041559-RA	ENSGALP00000000412
PMZ_0044594-RA	ENSGALP00000000416
PMZ_0033355-RA	ENSGALP00000000418
PMZ_0008467-RA	ENSGALP00000000418
PMZ_0042477-RA	ENSGALP00000000419
PMZ_0032937-RA	ENSGALP00000000419
PMZ_0035529-RA	ENSGALP00000000421
PMZ_0021241-RA	ENSGALP00000000421
PMZ_0032935-RA	ENSGALP00000000422
PMZ_0008709-RA	ENSGALP00000000422
PMZ_0033878-RA	ENSGALP00000000429
PMZ_0040258-RA	ENSGALP00000000429
PMZ_0009955-RA	ENSGALP00000000432
PMZ_0040444-RA	ENSGALP00000000432
PMZ_0018525-RA	ENSGALP00000000451
PMZ_0037001-RA	ENSGALP00000000465
PMZ_0008726-RA	ENSGALP00000000468
PMZ_0030303-RA	ENSGALP00000000471
PMZ_0036672-RA	ENSGALP00000000471
PMZ_0041045-RA	ENSGALP00000000484
PMZ_0048139-RA	ENSGALP00000000490
PMZ_0041115-RA	ENSGALP00000000494
PMZ_0034293-RA	ENSGALP00000000494
PMZ_0040625-RA	ENSGALP00000000498
PMZ_0028655-RA	ENSGALP00000000498
PMZ_0027003-RA	ENSGALP00000000499
PMZ_0036335-RA	ENSGALP00000000499
PMZ_0047890-RA	ENSGALP00000000509
PMZ_0042429-RA	ENSGALP00000000517
