SINCAM006085	ENSGALP00000000002
SINCAM001058	ENSGALP00000000003
SINCAM921884	ENSGALP00000000011
SINCAM922841	ENSGALP00000000018
SINCAM008330	ENSGALP00000000021
SINCAM006945	ENSGALP00000000025
SINCAM006943	ENSGALP00000000045
SINCAM922087	ENSGALP00000000050
SINCAM011310	ENSGALP00000000052
SINCAM012895	ENSGALP00000000058
SINCAM922793	ENSGALP00000000063
SINCAM000843	ENSGALP00000000070
SINCAM002566	ENSGALP00000000076
SINCAM014663	ENSGALP00000000083
SINCAM012164	ENSGALP00000000088
SINCAM000771	ENSGALP00000000091
SINCAM004696	ENSGALP00000000096
SINCAM001562	ENSGALP00000000102
SINCAM014347	ENSGALP00000000114
SINCAM922516	ENSGALP00000000122
SINCAM015473	ENSGALP00000000127
SINCAM922539	ENSGALP00000000131
SINCAM000379	ENSGALP00000000135
SINCAM012296	ENSGALP00000000137
SINCAM012244	ENSGALP00000000140
SINCAM012346	ENSGALP00000000144
SINCAM014626	ENSGALP00000000146
SINCAM014579	ENSGALP00000000148
SINCAM012519	ENSGALP00000000157
SINCAM009561	ENSGALP00000000161
SINCAM014349	ENSGALP00000000168
SINCAM000417	ENSGALP00000000170
SINCAM010466	ENSGALP00000000178
SINCAM014350	ENSGALP00000000183
SINCAM012125	ENSGALP00000000189
SINCAM012355	ENSGALP00000000194
SINCAM008706	ENSGALP00000000199
SINCAM000492	ENSGALP00000000205
SINCAM922888	ENSGALP00000000206
SINCAM012350	ENSGALP00000000209
SINCAM005371	ENSGALP00000000211
SINCAM900209	ENSGALP00000000216
SINCAM004192	ENSGALP00000000221
SINCAM012257	ENSGALP00000000223
SINCAM014321	ENSGALP00000000226
SINCAM000484	ENSGALP00000000232
SINCAM016596	ENSGALP00000000233
SINCAM900210	ENSGALP00000000239
SINCAM012359	ENSGALP00000000242
SINCAM001102	ENSGALP00000000246
SINCAM009523	ENSGALP00000000256
SINCAM921224	ENSGALP00000000261
SINCAM016732	ENSGALP00000000266
SINCAM921837	ENSGALP00000000272
SINCAM001103	ENSGALP00000000275
SINCAM001104	ENSGALP00000000282
SINCAM012271	ENSGALP00000000286
SINCAM920589	ENSGALP00000000293
SINCAM001107	ENSGALP00000000295
SINCAM922837	ENSGALP00000000297
SINCAM012329	ENSGALP00000000303
SINCAM014323	ENSGALP00000000309
SINCAM013300	ENSGALP00000000311
SINCAM001108	ENSGALP00000000312
SINCAM015310	ENSGALP00000000316
SINCAM001571	ENSGALP00000000317
SINCAM001109	ENSGALP00000000319
SINCAM014320	ENSGALP00000000320
SINCAM013558	ENSGALP00000000321
SINCAM001110	ENSGALP00000000322
SINCAM001111	ENSGALP00000000325
SINCAM013559	ENSGALP00000000327
SINCAM013560	ENSGALP00000000329
SINCAM001112	ENSGALP00000000331
SINCAM001114	ENSGALP00000000333
SINCAM003416	ENSGALP00000000337
SINCAM011756	ENSGALP00000000338
SINCAM001115	ENSGALP00000000343
SINCAM013965	ENSGALP00000000352
SINCAM001116	ENSGALP00000000358
SINCAM013531	ENSGALP00000000360
SINCAM014318	ENSGALP00000000361
SINCAM001117	ENSGALP00000000364
SINCAM014258	ENSGALP00000000365
SINCAM001118	ENSGALP00000000368
SINCAM013967	ENSGALP00000000373
SINCAM014002	ENSGALP00000000379
SINCAM010633	ENSGALP00000000383
SINCAM003446	ENSGALP00000000384
SINCAM922220	ENSGALP00000000385
SINCAM008359	ENSGALP00000000387
SINCAM922743	ENSGALP00000000392
SINCAM012249	ENSGALP00000000400
SINCAM011369	ENSGALP00000000403
SINCAM012843	ENSGALP00000000406
SINCAM012250	ENSGALP00000000409
SINCAM922526	ENSGALP00000000410
SINCAM014257	ENSGALP00000000412
SINCAM013989	ENSGALP00000000416
SINCAM005601	ENSGALP00000000418
SINCAM014337	ENSGALP00000000419
SINCAM922714	ENSGALP00000000421
SINCAM007011	ENSGALP00000000422
SINCAM012253	ENSGALP00000000423
SINCAM921790	ENSGALP00000000429
SINCAM922889	ENSGALP00000000432
SINCAM005669	ENSGALP00000000449
SINCAM012725	ENSGALP00000000451
SINCAM013396	ENSGALP00000000468
SINCAM922441	ENSGALP00000000471
SINCAM922712	ENSGALP00000000478
SINCAM920808	ENSGALP00000000484
SINCAM921789	ENSGALP00000000485
SINCAM012254	ENSGALP00000000490
SINCAM013397	ENSGALP00000000494
SINCAM009018	ENSGALP00000000497
SINCAM013398	ENSGALP00000000498
SINCAM012388	ENSGALP00000000499
SINCAM013529	ENSGALP00000000502
SINCAM922515	ENSGALP00000000506
SINCAM009800	ENSGALP00000000509
SINCAM013537	ENSGALP00000000518
SINCAM009043	ENSGALP00000000524
SINCAM014264	ENSGALP00000000530
SINCAM014748	ENSGALP00000000538
SINCAM922655	ENSGALP00000000540
SINCAM012360	ENSGALP00000000541
SINCAM009435	ENSGALP00000000543
SINCAM012094	ENSGALP00000000544
SINCAM012093	ENSGALP00000000545
SINCAM006832	ENSGALP00000000547
SINCAM922672	ENSGALP00000000549
SINCAM014339	ENSGALP00000000556
SINCAM922654	ENSGALP00000000558
SINCAM922711	ENSGALP00000000562
SINCAM012092	ENSGALP00000000569
SINCAM013877	ENSGALP00000000573
SINCAM013590	ENSGALP00000000579
SINCAM012362	ENSGALP00000000581
SINCAM900203	ENSGALP00000000583
SINCAM012711	ENSGALP00000000586
SINCAM000911	ENSGALP00000000594
SINCAM900272	ENSGALP00000000595
SINCAM012259	ENSGALP00000000597
SINCAM006207	ENSGALP00000000611
SINCAM017405	ENSGALP00000000613
SINCAM013329	ENSGALP00000000615
SINCAM015923	ENSGALP00000000619
SINCAM005238	ENSGALP00000000625
SINCAM922874	ENSGALP00000000626
SINCAM003096	ENSGALP00000000634
SINCAM014325	ENSGALP00000000638
SINCAM012728	ENSGALP00000000639
SINCAM012729	ENSGALP00000000643
SINCAM014326	ENSGALP00000000645
SINCAM911046	ENSGALP00000000647
SINCAM013745	ENSGALP00000000657
SINCAM014167	ENSGALP00000000663
SINCAM000482	ENSGALP00000000666
SINCAM922749	ENSGALP00000000669
SINCAM012730	ENSGALP00000000670
SINCAM922753	ENSGALP00000000677
SINCAM922541	ENSGALP00000000679
SINCAM013744	ENSGALP00000000693
SINCAM009030	ENSGALP00000000694
SINCAM013481	ENSGALP00000000696
SINCAM012266	ENSGALP00000000699
SINCAM010463	ENSGALP00000000701
SINCAM013669	ENSGALP00000000702
SINCAM009559	ENSGALP00000000703
SINCAM010464	ENSGALP00000000704
SINCAM922540	ENSGALP00000000711
SINCAM009021	ENSGALP00000000713
SINCAM900050	ENSGALP00000000715
SINCAM010465	ENSGALP00000000716
SINCAM014371	ENSGALP00000000719
SINCAM922527	ENSGALP00000000720
SINCAM009020	ENSGALP00000000726
SINCAM010446	ENSGALP00000000727
SINCAM013664	ENSGALP00000000730
SINCAM922528	ENSGALP00000000734
SINCAM014396	ENSGALP00000000737
SINCAM013663	ENSGALP00000000738
SINCAM013521	ENSGALP00000000742
SINCAM922059	ENSGALP00000000744
SINCAM012126	ENSGALP00000000747
SINCAM921764	ENSGALP00000000748
SINCAM009019	ENSGALP00000000749
SINCAM012123	ENSGALP00000000756
SINCAM010018	ENSGALP00000000758
SINCAM012670	ENSGALP00000000759
SINCAM921770	ENSGALP00000000760
SINCAM922058	ENSGALP00000000762
SINCAM013522	ENSGALP00000000765
SINCAM012719	ENSGALP00000000775
SINCAM012230	ENSGALP00000000778
SINCAM013569	ENSGALP00000000782
SINCAM012245	ENSGALP00000000791
SINCAM921772	ENSGALP00000000792
SINCAM012718	ENSGALP00000000805
SINCAM013523	ENSGALP00000000810
SINCAM012246	ENSGALP00000000814
SINCAM014178	ENSGALP00000000815
SINCAM012122	ENSGALP00000000818
SINCAM014590	ENSGALP00000000823
SINCAM013528	ENSGALP00000000830
SINCAM921773	ENSGALP00000000832
SINCAM922443	ENSGALP00000000835
SINCAM009000	ENSGALP00000000843
SINCAM012242	ENSGALP00000000847
SINCAM922057	ENSGALP00000000853
SINCAM922056	ENSGALP00000000855
SINCAM013825	ENSGALP00000000860
SINCAM012121	ENSGALP00000000862
SINCAM012727	ENSGALP00000000864
SINCAM012275	ENSGALP00000000871
SINCAM009002	ENSGALP00000000874
SINCAM012710	ENSGALP00000000875
SINCAM009003	ENSGALP00000000876
SINCAM012209	ENSGALP00000000880
SINCAM012308	ENSGALP00000000882
SINCAM010310	ENSGALP00000000883
SINCAM013525	ENSGALP00000000885
SINCAM013827	ENSGALP00000000889
SINCAM922440	ENSGALP00000000893
SINCAM010309	ENSGALP00000000894
SINCAM010308	ENSGALP00000000896
SINCAM013831	ENSGALP00000000899
SINCAM012143	ENSGALP00000000906
SINCAM013832	ENSGALP00000000907
SINCAM010307	ENSGALP00000000908
SINCAM012116	ENSGALP00000000909
SINCAM010432	ENSGALP00000000911
SINCAM011292	ENSGALP00000000913
SINCAM009372	ENSGALP00000000916
SINCAM010460	ENSGALP00000000921
SINCAM013798	ENSGALP00000000924
SINCAM012113	ENSGALP00000000926
SINCAM010418	ENSGALP00000000927
SINCAM012112	ENSGALP00000000929
SINCAM010419	ENSGALP00000000930
SINCAM010421	ENSGALP00000000933
SINCAM009011	ENSGALP00000000940
SINCAM922496	ENSGALP00000000941
SINCAM010422	ENSGALP00000000945
SINCAM008960	ENSGALP00000000947
SINCAM012110	ENSGALP00000000948
SINCAM013547	ENSGALP00000000954
SINCAM921757	ENSGALP00000000955
SINCAM921775	ENSGALP00000000958
SINCAM922494	ENSGALP00000000960
SINCAM016213	ENSGALP00000000961
SINCAM922493	ENSGALP00000000965
SINCAM013548	ENSGALP00000000966
SINCAM011380	ENSGALP00000000968
SINCAM921411	ENSGALP00000000971
SINCAM010433	ENSGALP00000000975
SINCAM012107	ENSGALP00000000981
SINCAM010416	ENSGALP00000000989
SINCAM012106	ENSGALP00000000992
SINCAM012160	ENSGALP00000000995
SINCAM015315	ENSGALP00000000998
SINCAM010415	ENSGALP00000000999
SINCAM012159	ENSGALP00000001002
SINCAM013677	ENSGALP00000001004
SINCAM012158	ENSGALP00000001006
SINCAM010412	ENSGALP00000001007
SINCAM013678	ENSGALP00000001013
SINCAM014935	ENSGALP00000001014
SINCAM012157	ENSGALP00000001016
SINCAM012156	ENSGALP00000001025
SINCAM900072	ENSGALP00000001026
SINCAM921769	ENSGALP00000001030
SINCAM012357	ENSGALP00000001033
SINCAM008984	ENSGALP00000001041
SINCAM004991	ENSGALP00000001044
SINCAM008982	ENSGALP00000001048
SINCAM012751	ENSGALP00000001050
SINCAM008981	ENSGALP00000001051
SINCAM008980	ENSGALP00000001054
SINCAM012210	ENSGALP00000001057
SINCAM012154	ENSGALP00000001068
SINCAM004993	ENSGALP00000001091
SINCAM012213	ENSGALP00000001096
SINCAM921413	ENSGALP00000001104
SINCAM001877	ENSGALP00000001107
SINCAM922608	ENSGALP00000001108
SINCAM922365	ENSGALP00000001109
SINCAM010597	ENSGALP00000001115
SINCAM010016	ENSGALP00000001118
SINCAM012214	ENSGALP00000001121
SINCAM008979	ENSGALP00000001125
SINCAM010619	ENSGALP00000001129
SINCAM921759	ENSGALP00000001132
SINCAM012746	ENSGALP00000001135
SINCAM921760	ENSGALP00000001145
SINCAM922490	ENSGALP00000001147
SINCAM922481	ENSGALP00000001151
SINCAM010618	ENSGALP00000001157
SINCAM010430	ENSGALP00000001161
SINCAM010629	ENSGALP00000001163
SINCAM012864	ENSGALP00000001166
SINCAM922320	ENSGALP00000001168
SINCAM010429	ENSGALP00000001179
SINCAM922489	ENSGALP00000001187
SINCAM010435	ENSGALP00000001189
SINCAM012877	ENSGALP00000001191
SINCAM921762	ENSGALP00000001192
SINCAM015316	ENSGALP00000001195
SINCAM009740	ENSGALP00000001201
SINCAM922455	ENSGALP00000001205
SINCAM004994	ENSGALP00000001210
SINCAM922369	ENSGALP00000001219
SINCAM922506	ENSGALP00000001221
SINCAM015318	ENSGALP00000001225
SINCAM004995	ENSGALP00000001227
SINCAM008971	ENSGALP00000001231
SINCAM922370	ENSGALP00000001233
SINCAM012874	ENSGALP00000001234
SINCAM922371	ENSGALP00000001239
SINCAM007993	ENSGALP00000001241
SINCAM010478	ENSGALP00000001243
SINCAM922716	ENSGALP00000001246
SINCAM010042	ENSGALP00000001248
SINCAM007994	ENSGALP00000001249
SINCAM008973	ENSGALP00000001251
SINCAM012166	ENSGALP00000001253
SINCAM013518	ENSGALP00000001254
SINCAM922103	ENSGALP00000001257
SINCAM008975	ENSGALP00000001262
SINCAM012167	ENSGALP00000001263
SINCAM014689	ENSGALP00000001268
SINCAM014694	ENSGALP00000001272
SINCAM007772	ENSGALP00000001275
SINCAM000246	ENSGALP00000001277
SINCAM009045	ENSGALP00000001278
SINCAM013517	ENSGALP00000001281
SINCAM010644	ENSGALP00000001286
SINCAM010479	ENSGALP00000001287
SINCAM010643	ENSGALP00000001292
SINCAM009049	ENSGALP00000001293
SINCAM010480	ENSGALP00000001294
SINCAM012168	ENSGALP00000001295
SINCAM010047	ENSGALP00000001296
SINCAM010640	ENSGALP00000001298
SINCAM010641	ENSGALP00000001302
SINCAM922511	ENSGALP00000001306
SINCAM008838	ENSGALP00000001307
SINCAM012169	ENSGALP00000001310
SINCAM010303	ENSGALP00000001312
SINCAM002665	ENSGALP00000001313
SINCAM009050	ENSGALP00000001315
SINCAM012196	ENSGALP00000001317
SINCAM001550	ENSGALP00000001318
SINCAM000113	ENSGALP00000001319
SINCAM012195	ENSGALP00000001320
SINCAM009051	ENSGALP00000001322
SINCAM922170	ENSGALP00000001323
SINCAM007996	ENSGALP00000001328
SINCAM010423	ENSGALP00000001332
SINCAM010424	ENSGALP00000001334
SINCAM921440	ENSGALP00000001335
SINCAM012170	ENSGALP00000001338
SINCAM010427	ENSGALP00000001340
SINCAM013566	ENSGALP00000001341
SINCAM013567	ENSGALP00000001350
SINCAM922499	ENSGALP00000001351
SINCAM009053	ENSGALP00000001353
SINCAM007997	ENSGALP00000001360
SINCAM008840	ENSGALP00000001365
SINCAM008839	ENSGALP00000001366
SINCAM008000	ENSGALP00000001370
SINCAM001411	ENSGALP00000001372
SINCAM008001	ENSGALP00000001374
SINCAM922717	ENSGALP00000001377
SINCAM922709	ENSGALP00000001381
SINCAM009052	ENSGALP00000001390
SINCAM008857	ENSGALP00000001392
SINCAM010053	ENSGALP00000001394
SINCAM010054	ENSGALP00000001399
SINCAM008002	ENSGALP00000001400
SINCAM014746	ENSGALP00000001405
SINCAM012325	ENSGALP00000001406
SINCAM013882	ENSGALP00000001409
SINCAM013270	ENSGALP00000001411
SINCAM921785	ENSGALP00000001412
SINCAM017233	ENSGALP00000001415
SINCAM012387	ENSGALP00000001418
SINCAM000408	ENSGALP00000001422
SINCAM013618	ENSGALP00000001428
SINCAM013895	ENSGALP00000001432
SINCAM922879	ENSGALP00000001434
SINCAM013619	ENSGALP00000001439
SINCAM013620	ENSGALP00000001440
SINCAM008005	ENSGALP00000001441
SINCAM013621	ENSGALP00000001443
SINCAM013692	ENSGALP00000001446
SINCAM009033	ENSGALP00000001447
SINCAM922559	ENSGALP00000001448
SINCAM011854	ENSGALP00000001451
SINCAM007878	ENSGALP00000001452
SINCAM013412	ENSGALP00000001456
SINCAM921758	ENSGALP00000001461
SINCAM008008	ENSGALP00000001464
SINCAM011018	ENSGALP00000001468
SINCAM012873	ENSGALP00000001470
SINCAM013413	ENSGALP00000001471
SINCAM921766	ENSGALP00000001472
SINCAM010612	ENSGALP00000001473
SINCAM008010	ENSGALP00000001474
SINCAM012379	ENSGALP00000001475
SINCAM008011	ENSGALP00000001477
SINCAM921765	ENSGALP00000001479
SINCAM922724	ENSGALP00000001483
SINCAM010634	ENSGALP00000001491
SINCAM008012	ENSGALP00000001493
SINCAM922725	ENSGALP00000001499
SINCAM010636	ENSGALP00000001501
SINCAM013416	ENSGALP00000001507
SINCAM921706	ENSGALP00000001510
SINCAM008014	ENSGALP00000001512
SINCAM013417	ENSGALP00000001521
SINCAM008855	ENSGALP00000001522
SINCAM922479	ENSGALP00000001525
SINCAM008856	ENSGALP00000001526
SINCAM011108	ENSGALP00000001527
SINCAM922705	ENSGALP00000001528
SINCAM922478	ENSGALP00000001531
SINCAM012377	ENSGALP00000001532
SINCAM008013	ENSGALP00000001533
SINCAM008853	ENSGALP00000001554
SINCAM920564	ENSGALP00000001555
SINCAM010059	ENSGALP00000001557
SINCAM011859	ENSGALP00000001565
SINCAM008019	ENSGALP00000001568
