ENSPMAP00000002486	TriadP1002
ENSPMAP00000007397	TriadP10055
ENSPMAP00000002483	TriadP10137
ENSPMAP00000005275	TriadP10137
ENSPMAP00000004100	TriadP10137
ENSPMAP00000006825	TriadP10137
ENSPMAP00000005672	TriadP10167
ENSPMAP00000005067	TriadP10167
ENSPMAP00000006097	TriadP1023
ENSPMAP00000006549	TriadP1026
ENSPMAP00000004147	TriadP1026
ENSPMAP00000003528	TriadP10277
ENSPMAP00000010638	TriadP10294
ENSPMAP00000007254	TriadP10380
ENSPMAP00000002170	TriadP10380
ENSPMAP00000004605	TriadP10520
ENSPMAP00000000758	TriadP10718
ENSPMAP00000000275	TriadP10718
ENSPMAP00000003063	TriadP10718
ENSPMAP00000004964	TriadP1077
ENSPMAP00000001070	TriadP10795
ENSPMAP00000007660	TriadP10795
ENSPMAP00000003045	TriadP10828
ENSPMAP00000010571	TriadP1085
ENSPMAP00000006140	TriadP10976
ENSPMAP00000004935	TriadP10976
ENSPMAP00000007556	TriadP11098
ENSPMAP00000003004	TriadP11098
ENSPMAP00000011123	TriadP11108
ENSPMAP00000005389	TriadP11173
ENSPMAP00000007693	TriadP11246
ENSPMAP00000005959	TriadP11272
ENSPMAP00000006401	TriadP11272
ENSPMAP00000001060	TriadP11306
ENSPMAP00000000619	TriadP11306
ENSPMAP00000006177	TriadP11306
ENSPMAP00000009023	TriadP11320
ENSPMAP00000003494	TriadP11340
ENSPMAP00000000764	TriadP11420
ENSPMAP00000002837	TriadP11420
ENSPMAP00000000739	TriadP11420
ENSPMAP00000001194	TriadP11420
ENSPMAP00000009360	TriadP11565
ENSPMAP00000009453	TriadP11602
ENSPMAP00000010720	TriadP11741
ENSPMAP00000005579	TriadP11741
ENSPMAP00000006834	TriadP11741
ENSPMAP00000001688	TriadP11741
ENSPMAP00000005676	TriadP1179
ENSPMAP00000009962	TriadP11807
ENSPMAP00000003184	TriadP11855
ENSPMAP00000000726	TriadP11944
ENSPMAP00000008502	TriadP11944
ENSPMAP00000009016	TriadP11944
ENSPMAP00000009779	TriadP11944
ENSPMAP00000010521	TriadP12078
ENSPMAP00000004586	TriadP12078
ENSPMAP00000002490	TriadP12078
ENSPMAP00000007602	TriadP12078
ENSPMAP00000005507	TriadP1215
ENSPMAP00000007171	TriadP1215
ENSPMAP00000002929	TriadP1215
ENSPMAP00000010964	TriadP12196
ENSPMAP00000011358	TriadP12196
ENSPMAP00000010963	TriadP12196
ENSPMAP00000000914	TriadP12196
ENSPMAP00000007596	TriadP12205
ENSPMAP00000006721	TriadP1234
ENSPMAP00000007951	TriadP12344
ENSPMAP00000007260	TriadP12344
ENSPMAP00000010202	TriadP12344
ENSPMAP00000009793	TriadP12344
ENSPMAP00000004044	TriadP12575
ENSPMAP00000010671	TriadP12696
ENSPMAP00000005858	TriadP12696
ENSPMAP00000008732	TriadP12816
ENSPMAP00000004402	TriadP1282
ENSPMAP00000005533	TriadP1282
ENSPMAP00000004310	TriadP1282
ENSPMAP00000009372	TriadP12911
ENSPMAP00000006762	TriadP12963
ENSPMAP00000006574	TriadP12963
ENSPMAP00000009232	TriadP12963
ENSPMAP00000000022	TriadP13000
ENSPMAP00000000042	TriadP13008
ENSPMAP00000006527	TriadP13058
ENSPMAP00000006075	TriadP1306
ENSPMAP00000001910	TriadP13081
ENSPMAP00000008604	TriadP13097
ENSPMAP00000004679	TriadP13097
ENSPMAP00000001441	TriadP13161
ENSPMAP00000001020	TriadP13161
ENSPMAP00000003143	TriadP13161
ENSPMAP00000002472	TriadP13161
ENSPMAP00000010353	TriadP13231
ENSPMAP00000003863	TriadP13231
ENSPMAP00000003492	TriadP13231
ENSPMAP00000000594	TriadP13274
ENSPMAP00000005523	TriadP13686
ENSPMAP00000008428	TriadP13757
