SINCAM000003	ENSGACP00000025229
SINCAM000004	ENSGACP00000002251
SINCAM000005	ENSGACP00000025231
SINCAM000008	ENSGACP00000024443
SINCAM000009	ENSGACP00000022010
SINCAM000010	ENSGACP00000022014
SINCAM000016	ENSGACP00000022074
SINCAM000017	ENSGACP00000022078
SINCAM000017	ENSGACP00000027404
SINCAM000018	ENSGACP00000022083
SINCAM000019	ENSGACP00000022092
SINCAM000023	ENSGACP00000010945
SINCAM000025	ENSGACP00000022865
SINCAM000025	ENSGACP00000021733
SINCAM000028	ENSGACP00000009241
SINCAM000030	ENSGACP00000009781
SINCAM000031	ENSGACP00000009777
SINCAM000035	ENSGACP00000010332
SINCAM000035	ENSGACP00000022277
SINCAM000036	ENSGACP00000010308
SINCAM000036	ENSGACP00000022291
SINCAM000037	ENSGACP00000022300
SINCAM000037	ENSGACP00000010302
SINCAM000040	ENSGACP00000009718
SINCAM000041	ENSGACP00000020647
SINCAM000044	ENSGACP00000021221
SINCAM000044	ENSGACP00000027299
SINCAM000045	ENSGACP00000021225
SINCAM000046	ENSGACP00000021228
SINCAM000047	ENSGACP00000023727
SINCAM000047	ENSGACP00000021231
SINCAM000048	ENSGACP00000021263
SINCAM000048	ENSGACP00000023431
SINCAM000049	ENSGACP00000021255
SINCAM000049	ENSGACP00000011126
SINCAM000051	ENSGACP00000021251
SINCAM000055	ENSGACP00000024300
SINCAM000055	ENSGACP00000024339
SINCAM000058	ENSGACP00000022165
SINCAM000059	ENSGACP00000022139
SINCAM000063	ENSGACP00000007290
SINCAM000065	ENSGACP00000023596
SINCAM000066	ENSGACP00000001199
SINCAM000067	ENSGACP00000024454
SINCAM000069	ENSGACP00000021401
SINCAM000069	ENSGACP00000006173
SINCAM000071	ENSGACP00000017762
SINCAM000075	ENSGACP00000025908
SINCAM000078	ENSGACP00000022102
SINCAM000081	ENSGACP00000022094
SINCAM000081	ENSGACP00000002790
SINCAM000084	ENSGACP00000018093
SINCAM000084	ENSGACP00000009523
SINCAM000099	ENSGACP00000023495
SINCAM000099	ENSGACP00000023492
SINCAM000100	ENSGACP00000025025
SINCAM000100	ENSGACP00000019201
SINCAM000101	ENSGACP00000022116
SINCAM000102	ENSGACP00000022109
SINCAM000104	ENSGACP00000021534
SINCAM000106	ENSGACP00000026538
SINCAM000109	ENSGACP00000016574
SINCAM000110	ENSGACP00000024629
SINCAM000117	ENSGACP00000021490
SINCAM000117	ENSGACP00000008459
SINCAM000118	ENSGACP00000010405
SINCAM000120	ENSGACP00000011109
SINCAM000120	ENSGACP00000010580
SINCAM000122	ENSGACP00000020988
SINCAM000122	ENSGACP00000027031
SINCAM000123	ENSGACP00000014544
SINCAM000126	ENSGACP00000025224
SINCAM000129	ENSGACP00000027410
SINCAM000129	ENSGACP00000010866
SINCAM000130	ENSGACP00000010854
SINCAM000131	ENSGACP00000025707
SINCAM000132	ENSGACP00000025857
SINCAM000133	ENSGACP00000006092
SINCAM000135	ENSGACP00000023723
SINCAM000136	ENSGACP00000023442
SINCAM000137	ENSGACP00000020435
SINCAM000137	ENSGACP00000024552
SINCAM000140	ENSGACP00000023096
SINCAM000141	ENSGACP00000023085
SINCAM000141	ENSGACP00000009498
SINCAM000143	ENSGACP00000023275
SINCAM000148	ENSGACP00000023796
SINCAM000148	ENSGACP00000025443
SINCAM000151	ENSGACP00000025821
SINCAM000152	ENSGACP00000025820
SINCAM000152	ENSGACP00000023528
SINCAM000153	ENSGACP00000023523
SINCAM000153	ENSGACP00000025819
SINCAM000154	ENSGACP00000025749
SINCAM000154	ENSGACP00000023513
SINCAM000155	ENSGACP00000021182
SINCAM000155	ENSGACP00000001257
SINCAM000156	ENSGACP00000002087
SINCAM000161	ENSGACP00000000991
SINCAM000161	ENSGACP00000024294
SINCAM000162	ENSGACP00000000988
SINCAM000163	ENSGACP00000025656
SINCAM000164	ENSGACP00000025661
SINCAM000165	ENSGACP00000024287
SINCAM000165	ENSGACP00000025662
SINCAM000166	ENSGACP00000025663
SINCAM000166	ENSGACP00000024282
SINCAM000167	ENSGACP00000025664
SINCAM000172	ENSGACP00000000149
SINCAM000172	ENSGACP00000006530
SINCAM000174	ENSGACP00000022429
SINCAM000177	ENSGACP00000022625
SINCAM000178	ENSGACP00000001239
SINCAM000179	ENSGACP00000001228
SINCAM000179	ENSGACP00000012414
SINCAM000180	ENSGACP00000001247
SINCAM000180	ENSGACP00000024417
SINCAM000181	ENSGACP00000001249
SINCAM000185	ENSGACP00000023610
SINCAM000188	ENSGACP00000001224
SINCAM000191	ENSGACP00000021816
SINCAM000192	ENSGACP00000021858
SINCAM000193	ENSGACP00000021861
SINCAM000193	ENSGACP00000021429
SINCAM000194	ENSGACP00000021877
SINCAM000194	ENSGACP00000023886
SINCAM000196	ENSGACP00000021895
SINCAM000197	ENSGACP00000021922
SINCAM000197	ENSGACP00000004605
SINCAM000198	ENSGACP00000021943
SINCAM000198	ENSGACP00000011712
SINCAM000200	ENSGACP00000021953
SINCAM000201	ENSGACP00000021964
SINCAM000201	ENSGACP00000027608
SINCAM000202	ENSGACP00000021630
SINCAM000203	ENSGACP00000003015
SINCAM000204	ENSGACP00000010282
SINCAM000204	ENSGACP00000022629
SINCAM000205	ENSGACP00000022764
SINCAM000205	ENSGACP00000015439
SINCAM000207	ENSGACP00000022756
SINCAM000209	ENSGACP00000024599
SINCAM000209	ENSGACP00000004054
SINCAM000210	ENSGACP00000024605
SINCAM000212	ENSGACP00000022748
SINCAM000214	ENSGACP00000022750
SINCAM000215	ENSGACP00000022753
SINCAM000215	ENSGACP00000024749
SINCAM000216	ENSGACP00000022745
SINCAM000216	ENSGACP00000026497
SINCAM000218	ENSGACP00000024617
SINCAM000220	ENSGACP00000024622
SINCAM000221	ENSGACP00000024566
SINCAM000221	ENSGACP00000017059
SINCAM000223	ENSGACP00000022731
SINCAM000224	ENSGACP00000022722
SINCAM000225	ENSGACP00000022713
SINCAM000225	ENSGACP00000024074
SINCAM000228	ENSGACP00000022702
SINCAM000228	ENSGACP00000027182
SINCAM000234	ENSGACP00000022694
SINCAM000234	ENSGACP00000007422
SINCAM000235	ENSGACP00000022675
SINCAM000236	ENSGACP00000022658
SINCAM000236	ENSGACP00000024630
SINCAM000237	ENSGACP00000022646
SINCAM000237	ENSGACP00000024633
SINCAM000238	ENSGACP00000022644
SINCAM000238	ENSGACP00000016206
SINCAM000239	ENSGACP00000024593
SINCAM000239	ENSGACP00000012969
SINCAM000240	ENSGACP00000022636
SINCAM000241	ENSGACP00000022217
SINCAM000241	ENSGACP00000027201
SINCAM000242	ENSGACP00000022213
SINCAM000243	ENSGACP00000022209
SINCAM000243	ENSGACP00000015452
SINCAM000244	ENSGACP00000022197
SINCAM000246	ENSGACP00000024675
SINCAM000246	ENSGACP00000026941
SINCAM000247	ENSGACP00000022246
SINCAM000247	ENSGACP00000010386
SINCAM000248	ENSGACP00000022251
SINCAM000248	ENSGACP00000015469
SINCAM000249	ENSGACP00000022260
SINCAM000250	ENSGACP00000024704
SINCAM000251	ENSGACP00000024713
SINCAM000252	ENSGACP00000022264
SINCAM000252	ENSGACP00000013716
SINCAM000253	ENSGACP00000000487
SINCAM000256	ENSGACP00000023055
SINCAM000261	ENSGACP00000012062
SINCAM000261	ENSGACP00000009963
SINCAM000263	ENSGACP00000012090
SINCAM000264	ENSGACP00000012103
SINCAM000265	ENSGACP00000004833
SINCAM000267	ENSGACP00000010997
SINCAM000268	ENSGACP00000010962
SINCAM000268	ENSGACP00000024351
SINCAM000270	ENSGACP00000010942
SINCAM000271	ENSGACP00000010908
SINCAM000272	ENSGACP00000021174
SINCAM000272	ENSGACP00000027429
SINCAM000274	ENSGACP00000023622
SINCAM000276	ENSGACP00000023618
SINCAM000276	ENSGACP00000021177
SINCAM000277	ENSGACP00000023615
SINCAM000282	ENSGACP00000006044
SINCAM000282	ENSGACP00000018281
SINCAM000283	ENSGACP00000024327
SINCAM000287	ENSGACP00000000093
SINCAM000287	ENSGACP00000000652
SINCAM000288	ENSGACP00000025930
SINCAM000288	ENSGACP00000024332
SINCAM000289	ENSGACP00000025920
SINCAM000289	ENSGACP00000024333
SINCAM000290	ENSGACP00000025918
SINCAM000291	ENSGACP00000025933
SINCAM000291	ENSGACP00000024414
SINCAM000292	ENSGACP00000024418
SINCAM000292	ENSGACP00000025934
SINCAM000296	ENSGACP00000024425
SINCAM000296	ENSGACP00000025944
SINCAM000297	ENSGACP00000025916
SINCAM000299	ENSGACP00000016321
SINCAM000299	ENSGACP00000016325
SINCAM000300	ENSGACP00000025825
SINCAM000301	ENSGACP00000025822
SINCAM000303	ENSGACP00000024430
SINCAM000305	ENSGACP00000022839
SINCAM000306	ENSGACP00000022833
SINCAM000306	ENSGACP00000014905
SINCAM000307	ENSGACP00000022820
SINCAM000307	ENSGACP00000021474
SINCAM000308	ENSGACP00000024580
SINCAM000308	ENSGACP00000022812
SINCAM000310	ENSGACP00000022807
SINCAM000311	ENSGACP00000022795
SINCAM000311	ENSGACP00000003866
SINCAM000312	ENSGACP00000022777
SINCAM000312	ENSGACP00000020680
SINCAM000313	ENSGACP00000022782
SINCAM000313	ENSGACP00000024817
SINCAM000314	ENSGACP00000016349
SINCAM000315	ENSGACP00000020968
SINCAM000316	ENSGACP00000024303
SINCAM000316	ENSGACP00000012428
SINCAM000317	ENSGACP00000024711
SINCAM000317	ENSGACP00000002396
SINCAM000318	ENSGACP00000001535
SINCAM000319	ENSGACP00000001541
SINCAM000320	ENSGACP00000001790
SINCAM000321	ENSGACP00000001542
SINCAM000322	ENSGACP00000005923
SINCAM000322	ENSGACP00000014706
SINCAM000323	ENSGACP00000017749
SINCAM000324	ENSGACP00000009552
SINCAM000324	ENSGACP00000018060
SINCAM000327	ENSGACP00000022895
SINCAM000328	ENSGACP00000016950
SINCAM000329	ENSGACP00000023449
SINCAM000332	ENSGACP00000023115
SINCAM000340	ENSGACP00000011955
SINCAM000340	ENSGACP00000026037
SINCAM000342	ENSGACP00000017076
SINCAM000343	ENSGACP00000020223
SINCAM000343	ENSGACP00000000161
SINCAM000344	ENSGACP00000021374
SINCAM000349	ENSGACP00000022880
SINCAM000355	ENSGACP00000023817
SINCAM000356	ENSGACP00000002089
SINCAM000356	ENSGACP00000023778
SINCAM000358	ENSGACP00000002132
SINCAM000358	ENSGACP00000021205
SINCAM000361	ENSGACP00000025940
SINCAM000364	ENSGACP00000026398
SINCAM000365	ENSGACP00000024740
SINCAM000366	ENSGACP00000021763
SINCAM000367	ENSGACP00000002570
SINCAM000371	ENSGACP00000021779
SINCAM000371	ENSGACP00000002573
SINCAM000372	ENSGACP00000002544
SINCAM000373	ENSGACP00000023842
SINCAM000376	ENSGACP00000026325
SINCAM000376	ENSGACP00000022723
SINCAM000379	ENSGACP00000006473
SINCAM000379	ENSGACP00000023485
SINCAM000383	ENSGACP00000002405
SINCAM000384	ENSGACP00000002402
SINCAM000384	ENSGACP00000013490
SINCAM000385	ENSGACP00000000064
SINCAM000385	ENSGACP00000023488
SINCAM000386	ENSGACP00000018920
SINCAM000387	ENSGACP00000018910
SINCAM000387	ENSGACP00000017535
SINCAM000388	ENSGACP00000005987
SINCAM000390	ENSGACP00000018905
SINCAM000390	ENSGACP00000009302
SINCAM000391	ENSGACP00000006117
SINCAM000392	ENSGACP00000021661
SINCAM000393	ENSGACP00000021655
SINCAM000394	ENSGACP00000021636
SINCAM000394	ENSGACP00000009446
SINCAM000395	ENSGACP00000021890
SINCAM000397	ENSGACP00000021605
SINCAM000398	ENSGACP00000018232
