e_gw.1.149.1	PMZ_0010867-RA
e_gw.1.155.1	PMZ_0030831-RA
e_gw.1.169.1	PMZ_0029563-RA
e_gw.1.169.1	PMZ_0026834-RA
e_gw.1.169.1	PMZ_0030651-RA
e_gw.1.184.1	PMZ_0043651-RA
e_gw.1.199.1	PMZ_0034210-RA
e_gw.1.207.1	PMZ_0047564-RA
e_gw.1.228.1	PMZ_0043690-RA
e_gw.1.246.1	PMZ_0032578-RA
e_gw.1.249.1	PMZ_0031034-RA
e_gw.1.253.1	PMZ_0021898-RA
e_gw.1.267.1	PMZ_0045338-RA
e_gw.1.3.1	PMZ_0013718-RA
e_gw.1.3.1	PMZ_0036569-RA
e_gw.1.3.1	PMZ_0045851-RA
e_gw.1.300.1	PMZ_0043687-RA
e_gw.1.300.1	PMZ_0041259-RA
e_gw.1.315.1	PMZ_0040734-RA
e_gw.1.334.1	PMZ_0009393-RA
e_gw.1.41.1	PMZ_0032716-RA
e_gw.1.41.1	PMZ_0040100-RA
e_gw.1.440.1	PMZ_0032783-RA
e_gw.1.440.1	PMZ_0001535-RA
e_gw.1.460.1	PMZ_0046143-RA
e_gw.1.474.1	PMZ_0041260-RA
e_gw.1.488.1	PMZ_0043075-RA
e_gw.1.488.1	PMZ_0045800-RA
e_gw.1.492.1	PMZ_0029877-RA
e_gw.1.492.1	PMZ_0011958-RA
e_gw.1.55.1	PMZ_0027630-RA
e_gw.1.59.1	PMZ_0003258-RA
e_gw.1.654.1	PMZ_0016068-RA
e_gw.1.654.1	PMZ_0045379-RA
e_gw.1.654.1	PMZ_0042325-RA
e_gw.1.659.1	PMZ_0032060-RA
e_gw.1.666.1	PMZ_0015521-RA
e_gw.1.666.1	PMZ_0001694-RA
e_gw.1.667.1	PMZ_0014736-RA
e_gw.1.673.1	PMZ_0043688-RA
e_gw.1.675.1	PMZ_0027979-RA
e_gw.1.696.1	PMZ_0040513-RA
e_gw.1.709.1	PMZ_0049037-RA
e_gw.1.79.1	PMZ_0013901-RA
