ENSP00000001008	SINCAM006004
ENSP00000001146	SINCAM010124
ENSP00000002125	SINCAM003502
ENSP00000002165	SINCAM002886
ENSP00000002596	SINCAM920492
ENSP00000002829	SINCAM009749
ENSP00000003084	SINCAM005837
ENSP00000003100	SINCAM002209
ENSP00000003302	SINCAM013947
ENSP00000004531	SINCAM000577
ENSP00000004980	SINCAM014149
ENSP00000005226	SINCAM011598
ENSP00000005257	SINCAM001684
ENSP00000005260	SINCAM011227
ENSP00000005340	SINCAM009154
ENSP00000005386	SINCAM005724
ENSP00000005587	SINCAM001981
ENSP00000006658	SINCAM012407
ENSP00000006777	SINCAM900280
ENSP00000007722	SINCAM013390
ENSP00000007969	SINCAM017663
ENSP00000008391	SINCAM003313
ENSP00000008527	SINCAM005625
ENSP00000009041	SINCAM002258
ENSP00000009105	SINCAM012182
ENSP00000009530	SINCAM010274
ENSP00000010299	SINCAM008957
ENSP00000011292	SINCAM006150
ENSP00000011473	SINCAM006034
ENSP00000011619	SINCAM920666
ENSP00000011898	SINCAM005620
ENSP00000012049	SINCAM016659
ENSP00000013070	SINCAM008074
ENSP00000013125	SINCAM008197
ENSP00000014914	SINCAM014769
ENSP00000014930	SINCAM014782
ENSP00000016171	SINCAM007294
ENSP00000017003	SINCAM012443
ENSP00000019317	SINCAM002660
ENSP00000020673	SINCAM007090
ENSP00000020926	SINCAM011468
ENSP00000023064	SINCAM010482
ENSP00000023939	SINCAM922438
ENSP00000024061	SINCAM002641
ENSP00000025008	SINCAM002526
ENSP00000025301	SINCAM004265
ENSP00000026218	SINCAM922025
ENSP00000027335	SINCAM920779
ENSP00000033079	SINCAM009947
ENSP00000035307	SINCAM002775
ENSP00000035383	SINCAM005054
ENSP00000037243	SINCAM010425
ENSP00000037502	SINCAM920861
ENSP00000039007	SINCAM004625
ENSP00000039989	SINCAM011659
ENSP00000040663	SINCAM016450
ENSP00000040738	SINCAM010078
ENSP00000040877	SINCAM003453
ENSP00000043402	SINCAM922031
ENSP00000044462	SINCAM013280
ENSP00000046087	SINCAM921792
ENSP00000046794	SINCAM010176
ENSP00000052754	SINCAM005693
ENSP00000053243	SINCAM011322
ENSP00000053468	SINCAM003856
ENSP00000053867	SINCAM002022
ENSP00000054650	SINCAM013828
ENSP00000054666	SINCAM013824
ENSP00000054950	SINCAM011724
ENSP00000055077	SINCAM008586
ENSP00000055682	SINCAM010961
ENSP00000061240	SINCAM006921
ENSP00000064571	SINCAM011956
ENSP00000064724	SINCAM009134
ENSP00000064780	SINCAM004919
ENSP00000070846	SINCAM920958
ENSP00000072644	SINCAM005093
ENSP00000072869	SINCAM006001
ENSP00000074304	SINCAM004939
ENSP00000078445	SINCAM001359
ENSP00000080059	SINCAM001134
ENSP00000081029	SINCAM005821
ENSP00000083182	SINCAM008722
ENSP00000086933	SINCAM921418
ENSP00000155840	SINCAM005819
ENSP00000155858	SINCAM011494
ENSP00000155926	SINCAM003004
ENSP00000156109	SINCAM015405
ENSP00000156471	SINCAM921652
ENSP00000156825	SINCAM922484
ENSP00000157600	SINCAM009907
ENSP00000158166	SINCAM008574
ENSP00000158771	SINCAM008561
ENSP00000159060	SINCAM003898
ENSP00000159087	SINCAM012959
ENSP00000159111	SINCAM012779
ENSP00000160373	SINCAM005838
ENSP00000161559	SINCAM016562
ENSP00000161863	SINCAM001102
ENSP00000162749	SINCAM014412
ENSP00000163416	SINCAM008078
ENSP00000164024	SINCAM009725
ENSP00000164139	SINCAM008202
ENSP00000164305	SINCAM005434
ENSP00000165524	SINCAM920705
ENSP00000166244	SINCAM013712
ENSP00000166345	SINCAM001794
ENSP00000167106	SINCAM008510
ENSP00000168148	SINCAM006463
ENSP00000168712	SINCAM011702
ENSP00000168977	SINCAM013132
ENSP00000169298	SINCAM009459
ENSP00000169551	SINCAM002423
ENSP00000170168	SINCAM920564
ENSP00000170447	SINCAM009612
ENSP00000170564	SINCAM010322
ENSP00000171111	SINCAM920848
ENSP00000171757	SINCAM015453
ENSP00000171887	SINCAM006262
ENSP00000172229	SINCAM002783
ENSP00000173229	SINCAM012612
ENSP00000173527	SINCAM900209
ENSP00000173898	SINCAM016969
ENSP00000174618	SINCAM008633
ENSP00000175091	SINCAM003038
ENSP00000175506	SINCAM002084
ENSP00000176183	SINCAM011515
ENSP00000176763	SINCAM010005
ENSP00000177694	SINCAM013365
ENSP00000178638	SINCAM900152
ENSP00000178640	SINCAM013074
