ENSACAP00000000005	SINCAM006024
ENSACAP00000000006	SINCAM005854
ENSACAP00000000008	SINCAM011094
ENSACAP00000000009	SINCAM007960
ENSACAP00000000010	SINCAM007958
ENSACAP00000000011	SINCAM008019
ENSACAP00000000012	SINCAM001944
ENSACAP00000000013	SINCAM002192
ENSACAP00000000014	SINCAM002191
ENSACAP00000000016	SINCAM002188
ENSACAP00000000017	SINCAM002187
ENSACAP00000000018	SINCAM002186
ENSACAP00000000019	SINCAM005900
ENSACAP00000000020	SINCAM005901
ENSACAP00000000021	SINCAM005902
ENSACAP00000000023	SINCAM005904
ENSACAP00000000025	SINCAM005905
ENSACAP00000000027	SINCAM000759
ENSACAP00000000029	SINCAM005893
ENSACAP00000000030	SINCAM005892
ENSACAP00000000031	SINCAM005937
ENSACAP00000000032	SINCAM005989
ENSACAP00000000033	SINCAM005988
ENSACAP00000000034	SINCAM005984
ENSACAP00000000035	SINCAM006032
ENSACAP00000000036	SINCAM005919
ENSACAP00000000037	SINCAM005918
ENSACAP00000000038	SINCAM005868
ENSACAP00000000040	SINCAM015160
ENSACAP00000000041	SINCAM011608
ENSACAP00000000042	SINCAM011607
ENSACAP00000000043	SINCAM922231
ENSACAP00000000044	SINCAM922230
ENSACAP00000000045	SINCAM011605
ENSACAP00000000046	SINCAM011600
ENSACAP00000000047	SINCAM011599
ENSACAP00000000050	SINCAM011598
ENSACAP00000000051	SINCAM011595
ENSACAP00000000052	SINCAM011593
ENSACAP00000000053	SINCAM011592
ENSACAP00000000054	SINCAM011540
ENSACAP00000000056	SINCAM011541
ENSACAP00000000057	SINCAM011542
ENSACAP00000000058	SINCAM011543
ENSACAP00000000059	SINCAM011544
ENSACAP00000000060	SINCAM011545
ENSACAP00000000061	SINCAM922225
ENSACAP00000000062	SINCAM922226
ENSACAP00000000063	SINCAM011569
ENSACAP00000000064	SINCAM011570
ENSACAP00000000067	SINCAM922221
ENSACAP00000000070	SINCAM921249
ENSACAP00000000072	SINCAM922222
ENSACAP00000000073	SINCAM922223
ENSACAP00000000074	SINCAM920966
ENSACAP00000000079	SINCAM900088
ENSACAP00000000081	SINCAM016374
ENSACAP00000000082	SINCAM013066
ENSACAP00000000085	SINCAM922591
ENSACAP00000000086	SINCAM922589
ENSACAP00000000087	SINCAM013064
ENSACAP00000000092	SINCAM013860
ENSACAP00000000094	SINCAM010068
ENSACAP00000000096	SINCAM014946
ENSACAP00000000097	SINCAM013859
ENSACAP00000000098	SINCAM008140
ENSACAP00000000099	SINCAM922707
ENSACAP00000000103	SINCAM922705
ENSACAP00000000104	SINCAM013857
ENSACAP00000000105	SINCAM013856
ENSACAP00000000111	SINCAM920911
ENSACAP00000000116	SINCAM001168
ENSACAP00000000118	SINCAM008916
ENSACAP00000000121	SINCAM005438
ENSACAP00000000122	SINCAM006570
ENSACAP00000000123	SINCAM005439
ENSACAP00000000124	SINCAM002992
ENSACAP00000000128	SINCAM922725
ENSACAP00000000132	SINCAM900084
ENSACAP00000000133	SINCAM005440
ENSACAP00000000134	SINCAM002483
ENSACAP00000000137	SINCAM008138
ENSACAP00000000140	SINCAM012073
ENSACAP00000000142	SINCAM002991
