PMZ_0000016-RA	SINLEJ014510
PMZ_0000041-RA	SINLEJ014118
PMZ_0000048-RA	SINLEJ012121
PMZ_0000071-RA	SINLEJ009762
PMZ_0000086-RA	SINLEJ014119
PMZ_0000135-RA	SINLEJ001242
PMZ_0000155-RA	SINLEJ010848
PMZ_0000160-RA	SINLEJ019236
PMZ_0000176-RA	SINLEJ011205
PMZ_0000185-RA	SINLEJ004626
PMZ_0000190-RA	SINLEJ002674
PMZ_0000191-RA	SINLEJ002675
PMZ_0000203-RA	SINLEJ004635
PMZ_0000204-RA	SINLEJ002678
PMZ_0000206-RA	SINLEJ002681
PMZ_0000207-RA	SINLEJ004637
PMZ_0000211-RA	SINLEJ002682
PMZ_0000229-RA	SINLEJ002684
PMZ_0000231-RA	SINLEJ002685
PMZ_0000234-RA	SINLEJ002687
PMZ_0000237-RA	SINLEJ002688
PMZ_0000247-RA	SINLEJ015777
PMZ_0000254-RA	SINLEJ015781
PMZ_0000255-RA	SINLEJ015782
PMZ_0000256-RA	SINLEJ015783
PMZ_0000257-RA	SINLEJ015784
PMZ_0000264-RA	SINLEJ015788
PMZ_0000270-RA	SINLEJ019433
PMZ_0000277-RA	SINLEJ015796
PMZ_0000280-RA	SINLEJ015800
PMZ_0000281-RA	SINLEJ015801
PMZ_0000282-RA	SINLEJ015803
PMZ_0000352-RA	SINLEJ015192
PMZ_0000358-RA	SINLEJ016302
PMZ_0000381-RA	SINLEJ016063
PMZ_0000394-RA	SINLEJ016498
PMZ_0000418-RA	SINLEJ012112
PMZ_0000423-RA	SINLEJ012113
PMZ_0000451-RA	SINLEJ012116
PMZ_0000459-RA	SINLEJ006063
PMZ_0000460-RA	SINLEJ006062
PMZ_0000461-RB	SINLEJ006061
PMZ_0000462-RA	SINLEJ006059
PMZ_0000464-RA	SINLEJ006058
PMZ_0000465-RA	SINLEJ006057
PMZ_0000470-RA	SINLEJ006215
PMZ_0000474-RA	SINLEJ006217
PMZ_0000478-RA	SINLEJ006218
PMZ_0000479-RA	SINLEJ006219
PMZ_0000485-RA	SINLEJ006220
PMZ_0000486-RA	SINLEJ006221
PMZ_0000487-RA	SINLEJ006226
