ENSGALP00000024336	ENSGALP00000006178
ENSGALP00000006178	ENSGALP00000024336
ENSGALP00000013518	ENSGALP00000003417
ENSGALP00000003417	ENSGALP00000013518
ENSGALP00000006527	ENSGALP00000025791
ENSGALP00000025791	ENSGALP00000006527
ENSGALP00000013423	ENSGALP00000014051
ENSGALP00000014051	ENSGALP00000013423
ENSGALP00000035505	ENSGALP00000042226
ENSGALP00000042226	ENSGALP00000035505
ENSGALP00000041254	ENSGALP00000002938
ENSGALP00000002938	ENSGALP00000041254
ENSGALP00000010835	ENSGALP00000026172
ENSGALP00000026172	ENSGALP00000010835
ENSGALP00000010835	ENSGALP00000022178
ENSGALP00000022178	ENSGALP00000010835
ENSGALP00000026172	ENSGALP00000022178
ENSGALP00000022178	ENSGALP00000026172
ENSGALP00000025475	ENSGALP00000025476
ENSGALP00000025476	ENSGALP00000025475
ENSGALP00000025999	ENSGALP00000010976
ENSGALP00000010976	ENSGALP00000025999
ENSGALP00000016167	ENSGALP00000016163
ENSGALP00000016163	ENSGALP00000016167
ENSGALP00000042824	ENSGALP00000039322
ENSGALP00000039322	ENSGALP00000042824
ENSGALP00000042824	ENSGALP00000042521
ENSGALP00000042521	ENSGALP00000042824
ENSGALP00000039322	ENSGALP00000042521
ENSGALP00000042521	ENSGALP00000039322
ENSGALP00000010845	ENSGALP00000013128
ENSGALP00000013128	ENSGALP00000010845
ENSGALP00000002401	ENSGALP00000014649
ENSGALP00000014649	ENSGALP00000002401
ENSGALP00000041588	ENSGALP00000012927
ENSGALP00000012927	ENSGALP00000041588
ENSGALP00000041588	ENSGALP00000002848
ENSGALP00000002848	ENSGALP00000041588
ENSGALP00000041588	ENSGALP00000002836
ENSGALP00000002836	ENSGALP00000041588
ENSGALP00000012927	ENSGALP00000002848
ENSGALP00000002848	ENSGALP00000012927
ENSGALP00000012927	ENSGALP00000002836
ENSGALP00000002836	ENSGALP00000012927
ENSGALP00000002848	ENSGALP00000002836
ENSGALP00000002836	ENSGALP00000002848
ENSGALP00000025606	ENSGALP00000036285
ENSGALP00000036285	ENSGALP00000025606
ENSGALP00000032312	ENSGALP00000016886
ENSGALP00000016886	ENSGALP00000032312
ENSGALP00000032312	ENSGALP00000016883
ENSGALP00000016883	ENSGALP00000032312
ENSGALP00000032312	ENSGALP00000016882
ENSGALP00000016882	ENSGALP00000032312
ENSGALP00000016886	ENSGALP00000016883
ENSGALP00000016883	ENSGALP00000016886
ENSGALP00000016886	ENSGALP00000016882
ENSGALP00000016882	ENSGALP00000016886
ENSGALP00000016883	ENSGALP00000016882
ENSGALP00000016882	ENSGALP00000016883
ENSGALP00000008089	ENSGALP00000026119
ENSGALP00000026119	ENSGALP00000008089
ENSGALP00000007963	ENSGALP00000026960
ENSGALP00000026960	ENSGALP00000007963
ENSGALP00000007963	ENSGALP00000041360
ENSGALP00000041360	ENSGALP00000007963
ENSGALP00000007963	ENSGALP00000005960
ENSGALP00000005960	ENSGALP00000007963
ENSGALP00000026960	ENSGALP00000041360
ENSGALP00000041360	ENSGALP00000026960
ENSGALP00000026960	ENSGALP00000005960
ENSGALP00000005960	ENSGALP00000026960
ENSGALP00000041360	ENSGALP00000005960
ENSGALP00000005960	ENSGALP00000041360
ENSGALP00000006776	ENSGALP00000035831
ENSGALP00000035831	ENSGALP00000006776
ENSGALP00000021178	ENSGALP00000004717
ENSGALP00000004717	ENSGALP00000021178
ENSGALP00000021178	ENSGALP00000008354
ENSGALP00000008354	ENSGALP00000021178
ENSGALP00000004717	ENSGALP00000008354
ENSGALP00000008354	ENSGALP00000004717
ENSGALP00000042174	ENSGALP00000000103
ENSGALP00000000103	ENSGALP00000042174
ENSGALP00000006714	ENSGALP00000021661
ENSGALP00000021661	ENSGALP00000006714
ENSGALP00000008273	ENSGALP00000020923
ENSGALP00000020923	ENSGALP00000008273
ENSGALP00000017712	ENSGALP00000009966
ENSGALP00000009966	ENSGALP00000017712
ENSGALP00000015926	ENSGALP00000016880
ENSGALP00000016880	ENSGALP00000015926
ENSGALP00000042528	ENSGALP00000010414
ENSGALP00000010414	ENSGALP00000042528
ENSGALP00000035379	ENSGALP00000032649
ENSGALP00000032649	ENSGALP00000035379
ENSGALP00000025472	ENSGALP00000025114
ENSGALP00000025114	ENSGALP00000025472
ENSGALP00000014101	ENSGALP00000042998
ENSGALP00000042998	ENSGALP00000014101
ENSGALP00000014101	ENSGALP00000021550
ENSGALP00000021550	ENSGALP00000014101
ENSGALP00000042998	ENSGALP00000021550
ENSGALP00000021550	ENSGALP00000042998
ENSGALP00000011134	ENSGALP00000041611
ENSGALP00000041611	ENSGALP00000011134
ENSGALP00000036527	ENSGALP00000042712
ENSGALP00000042712	ENSGALP00000036527
ENSGALP00000036527	ENSGALP00000042464
ENSGALP00000042464	ENSGALP00000036527
ENSGALP00000036527	ENSGALP00000030960
ENSGALP00000030960	ENSGALP00000036527
ENSGALP00000042712	ENSGALP00000042464
ENSGALP00000042464	ENSGALP00000042712
ENSGALP00000042712	ENSGALP00000030960
ENSGALP00000030960	ENSGALP00000042712
ENSGALP00000042464	ENSGALP00000030960
ENSGALP00000030960	ENSGALP00000042464
ENSGALP00000001054	ENSGALP00000035892
ENSGALP00000035892	ENSGALP00000001054
ENSGALP00000010428	ENSGALP00000026821
ENSGALP00000026821	ENSGALP00000010428
ENSGALP00000025899	ENSGALP00000000107
ENSGALP00000000107	ENSGALP00000025899
ENSGALP00000025899	ENSGALP00000038965
ENSGALP00000038965	ENSGALP00000025899
ENSGALP00000025899	ENSGALP00000040811
ENSGALP00000040811	ENSGALP00000025899
ENSGALP00000000107	ENSGALP00000038965
ENSGALP00000038965	ENSGALP00000000107
ENSGALP00000000107	ENSGALP00000040811
ENSGALP00000040811	ENSGALP00000000107
ENSGALP00000002593	ENSGALP00000026322
ENSGALP00000026322	ENSGALP00000002593
ENSGALP00000042181	ENSGALP00000026322
ENSGALP00000026322	ENSGALP00000042181
ENSGALP00000043032	ENSGALP00000005571
ENSGALP00000005571	ENSGALP00000043032
ENSGALP00000043032	ENSGALP00000011333
ENSGALP00000011333	ENSGALP00000043032
ENSGALP00000005571	ENSGALP00000011333
ENSGALP00000011333	ENSGALP00000005571
ENSGALP00000003671	ENSGALP00000038075
ENSGALP00000038075	ENSGALP00000003671
ENSGALP00000015891	ENSGALP00000000412
ENSGALP00000000412	ENSGALP00000015891
ENSGALP00000039341	ENSGALP00000009803
ENSGALP00000009803	ENSGALP00000039341
ENSGALP00000008661	ENSGALP00000040060
ENSGALP00000040060	ENSGALP00000008661
ENSGALP00000042171	ENSGALP00000019399
ENSGALP00000019399	ENSGALP00000042171
ENSGALP00000042171	ENSGALP00000024768
ENSGALP00000024768	ENSGALP00000042171
ENSGALP00000019399	ENSGALP00000024768
ENSGALP00000024768	ENSGALP00000019399
ENSGALP00000041815	ENSGALP00000038287
ENSGALP00000038287	ENSGALP00000041815
ENSGALP00000009611	ENSGALP00000017701
