PMZ_0041611-RA	ENSLOCP00000000001
PMZ_0002183-RA	ENSLOCP00000000002
PMZ_0048581-RA	ENSLOCP00000000002
PMZ_0014813-RA	ENSLOCP00000000004
PMZ_0030478-RA	ENSLOCP00000000005
PMZ_0036241-RA	ENSLOCP00000000005
PMZ_0033736-RA	ENSLOCP00000000006
PMZ_0041919-RA	ENSLOCP00000000007
PMZ_0017846-RA	ENSLOCP00000000011
PMZ_0047029-RA	ENSLOCP00000000016
PMZ_0015669-RA	ENSLOCP00000000018
PMZ_0035255-RA	ENSLOCP00000000022
PMZ_0023448-RA	ENSLOCP00000000022
PMZ_0045991-RA	ENSLOCP00000000025
PMZ_0012071-RA	ENSLOCP00000000025
PMZ_0012038-RA	ENSLOCP00000000028
PMZ_0039104-RA	ENSLOCP00000000029
PMZ_0042447-RA	ENSLOCP00000000030
PMZ_0041904-RA	ENSLOCP00000000030
PMZ_0042446-RA	ENSLOCP00000000038
PMZ_0035542-RA	ENSLOCP00000000044
PMZ_0005684-RA	ENSLOCP00000000046
PMZ_0033529-RA	ENSLOCP00000000046
PMZ_0044230-RA	ENSLOCP00000000050
PMZ_0042444-RA	ENSLOCP00000000051
PMZ_0046928-RA	ENSLOCP00000000051
PMZ_0042883-RA	ENSLOCP00000000060
PMZ_0021764-RA	ENSLOCP00000000061
PMZ_0047034-RA	ENSLOCP00000000066
PMZ_0048711-RA	ENSLOCP00000000066
PMZ_0046347-RA	ENSLOCP00000000070
PMZ_0047282-RA	ENSLOCP00000000070
PMZ_0024070-RA	ENSLOCP00000000082
PMZ_0047040-RA	ENSLOCP00000000083
PMZ_0010190-RA	ENSLOCP00000000086
PMZ_0033938-RA	ENSLOCP00000000087
PMZ_0032822-RA	ENSLOCP00000000089
PMZ_0030582-RA	ENSLOCP00000000100
PMZ_0007535-RA	ENSLOCP00000000103
PMZ_0009066-RA	ENSLOCP00000000104
PMZ_0009064-RA	ENSLOCP00000000104
PMZ_0005070-RA	ENSLOCP00000000108
PMZ_0002520-RA	ENSLOCP00000000111
PMZ_0039440-RA	ENSLOCP00000000111
PMZ_0046521-RA	ENSLOCP00000000113
PMZ_0005663-RA	ENSLOCP00000000113
PMZ_0048580-RA	ENSLOCP00000000116
PMZ_0048600-RA	ENSLOCP00000000116
PMZ_0027077-RA	ENSLOCP00000000129
PMZ_0037253-RA	ENSLOCP00000000138
PMZ_0023186-RA	ENSLOCP00000000145
PMZ_0041020-RA	ENSLOCP00000000145
PMZ_0006276-RA	ENSLOCP00000000147
PMZ_0013442-RA	ENSLOCP00000000148
PMZ_0037169-RA	ENSLOCP00000000158
PMZ_0032572-RA	ENSLOCP00000000162
PMZ_0048583-RA	ENSLOCP00000000162
PMZ_0005387-RA	ENSLOCP00000000167
PMZ_0012852-RA	ENSLOCP00000000173
PMZ_0030815-RA	ENSLOCP00000000179
PMZ_0043844-RA	ENSLOCP00000000179
PMZ_0046978-RA	ENSLOCP00000000184
PMZ_0042619-RA	ENSLOCP00000000185
PMZ_0048322-RA	ENSLOCP00000000187
PMZ_0048278-RA	ENSLOCP00000000187
PMZ_0037201-RA	ENSLOCP00000000198
PMZ_0040364-RA	ENSLOCP00000000198
PMZ_0043123-RA	ENSLOCP00000000208
PMZ_0042916-RA	ENSLOCP00000000208
PMZ_0030814-RA	ENSLOCP00000000210
PMZ_0027767-RA	ENSLOCP00000000213
PMZ_0029120-RA	ENSLOCP00000000213
PMZ_0001121-RA	ENSLOCP00000000221
PMZ_0019996-RA	ENSLOCP00000000221
PMZ_0029870-RA	ENSLOCP00000000226
PMZ_0023557-RA	ENSLOCP00000000226
