ENSMGAP00000010739	ENSMGAP00000004925
ENSMGAP00000004925	ENSMGAP00000010739
ENSMGAP00000011180	ENSMGAP00000003978
ENSMGAP00000003978	ENSMGAP00000011180
ENSMGAP00000003388	ENSMGAP00000012833
ENSMGAP00000012833	ENSMGAP00000003388
ENSMGAP00000003388	ENSMGAP00000012859
ENSMGAP00000012859	ENSMGAP00000003388
ENSMGAP00000012833	ENSMGAP00000012859
ENSMGAP00000012859	ENSMGAP00000012833
ENSMGAP00000002654	ENSMGAP00000019425
ENSMGAP00000019425	ENSMGAP00000002654
ENSMGAP00000002402	ENSMGAP00000009217
ENSMGAP00000009217	ENSMGAP00000002402
ENSMGAP00000007525	ENSMGAP00000001572
ENSMGAP00000001572	ENSMGAP00000007525
ENSMGAP00000003900	ENSMGAP00000015491
ENSMGAP00000015491	ENSMGAP00000003900
ENSMGAP00000003900	ENSMGAP00000013487
ENSMGAP00000013487	ENSMGAP00000003900
ENSMGAP00000015491	ENSMGAP00000013487
ENSMGAP00000013487	ENSMGAP00000015491
ENSMGAP00000018471	ENSMGAP00000000415
ENSMGAP00000000415	ENSMGAP00000018471
ENSMGAP00000015435	ENSMGAP00000002277
ENSMGAP00000002277	ENSMGAP00000015435
ENSMGAP00000010566	ENSMGAP00000010545
ENSMGAP00000010545	ENSMGAP00000010566
ENSMGAP00000000601	ENSMGAP00000017561
ENSMGAP00000017561	ENSMGAP00000000601
ENSMGAP00000000601	ENSMGAP00000001323
ENSMGAP00000001323	ENSMGAP00000000601
ENSMGAP00000000601	ENSMGAP00000007436
ENSMGAP00000007436	ENSMGAP00000000601
ENSMGAP00000017561	ENSMGAP00000001323
ENSMGAP00000001323	ENSMGAP00000017561
ENSMGAP00000017561	ENSMGAP00000007436
ENSMGAP00000007436	ENSMGAP00000017561
ENSMGAP00000001323	ENSMGAP00000007436
ENSMGAP00000007436	ENSMGAP00000001323
ENSMGAP00000018658	ENSMGAP00000011060
ENSMGAP00000011060	ENSMGAP00000018658
ENSMGAP00000003168	ENSMGAP00000000271
ENSMGAP00000000271	ENSMGAP00000003168
ENSMGAP00000010388	ENSMGAP00000000840
ENSMGAP00000000840	ENSMGAP00000010388
ENSMGAP00000010388	ENSMGAP00000011657
ENSMGAP00000011657	ENSMGAP00000010388
ENSMGAP00000000840	ENSMGAP00000011657
ENSMGAP00000011657	ENSMGAP00000000840
ENSMGAP00000014622	ENSMGAP00000017433
ENSMGAP00000017433	ENSMGAP00000014622
ENSMGAP00000018280	ENSMGAP00000015477
ENSMGAP00000015477	ENSMGAP00000018280
ENSMGAP00000009720	ENSMGAP00000015641
ENSMGAP00000015641	ENSMGAP00000009720
ENSMGAP00000009720	ENSMGAP00000012633
ENSMGAP00000012633	ENSMGAP00000009720
ENSMGAP00000009720	ENSMGAP00000004973
ENSMGAP00000004973	ENSMGAP00000009720
ENSMGAP00000015641	ENSMGAP00000012633
ENSMGAP00000012633	ENSMGAP00000015641
ENSMGAP00000015641	ENSMGAP00000004973
ENSMGAP00000004973	ENSMGAP00000015641
ENSMGAP00000012633	ENSMGAP00000004973
ENSMGAP00000004973	ENSMGAP00000012633
ENSMGAP00000005906	ENSMGAP00000012790
ENSMGAP00000012790	ENSMGAP00000005906
ENSMGAP00000014176	ENSMGAP00000003923
ENSMGAP00000003923	ENSMGAP00000014176
ENSMGAP00000014176	ENSMGAP00000005521
ENSMGAP00000005521	ENSMGAP00000014176
ENSMGAP00000003923	ENSMGAP00000005521
ENSMGAP00000005521	ENSMGAP00000003923
ENSMGAP00000014885	ENSMGAP00000013787
ENSMGAP00000013787	ENSMGAP00000014885
ENSMGAP00000004134	ENSMGAP00000010708
ENSMGAP00000010708	ENSMGAP00000004134
ENSMGAP00000005425	ENSMGAP00000013930
ENSMGAP00000013930	ENSMGAP00000005425
ENSMGAP00000017297	ENSMGAP00000013514
ENSMGAP00000013514	ENSMGAP00000017297
ENSMGAP00000010640	ENSMGAP00000003316
ENSMGAP00000003316	ENSMGAP00000010640
ENSMGAP00000000717	ENSMGAP00000009863
ENSMGAP00000009863	ENSMGAP00000000717
ENSMGAP00000015359	ENSMGAP00000014406
ENSMGAP00000014406	ENSMGAP00000015359
ENSMGAP00000007874	ENSMGAP00000014447
ENSMGAP00000014447	ENSMGAP00000007874
ENSMGAP00000009216	ENSMGAP00000006576
ENSMGAP00000006576	ENSMGAP00000009216
ENSMGAP00000002105	ENSMGAP00000000989
ENSMGAP00000000989	ENSMGAP00000002105
ENSMGAP00000002105	ENSMGAP00000001972
ENSMGAP00000001972	ENSMGAP00000002105
ENSMGAP00000002105	ENSMGAP00000014828
ENSMGAP00000014828	ENSMGAP00000002105
ENSMGAP00000000989	ENSMGAP00000001972
ENSMGAP00000001972	ENSMGAP00000000989
ENSMGAP00000000989	ENSMGAP00000014828
ENSMGAP00000014828	ENSMGAP00000000989
ENSMGAP00000001972	ENSMGAP00000014828
ENSMGAP00000014828	ENSMGAP00000001972
ENSMGAP00000000569	ENSMGAP00000011996
ENSMGAP00000011996	ENSMGAP00000000569
ENSMGAP00000007423	ENSMGAP00000011424
ENSMGAP00000011424	ENSMGAP00000007423
ENSMGAP00000007423	ENSMGAP00000015017
ENSMGAP00000015017	ENSMGAP00000007423
ENSMGAP00000011424	ENSMGAP00000015017
ENSMGAP00000015017	ENSMGAP00000011424
ENSMGAP00000009294	ENSMGAP00000009228
ENSMGAP00000009228	ENSMGAP00000009294
ENSMGAP00000001262	ENSMGAP00000013335
ENSMGAP00000013335	ENSMGAP00000001262
ENSMGAP00000004502	ENSMGAP00000004061
ENSMGAP00000004061	ENSMGAP00000004502
ENSMGAP00000004502	ENSMGAP00000009429
ENSMGAP00000009429	ENSMGAP00000004502
ENSMGAP00000004061	ENSMGAP00000009429
ENSMGAP00000009429	ENSMGAP00000004061
ENSMGAP00000007539	ENSMGAP00000007950
ENSMGAP00000007950	ENSMGAP00000007539
