e_gw.1.149.1	SINLEJ018774
e_gw.1.155.1	SINLEJ003917
e_gw.1.169.1	SINLEJ006780
e_gw.1.169.1	SINLEJ008399
e_gw.1.169.1	SINLEJ008400
e_gw.1.169.1	SINLEJ009716
e_gw.1.184.1	SINLEJ008257
e_gw.1.207.1	SINLEJ011808
e_gw.1.249.1	SINLEJ007632
e_gw.1.263.1	SINLEJ008572
e_gw.1.266.1	SINLEJ011193
e_gw.1.267.1	SINLEJ009806
e_gw.1.3.1	SINLEJ008567
e_gw.1.3.1	SINLEJ006791
e_gw.1.300.1	SINLEJ008318
e_gw.1.300.1	SINLEJ005465
e_gw.1.320.1	SINLEJ002179
e_gw.1.334.1	SINLEJ008576
e_gw.1.37.1	SINLEJ017046
e_gw.1.402.1	SINLEJ013649
e_gw.1.41.1	SINLEJ010942
e_gw.1.41.1	SINLEJ003735
e_gw.1.440.1	SINLEJ004981
e_gw.1.460.1	SINLEJ016984
e_gw.1.470.1	SINLEJ018729
e_gw.1.474.1	SINLEJ005466
e_gw.1.474.1	SINLEJ008320
e_gw.1.534.1	SINLEJ016888
e_gw.1.55.1	SINLEJ006839
e_gw.1.55.1	SINLEJ006838
e_gw.1.556.1	SINLEJ006655
e_gw.1.59.1	SINLEJ017578
e_gw.1.59.1	SINLEJ003111
e_gw.1.666.1	SINLEJ010706
e_gw.1.666.1	SINLEJ004169
e_gw.1.667.1	SINLEJ009747
e_gw.1.673.1	SINLEJ002777
e_gw.1.675.1	SINLEJ003814
e_gw.1.709.1	SINLEJ018917
e_gw.1.77.1	SINLEJ015509
e_gw.1.79.1	SINLEJ008235
e_gw.1.87.1	SINLEJ010443
e_gw.1.91.1	SINLEJ008545
e_gw.1.91.1	SINLEJ009630
e_gw.10.10.1	SINLEJ002052
e_gw.10.10.1	SINLEJ014445
e_gw.10.10.1	SINLEJ014447
e_gw.10.10.1	SINLEJ014446
e_gw.10.14.1	SINLEJ010250
e_gw.10.14.1	SINLEJ011432
e_gw.10.14.1	SINLEJ001046
e_gw.10.14.1	SINLEJ004970
e_gw.10.142.1	SINLEJ000828
e_gw.10.142.1	SINLEJ004945
e_gw.10.142.1	SINLEJ006011
e_gw.10.142.1	SINLEJ004946
e_gw.10.151.1	SINLEJ005196
e_gw.10.151.1	SINLEJ017186
e_gw.10.158.1	SINLEJ001880
e_gw.10.173.1	SINLEJ017099
e_gw.10.173.1	SINLEJ007083
e_gw.10.173.1	SINLEJ007091
e_gw.10.180.1	SINLEJ007240
e_gw.10.182.1	SINLEJ010151
e_gw.10.182.1	SINLEJ013715
e_gw.10.182.1	SINLEJ009474
e_gw.10.191.1	SINLEJ009512
e_gw.10.191.1	SINLEJ007338
e_gw.10.218.1	SINLEJ007090
e_gw.10.236.1	SINLEJ005030
e_gw.10.236.1	SINLEJ005031
e_gw.10.3.1	SINLEJ009587
e_gw.10.3.1	SINLEJ009588
e_gw.10.3.1	SINLEJ015795
e_gw.10.308.1	SINLEJ010213
e_gw.10.308.1	SINLEJ009580
e_gw.10.370.1	SINLEJ001068
e_gw.10.370.1	SINLEJ005087
e_gw.10.378.1	SINLEJ010104
e_gw.10.378.1	SINLEJ010103
e_gw.10.378.1	SINLEJ010102
e_gw.10.423.1	SINLEJ010123
e_gw.10.429.1	SINLEJ017173
e_gw.10.437.1	SINLEJ010187
e_gw.10.451.1	SINLEJ003104
e_gw.10.451.1	SINLEJ019359
e_gw.10.460.1	SINLEJ013670
e_gw.10.460.1	SINLEJ013671
e_gw.10.466.1	SINLEJ007386
e_gw.10.466.1	SINLEJ007385
e_gw.10.469.1	SINLEJ009561
e_gw.10.469.1	SINLEJ010355
e_gw.10.470.1	SINLEJ013696
e_gw.10.470.1	SINLEJ012285
e_gw.10.493.1	SINLEJ010181
e_gw.10.59.1	SINLEJ019066
e_gw.10.60.1	SINLEJ011356
e_gw.10.60.1	SINLEJ011357
e_gw.10.61.1	SINLEJ002054
e_gw.10.61.1	SINLEJ014448
e_gw.10.68.1	SINLEJ013664
e_gw.10.75.1	SINLEJ007346
e_gw.10.78.1	SINLEJ010189
e_gw.10.78.1	SINLEJ010188
e_gw.10.85.1	SINLEJ010185
e_gw.10.85.1	SINLEJ012942
e_gw.10.92.1	SINLEJ005011
e_gw.10.96.1	SINLEJ013684
e_gw.10.99.1	SINLEJ010285
e_gw.100.150.1	SINLEJ600264
e_gw.100.150.1	SINLEJ003385
e_gw.100.150.1	SINLEJ600263
e_gw.100.160.1	SINLEJ009545
e_gw.100.26.1	SINLEJ009163
e_gw.100.26.1	SINLEJ017796
e_gw.100.28.1	SINLEJ011318
e_gw.100.30.1	SINLEJ018429
e_gw.100.50.1	SINLEJ007193
e_gw.100.6.1	SINLEJ007136
e_gw.100.66.1	SINLEJ003000
e_gw.101.134.1	SINLEJ017013
e_gw.101.15.1	SINLEJ001111
e_gw.101.15.1	SINLEJ009868
e_gw.101.18.1	SINLEJ009945
e_gw.101.18.1	SINLEJ009946
e_gw.101.18.1	SINLEJ012477
e_gw.101.183.1	SINLEJ017031
e_gw.101.183.1	SINLEJ012646
e_gw.101.21.1	SINLEJ003554
e_gw.101.27.1	SINLEJ006469
e_gw.101.49.1	SINLEJ015109
e_gw.101.51.1	SINLEJ000208
e_gw.101.53.1	SINLEJ012541
e_gw.101.84.1	SINLEJ012645
e_gw.101.91.1	SINLEJ004208
e_gw.101.99.1	SINLEJ013593
e_gw.1011.13.1	SINLEJ000879
e_gw.1017.2.1	SINLEJ008162
e_gw.102.141.1	SINLEJ001273
e_gw.102.141.1	SINLEJ010428
e_gw.102.143.1	SINLEJ004449
e_gw.1023.4.1	SINLEJ004908
e_gw.1025.3.1	SINLEJ017592
e_gw.1025.3.1	SINLEJ017736
e_gw.103.22.1	SINLEJ004468
e_gw.103.45.1	SINLEJ013902
e_gw.103.45.1	SINLEJ013901
e_gw.103.53.1	SINLEJ009772
e_gw.1030.13.1	SINLEJ004389
e_gw.1030.13.1	SINLEJ004390
e_gw.1036.3.1	SINLEJ001166
e_gw.1036.3.1	SINLEJ009481
e_gw.104.119.1	SINLEJ008550
e_gw.104.34.1	SINLEJ008681
e_gw.104.68.1	SINLEJ016363
e_gw.104.75.1	SINLEJ002691
e_gw.105.156.1	SINLEJ012656
e_gw.105.175.1	SINLEJ018617
e_gw.105.177.1	SINLEJ015002
e_gw.105.204.1	SINLEJ012699
e_gw.105.209.1	SINLEJ015976
e_gw.105.211.1	SINLEJ015031
e_gw.105.216.1	SINLEJ005881
e_gw.105.28.1	SINLEJ017241
e_gw.105.35.1	SINLEJ001935
