SINCAM006024	ENSACAP00000000005
SINCAM005854	ENSACAP00000000006
SINCAM011094	ENSACAP00000000008
SINCAM007960	ENSACAP00000000009
SINCAM007958	ENSACAP00000000010
SINCAM008019	ENSACAP00000000011
SINCAM001944	ENSACAP00000000012
SINCAM002192	ENSACAP00000000013
SINCAM002191	ENSACAP00000000014
SINCAM002188	ENSACAP00000000016
SINCAM002187	ENSACAP00000000017
SINCAM002186	ENSACAP00000000018
SINCAM005900	ENSACAP00000000019
SINCAM005901	ENSACAP00000000020
SINCAM005902	ENSACAP00000000021
SINCAM005904	ENSACAP00000000023
SINCAM005905	ENSACAP00000000025
SINCAM000759	ENSACAP00000000027
SINCAM005893	ENSACAP00000000029
SINCAM005892	ENSACAP00000000030
SINCAM005937	ENSACAP00000000031
SINCAM005989	ENSACAP00000000032
SINCAM005988	ENSACAP00000000033
SINCAM005984	ENSACAP00000000034
SINCAM006032	ENSACAP00000000035
SINCAM005919	ENSACAP00000000036
SINCAM005918	ENSACAP00000000037
SINCAM005868	ENSACAP00000000038
SINCAM015160	ENSACAP00000000040
SINCAM011608	ENSACAP00000000041
SINCAM011607	ENSACAP00000000042
SINCAM922231	ENSACAP00000000043
SINCAM922230	ENSACAP00000000044
SINCAM011605	ENSACAP00000000045
SINCAM011600	ENSACAP00000000046
SINCAM011599	ENSACAP00000000047
SINCAM011598	ENSACAP00000000050
SINCAM011595	ENSACAP00000000051
SINCAM011593	ENSACAP00000000052
SINCAM011592	ENSACAP00000000053
SINCAM011540	ENSACAP00000000054
SINCAM011541	ENSACAP00000000056
SINCAM011542	ENSACAP00000000057
SINCAM011543	ENSACAP00000000058
SINCAM011544	ENSACAP00000000059
SINCAM011545	ENSACAP00000000060
SINCAM922225	ENSACAP00000000061
SINCAM922226	ENSACAP00000000062
SINCAM011569	ENSACAP00000000063
SINCAM011570	ENSACAP00000000064
SINCAM922221	ENSACAP00000000067
SINCAM921249	ENSACAP00000000070
SINCAM922222	ENSACAP00000000072
SINCAM922223	ENSACAP00000000073
SINCAM920966	ENSACAP00000000074
SINCAM900088	ENSACAP00000000079
SINCAM016374	ENSACAP00000000081
SINCAM013066	ENSACAP00000000082
SINCAM922591	ENSACAP00000000085
SINCAM922589	ENSACAP00000000086
SINCAM013064	ENSACAP00000000087
SINCAM013860	ENSACAP00000000092
SINCAM010068	ENSACAP00000000094
SINCAM014946	ENSACAP00000000096
SINCAM013859	ENSACAP00000000097
SINCAM008140	ENSACAP00000000098
SINCAM922707	ENSACAP00000000099
SINCAM922705	ENSACAP00000000103
SINCAM013857	ENSACAP00000000104
SINCAM013856	ENSACAP00000000105
SINCAM920911	ENSACAP00000000111
SINCAM001168	ENSACAP00000000116
SINCAM008916	ENSACAP00000000118
SINCAM005438	ENSACAP00000000121
SINCAM006570	ENSACAP00000000122
SINCAM005439	ENSACAP00000000123
SINCAM002992	ENSACAP00000000124
SINCAM922725	ENSACAP00000000128
SINCAM900084	ENSACAP00000000132
SINCAM005440	ENSACAP00000000133
SINCAM002483	ENSACAP00000000134
SINCAM008138	ENSACAP00000000137
SINCAM012073	ENSACAP00000000140
SINCAM002991	ENSACAP00000000142
SINCAM002990	ENSACAP00000000144
SINCAM012074	ENSACAP00000000145
SINCAM922724	ENSACAP00000000146
SINCAM005129	ENSACAP00000000147
SINCAM002475	ENSACAP00000000148
SINCAM006109	ENSACAP00000000151
SINCAM013895	ENSACAP00000000152
SINCAM006638	ENSACAP00000000155
SINCAM008136	ENSACAP00000000156
SINCAM002484	ENSACAP00000000158
SINCAM002647	ENSACAP00000000159
SINCAM005442	ENSACAP00000000160
SINCAM008135	ENSACAP00000000161
SINCAM008134	ENSACAP00000000162
SINCAM013893	ENSACAP00000000163
SINCAM008154	ENSACAP00000000164
SINCAM002441	ENSACAP00000000166
SINCAM005443	ENSACAP00000000168
SINCAM008156	ENSACAP00000000169
SINCAM007024	ENSACAP00000000170
SINCAM008157	ENSACAP00000000171
SINCAM920923	ENSACAP00000000172
SINCAM013788	ENSACAP00000000174
SINCAM003498	ENSACAP00000000175
SINCAM012075	ENSACAP00000000177
SINCAM017233	ENSACAP00000000178
SINCAM004152	ENSACAP00000000179
SINCAM014256	ENSACAP00000000180
SINCAM008838	ENSACAP00000000181
SINCAM002999	ENSACAP00000000182
SINCAM002646	ENSACAP00000000183
SINCAM013208	ENSACAP00000000185
SINCAM923036	ENSACAP00000000186
SINCAM002672	ENSACAP00000000187
SINCAM008158	ENSACAP00000000188
SINCAM012463	ENSACAP00000000189
SINCAM002645	ENSACAP00000000190
SINCAM922709	ENSACAP00000000191
SINCAM012464	ENSACAP00000000192
SINCAM921636	ENSACAP00000000193
SINCAM921584	ENSACAP00000000194
SINCAM012467	ENSACAP00000000195
SINCAM900179	ENSACAP00000000197
SINCAM004523	ENSACAP00000000199
SINCAM921637	ENSACAP00000000200
SINCAM011333	ENSACAP00000000202
SINCAM013884	ENSACAP00000000204
SINCAM923068	ENSACAP00000000208
SINCAM014255	ENSACAP00000000209
SINCAM001416	ENSACAP00000000212
SINCAM017408	ENSACAP00000000214
SINCAM013882	ENSACAP00000000215
SINCAM013881	ENSACAP00000000218
SINCAM012468	ENSACAP00000000220
SINCAM014247	ENSACAP00000000221
SINCAM013615	ENSACAP00000000222
SINCAM014977	ENSACAP00000000223
SINCAM000806	ENSACAP00000000226
SINCAM013254	ENSACAP00000000228
SINCAM921415	ENSACAP00000000229
SINCAM008831	ENSACAP00000000232
SINCAM000807	ENSACAP00000000233
SINCAM921756	ENSACAP00000000234
SINCAM009011	ENSACAP00000000238
SINCAM003001	ENSACAP00000000239
SINCAM004525	ENSACAP00000000241
SINCAM002979	ENSACAP00000000242
SINCAM009012	ENSACAP00000000243
SINCAM012470	ENSACAP00000000245
SINCAM000174	ENSACAP00000000247
SINCAM014253	ENSACAP00000000249
SINCAM005869	ENSACAP00000000250
SINCAM004526	ENSACAP00000000251
SINCAM013207	ENSACAP00000000252
SINCAM002673	ENSACAP00000000255
SINCAM001562	ENSACAP00000000256
SINCAM921421	ENSACAP00000000257
SINCAM013206	ENSACAP00000000261
SINCAM000810	ENSACAP00000000263
SINCAM001925	ENSACAP00000000265
SINCAM003467	ENSACAP00000000266
SINCAM009955	ENSACAP00000000267
SINCAM007850	ENSACAP00000000269
SINCAM002674	ENSACAP00000000270
SINCAM001927	ENSACAP00000000271
SINCAM920711	ENSACAP00000000272
SINCAM009165	ENSACAP00000000274
SINCAM012473	ENSACAP00000000277
SINCAM012474	ENSACAP00000000281
SINCAM001930	ENSACAP00000000283
