SINLEJ016576	ENSLOCP00000000004
SINLEJ010963	ENSLOCP00000000005
SINLEJ017975	ENSLOCP00000000005
SINLEJ015736	ENSLOCP00000000006
SINLEJ010745	ENSLOCP00000000011
SINLEJ002735	ENSLOCP00000000018
SINLEJ002734	ENSLOCP00000000018
SINLEJ011718	ENSLOCP00000000020
SINLEJ002023	ENSLOCP00000000022
SINLEJ019430	ENSLOCP00000000022
SINLEJ001193	ENSLOCP00000000025
SINLEJ011999	ENSLOCP00000000025
SINLEJ015162	ENSLOCP00000000028
SINLEJ011918	ENSLOCP00000000030
SINLEJ018250	ENSLOCP00000000032
SINLEJ002085	ENSLOCP00000000032
SINLEJ011917	ENSLOCP00000000038
SINLEJ004325	ENSLOCP00000000046
SINLEJ017744	ENSLOCP00000000048
SINLEJ008274	ENSLOCP00000000050
SINLEJ011911	ENSLOCP00000000051
SINLEJ018355	ENSLOCP00000000051
SINLEJ003740	ENSLOCP00000000053
SINLEJ003695	ENSLOCP00000000057
SINLEJ013501	ENSLOCP00000000061
SINLEJ005661	ENSLOCP00000000078
SINLEJ018064	ENSLOCP00000000086
SINLEJ000140	ENSLOCP00000000087
SINLEJ010292	ENSLOCP00000000089
SINLEJ019416	ENSLOCP00000000089
SINLEJ005112	ENSLOCP00000000090
SINLEJ009735	ENSLOCP00000000099
SINLEJ014281	ENSLOCP00000000101
SINLEJ012820	ENSLOCP00000000104
SINLEJ002845	ENSLOCP00000000108
SINLEJ009941	ENSLOCP00000000111
SINLEJ009965	ENSLOCP00000000129
SINLEJ009821	ENSLOCP00000000133
SINLEJ019332	ENSLOCP00000000136
SINLEJ017807	ENSLOCP00000000144
SINLEJ002724	ENSLOCP00000000144
SINLEJ006202	ENSLOCP00000000147
SINLEJ011504	ENSLOCP00000000148
SINLEJ009957	ENSLOCP00000000162
SINLEJ000178	ENSLOCP00000000162
SINLEJ013484	ENSLOCP00000000167
SINLEJ009390	ENSLOCP00000000173
SINLEJ009388	ENSLOCP00000000173
SINLEJ009877	ENSLOCP00000000179
SINLEJ017420	ENSLOCP00000000187
SINLEJ017015	ENSLOCP00000000198
SINLEJ007058	ENSLOCP00000000208
SINLEJ009878	ENSLOCP00000000210
SINLEJ018571	ENSLOCP00000000213
SINLEJ019215	ENSLOCP00000000213
SINLEJ011776	ENSLOCP00000000226
SINLEJ017850	ENSLOCP00000000226
SINLEJ005190	ENSLOCP00000000233
SINLEJ016846	ENSLOCP00000000233
SINLEJ018285	ENSLOCP00000000236
SINLEJ016002	ENSLOCP00000000236
SINLEJ018185	ENSLOCP00000000242
SINLEJ001024	ENSLOCP00000000250
SINLEJ016862	ENSLOCP00000000253
SINLEJ007623	ENSLOCP00000000253
SINLEJ000164	ENSLOCP00000000257
SINLEJ012268	ENSLOCP00000000261
SINLEJ015374	ENSLOCP00000000263
SINLEJ014955	ENSLOCP00000000263
