SINLEJ010065	EDO25319
SINLEJ600369	EDO25321
SINLEJ005848	EDO25327
SINLEJ012460	EDO25336
SINLEJ011213	EDO25343
SINLEJ008939	EDO25345
SINLEJ003444	EDO25371
SINLEJ007708	EDO25383
SINLEJ017398	EDO25387
SINLEJ017075	EDO25390
SINLEJ019254	EDO25393
SINLEJ019321	EDO25393
SINLEJ016417	EDO25400
SINLEJ005203	EDO25416
SINLEJ017182	EDO25416
SINLEJ600251	EDO25429
SINLEJ005893	EDO25431
SINLEJ008280	EDO25440
SINLEJ019359	EDO25441
SINLEJ018751	EDO25459
SINLEJ015569	EDO25466
SINLEJ012870	EDO25495
SINLEJ007238	EDO25499
SINLEJ015673	EDO25499
SINLEJ002780	EDO25506
SINLEJ002933	EDO25518
SINLEJ015971	EDO25521
SINLEJ015790	EDO25537
SINLEJ003664	EDO25546
SINLEJ005620	EDO25553
SINLEJ015442	EDO25562
SINLEJ010687	EDO25562
SINLEJ002853	EDO25565
SINLEJ006920	EDO25565
SINLEJ015282	EDO25565
SINLEJ005256	EDO25567
SINLEJ018869	EDO25575
SINLEJ018428	EDO25607
SINLEJ010035	EDO25607
SINLEJ001384	EDO25620
SINLEJ007933	EDO25626
SINLEJ005191	EDO25628
SINLEJ016847	EDO25628
SINLEJ001643	EDO25633
SINLEJ009429	EDO25633
SINLEJ014266	EDO25642
SINLEJ008859	EDO25644
SINLEJ012173	EDO25647
SINLEJ011508	EDO25653
SINLEJ010688	EDO25662
SINLEJ015441	EDO25662
SINLEJ009597	EDO25668
SINLEJ006548	EDO25671
SINLEJ006632	EDO25673
SINLEJ005534	EDO25673
SINLEJ600103	EDO25673
SINLEJ015796	EDO25674
SINLEJ006350	EDO25681
SINLEJ012740	EDO25693
SINLEJ000038	EDO25701
SINLEJ008323	EDO25703
SINLEJ007442	EDO25704
SINLEJ002711	EDO25732
SINLEJ013847	EDO25754
SINLEJ007606	EDO25756
SINLEJ018944	EDO25767
SINLEJ000138	EDO25767
SINLEJ016517	EDO25799
SINLEJ003112	EDO25800
SINLEJ017577	EDO25800
SINLEJ016460	EDO25823
SINLEJ007440	EDO25869
SINLEJ010679	EDO25870
SINLEJ019270	EDO25873
SINLEJ003831	EDO25873
SINLEJ012150	EDO25890
SINLEJ003027	EDO25920
SINLEJ000765	EDO25925
SINLEJ000644	EDO25925
SINLEJ001190	EDO25925
SINLEJ007028	EDO25928
SINLEJ007509	EDO25932
SINLEJ018039	EDO25936
SINLEJ014478	EDO25939
SINLEJ005683	EDO25948
SINLEJ003086	EDO25971
SINLEJ016504	EDO25983
SINLEJ600276	EDO26018
SINLEJ005070	EDO26022
SINLEJ007459	EDO26034
SINLEJ003230	EDO26040
SINLEJ004460	EDO26042
SINLEJ015065	EDO26048
SINLEJ009461	EDO26052
SINLEJ008642	EDO26062
SINLEJ018652	EDO26067
SINLEJ010000	EDO26069
SINLEJ016939	EDO26089
SINLEJ008224	EDO26089
SINLEJ003700	EDO26090
SINLEJ005419	EDO26107
SINLEJ008952	EDO26113
SINLEJ004769	EDO26116
SINLEJ004767	EDO26116
SINLEJ004764	EDO26116
SINLEJ004766	EDO26116
SINLEJ001512	EDO26146
SINLEJ014210	EDO26149
SINLEJ012179	EDO26151
SINLEJ016509	EDO26154
SINLEJ004179	EDO26175
SINLEJ007731	EDO26180
SINLEJ018738	EDO26185
SINLEJ013045	EDO26186
SINLEJ011363	EDO26218
SINLEJ011703	EDO26227
SINLEJ019243	EDO26244
SINLEJ010841	EDO26260
SINLEJ019214	EDO26281
SINLEJ004330	EDO26294
SINLEJ009847	EDO26294
SINLEJ014820	EDO26298
SINLEJ000717	EDO26317
SINLEJ008977	EDO26318
SINLEJ003393	EDO26320
SINLEJ013876	EDO26320
SINLEJ014526	EDO26327
SINLEJ015744	EDO26332
SINLEJ014673	EDO26349
SINLEJ016419	EDO26353
SINLEJ013345	EDO26355
SINLEJ013346	EDO26355
SINLEJ013348	EDO26355
SINLEJ013349	EDO26355
SINLEJ007820	EDO26360
SINLEJ012648	EDO26366
SINLEJ016468	EDO26384
SINLEJ009610	EDO26384
SINLEJ006882	EDO26406
SINLEJ015244	EDO26406
SINLEJ006881	EDO26406
SINLEJ015243	EDO26406
SINLEJ013494	EDO26410
SINLEJ012767	EDO26410
SINLEJ013596	EDO26415
SINLEJ003060	EDO26426
SINLEJ016167	EDO26436
SINLEJ008193	EDO26438
SINLEJ014645	EDO26443
SINLEJ012340	EDO26444
SINLEJ010885	EDO26451
SINLEJ009782	EDO26464
SINLEJ015575	EDO26466
SINLEJ001974	EDO26480
SINLEJ017922	EDO26481
SINLEJ015752	EDO26507
SINLEJ009578	EDO26533
SINLEJ018798	EDO26552
SINLEJ016342	EDO26552
SINLEJ014587	EDO26564
SINLEJ007342	EDO26570
SINLEJ002837	EDO26575
SINLEJ004564	EDO26590
SINLEJ007678	EDO26649
SINLEJ007679	EDO26649
SINLEJ007680	EDO26649
SINLEJ008281	EDO26650
SINLEJ011448	EDO26650
SINLEJ013882	EDO26658
SINLEJ000424	EDO26662
SINLEJ005498	EDO26667
SINLEJ006649	EDO26680
SINLEJ018085	EDO26685
SINLEJ003355	EDO26719
SINLEJ600305	EDO26719
SINLEJ008366	EDO26727
SINLEJ012992	EDO26759
SINLEJ002996	EDO26770
SINLEJ004021	EDO26770
SINLEJ006427	EDO26785
SINLEJ016860	EDO26819
SINLEJ016782	EDO26824
SINLEJ018508	EDO26824
SINLEJ008485	EDO26829
SINLEJ015561	EDO26832
SINLEJ001883	EDO26849
SINLEJ600001	EDO26857
SINLEJ018417	EDO26861
SINLEJ003292	EDO26875
SINLEJ014046	EDO26879
SINLEJ012526	EDO26879
SINLEJ014591	EDO26879
SINLEJ018284	EDO26879
SINLEJ001181	EDO26885
SINLEJ010684	EDO26894
SINLEJ012204	EDO26902
SINLEJ018346	EDO26908
SINLEJ018348	EDO26908
SINLEJ006476	EDO26909
SINLEJ003012	EDO26909
SINLEJ016893	EDO26909
SINLEJ011017	EDO26909
SINLEJ011569	EDO26921
SINLEJ000256	EDO26927
SINLEJ009883	EDO26933
SINLEJ012022	EDO26953
SINLEJ018400	EDO26963
SINLEJ005563	EDO26972
SINLEJ000090	EDO26980
SINLEJ008823	EDO26992
SINLEJ600047	EDO27017
SINLEJ011828	EDO27021
SINLEJ013570	EDO27024
SINLEJ011239	EDO27025
SINLEJ008765	EDO27025
SINLEJ001202	EDO27045
SINLEJ001069	EDO27065
SINLEJ003964	EDO27071
SINLEJ004367	EDO27075
SINLEJ013691	EDO27077
SINLEJ007841	EDO27079
SINLEJ009264	EDO27102
SINLEJ013993	EDO27102
SINLEJ014621	EDO27111
SINLEJ000791	EDO27112
SINLEJ006113	EDO27112
SINLEJ017770	EDO27115
SINLEJ015349	EDO27116
SINLEJ600040	EDO27116
SINLEJ013859	EDO27116
SINLEJ012474	EDO27141
SINLEJ010029	EDO27141
SINLEJ016027	EDO27152
SINLEJ016028	EDO27152
SINLEJ019351	EDO27156
SINLEJ009183	EDO27161
SINLEJ013119	EDO27161
SINLEJ010465	EDO27163
SINLEJ012381	EDO27169
SINLEJ000535	EDO27241
SINLEJ017852	EDO27251
SINLEJ015713	EDO27253
SINLEJ011766	EDO27257
SINLEJ013311	EDO27257
SINLEJ014800	EDO27257
SINLEJ002950	EDO27257
SINLEJ017506	EDO27274
SINLEJ000490	EDO27285
SINLEJ007754	EDO27285
SINLEJ000736	EDO27295
SINLEJ001277	EDO27295
SINLEJ010936	EDO27296
SINLEJ000782	EDO27299
SINLEJ008791	EDO27302
SINLEJ008663	EDO27303
SINLEJ010759	EDO27331
SINLEJ003663	EDO27331
SINLEJ002957	EDO27335
SINLEJ004836	EDO27335
SINLEJ006457	EDO27335
SINLEJ019041	EDO27348
SINLEJ005353	EDO27350
SINLEJ009275	EDO27353
SINLEJ017372	EDO27366
SINLEJ017822	EDO27366
SINLEJ003981	EDO27372
SINLEJ016421	EDO27386
SINLEJ008841	EDO27387
SINLEJ015087	EDO27408
SINLEJ010384	EDO27411
SINLEJ005274	EDO27415
SINLEJ000277	EDO27416
SINLEJ600056	EDO27430
SINLEJ008533	EDO27464
SINLEJ004276	EDO27472
SINLEJ007899	EDO27474
SINLEJ014483	EDO27481
SINLEJ006454	EDO27481
SINLEJ000498	EDO27481
SINLEJ010921	EDO27481
SINLEJ009439	EDO27492
SINLEJ009438	EDO27492
SINLEJ014788	EDO27494
SINLEJ011632	EDO27509
SINLEJ016163	EDO27514
SINLEJ004515	EDO27517
SINLEJ005210	EDO27524
SINLEJ017177	EDO27524
SINLEJ016792	EDO27525
SINLEJ016791	EDO27525
SINLEJ013326	EDO27532
SINLEJ005777	EDO27548
SINLEJ019200	EDO27548
SINLEJ009352	EDO27563
SINLEJ013034	EDO27570
SINLEJ013039	EDO27570
SINLEJ015658	EDO27574
SINLEJ016900	EDO27582
SINLEJ011985	EDO27588
SINLEJ017752	EDO27592
SINLEJ014890	EDO27598
SINLEJ007688	EDO27623
SINLEJ016593	EDO27628
SINLEJ002161	EDO27635
SINLEJ010052	EDO27650
SINLEJ000188	EDO27661
SINLEJ018030	EDO27663
SINLEJ010782	EDO27673
SINLEJ008329	EDO27699
SINLEJ018654	EDO27699
SINLEJ016359	EDO27705
SINLEJ008427	EDO27705
SINLEJ014073	EDO27707
SINLEJ012333	EDO27708
SINLEJ015555	EDO27708
SINLEJ010155	EDO27708
SINLEJ004647	EDO27720
SINLEJ018807	EDO27720
SINLEJ003852	EDO27723
SINLEJ004284	EDO27731
SINLEJ016862	EDO27758
SINLEJ007623	EDO27758
SINLEJ009416	EDO27760
SINLEJ005165	EDO27772
SINLEJ016221	EDO27772
SINLEJ016433	EDO27777
SINLEJ003843	EDO27778
SINLEJ003842	EDO27778
SINLEJ018415	EDO27779
SINLEJ016602	EDO27804
SINLEJ017787	EDO27816
SINLEJ017788	EDO27816
SINLEJ000069	EDO27816
SINLEJ014993	EDO27819
SINLEJ002849	EDO27820
SINLEJ003804	EDO27822
SINLEJ008596	EDO27822
SINLEJ600015	EDO27824
SINLEJ006766	EDO27829
SINLEJ003233	EDO27839
SINLEJ012702	EDO27840
SINLEJ012118	EDO27846
SINLEJ003432	EDO27849
SINLEJ010716	EDO27856
SINLEJ000608	EDO27856
SINLEJ016706	EDO27862
SINLEJ011178	EDO27862
SINLEJ011587	EDO27867
SINLEJ010009	EDO27896
SINLEJ007121	EDO27902
SINLEJ017703	EDO27902
SINLEJ005401	EDO27908
SINLEJ011940	EDO27910
SINLEJ003224	EDO27912
SINLEJ009569	EDO27919
SINLEJ017349	EDO27921
SINLEJ018929	EDO27923
SINLEJ005286	EDO27933
SINLEJ011281	EDO27940
SINLEJ005980	EDO27941
SINLEJ015832	EDO27959
SINLEJ008003	EDO27959
SINLEJ008007	EDO27959
SINLEJ006155	EDO27959
SINLEJ004555	EDO27963
SINLEJ000342	EDO27973
SINLEJ009871	EDO27976
SINLEJ600092	EDO27976
SINLEJ007385	EDO27985
SINLEJ015044	EDO27989
SINLEJ018276	EDO27996
SINLEJ018356	EDO27996
SINLEJ018749	EDO27996
SINLEJ001446	EDO27997
SINLEJ008461	EDO27997
SINLEJ600094	EDO27999
SINLEJ003276	EDO27999
SINLEJ011793	EDO28002
SINLEJ012311	EDO28009
SINLEJ017717	EDO28045
SINLEJ008504	EDO28064
SINLEJ017509	EDO28065
SINLEJ004578	EDO28068
SINLEJ012972	EDO28070
SINLEJ013261	EDO28095
SINLEJ015232	EDO28096
SINLEJ016273	EDO28097
SINLEJ017598	EDO28097
SINLEJ006638	EDO28098
SINLEJ005794	EDO28098
SINLEJ007863	EDO28101
SINLEJ600264	EDO28105
SINLEJ003385	EDO28105
SINLEJ018999	EDO28110
SINLEJ000062	EDO28118
SINLEJ014660	EDO28120
SINLEJ005781	EDO28121
SINLEJ004294	EDO28126
SINLEJ016885	EDO28127
SINLEJ000270	EDO28141
SINLEJ004189	EDO28144
SINLEJ013060	EDO28158
SINLEJ001427	EDO28165
SINLEJ010581	EDO28178
SINLEJ600185	EDO28178
SINLEJ016242	EDO28185
SINLEJ006162	EDO28192
SINLEJ018748	EDO28199
SINLEJ017666	EDO28199
SINLEJ018553	EDO28199
SINLEJ019075	EDO28199
