ENSGALP00000000003	SINLEJ012925
ENSGALP00000000018	SINLEJ000945
ENSGALP00000000025	SINLEJ006610
ENSGALP00000000025	SINLEJ010555
ENSGALP00000000050	SINLEJ008916
ENSGALP00000000050	SINLEJ008918
ENSGALP00000000052	SINLEJ002867
ENSGALP00000000054	SINLEJ015804
ENSGALP00000000058	SINLEJ002751
ENSGALP00000000058	SINLEJ009110
ENSGALP00000000070	SINLEJ010592
ENSGALP00000000070	SINLEJ006651
ENSGALP00000000076	SINLEJ008269
ENSGALP00000000076	SINLEJ008266
ENSGALP00000000083	SINLEJ016535
ENSGALP00000000083	SINLEJ015552
ENSGALP00000000088	SINLEJ007362
ENSGALP00000000091	SINLEJ018419
ENSGALP00000000096	SINLEJ008677
ENSGALP00000000102	SINLEJ006839
ENSGALP00000000102	SINLEJ006838
ENSGALP00000000114	SINLEJ006603
ENSGALP00000000114	SINLEJ010685
ENSGALP00000000122	SINLEJ007410
ENSGALP00000000122	SINLEJ015774
ENSGALP00000000127	SINLEJ013448
ENSGALP00000000127	SINLEJ013447
ENSGALP00000000131	SINLEJ007261
ENSGALP00000000131	SINLEJ010206
ENSGALP00000000135	SINLEJ010687
ENSGALP00000000135	SINLEJ015442
ENSGALP00000000140	SINLEJ017542
ENSGALP00000000144	SINLEJ009592
ENSGALP00000000146	SINLEJ008937
ENSGALP00000000146	SINLEJ016609
ENSGALP00000000148	SINLEJ016667
ENSGALP00000000148	SINLEJ016627
ENSGALP00000000157	SINLEJ005682
ENSGALP00000000160	SINLEJ005421
ENSGALP00000000168	SINLEJ015543
ENSGALP00000000170	SINLEJ015422
ENSGALP00000000170	SINLEJ010703
ENSGALP00000000189	SINLEJ016148
ENSGALP00000000204	SINLEJ017194
ENSGALP00000000205	SINLEJ006207
ENSGALP00000000205	SINLEJ006206
ENSGALP00000000206	SINLEJ000443
ENSGALP00000000211	SINLEJ016684
ENSGALP00000000211	SINLEJ016685
ENSGALP00000000216	SINLEJ008982
ENSGALP00000000216	SINLEJ012923
ENSGALP00000000220	SINLEJ006589
ENSGALP00000000220	SINLEJ010534
ENSGALP00000000224	SINLEJ006588
ENSGALP00000000239	SINLEJ003912
ENSGALP00000000239	SINLEJ000482
ENSGALP00000000246	SINLEJ012794
ENSGALP00000000252	SINLEJ017350
ENSGALP00000000252	SINLEJ017354
ENSGALP00000000256	SINLEJ011747
ENSGALP00000000260	SINLEJ010536
ENSGALP00000000261	SINLEJ009273
ENSGALP00000000266	SINLEJ600415
ENSGALP00000000272	SINLEJ006611
ENSGALP00000000275	SINLEJ012803
ENSGALP00000000275	SINLEJ012802
ENSGALP00000000286	SINLEJ013228
ENSGALP00000000286	SINLEJ007656
ENSGALP00000000293	SINLEJ012941
ENSGALP00000000295	SINLEJ012939
ENSGALP00000000295	SINLEJ012940
ENSGALP00000000309	SINLEJ001014
ENSGALP00000000312	SINLEJ012936
ENSGALP00000000322	SINLEJ018598
ENSGALP00000000325	SINLEJ008979
ENSGALP00000000325	SINLEJ008980
ENSGALP00000000327	SINLEJ003088
ENSGALP00000000333	SINLEJ003910
ENSGALP00000000333	SINLEJ000621
ENSGALP00000000337	SINLEJ001058
ENSGALP00000000337	SINLEJ001060
ENSGALP00000000338	SINLEJ002691
ENSGALP00000000351	SINLEJ013884
ENSGALP00000000351	SINLEJ003317
ENSGALP00000000352	SINLEJ018332
ENSGALP00000000358	SINLEJ014188
ENSGALP00000000361	SINLEJ008092
ENSGALP00000000364	SINLEJ003939
ENSGALP00000000365	SINLEJ015142
ENSGALP00000000368	SINLEJ012875
ENSGALP00000000368	SINLEJ003940
ENSGALP00000000373	SINLEJ014615
ENSGALP00000000379	SINLEJ014616
ENSGALP00000000383	SINLEJ017929
ENSGALP00000000383	SINLEJ018216
ENSGALP00000000384	SINLEJ002150
ENSGALP00000000384	SINLEJ000713
ENSGALP00000000385	SINLEJ017970
ENSGALP00000000385	SINLEJ016816
ENSGALP00000000387	SINLEJ017008
ENSGALP00000000387	SINLEJ000850
ENSGALP00000000392	SINLEJ017578
ENSGALP00000000392	SINLEJ003111
ENSGALP00000000400	SINLEJ016575
ENSGALP00000000400	SINLEJ016193
ENSGALP00000000403	SINLEJ003073
ENSGALP00000000403	SINLEJ003068
ENSGALP00000000406	SINLEJ003926
ENSGALP00000000410	SINLEJ013287
ENSGALP00000000410	SINLEJ007454
ENSGALP00000000412	SINLEJ004295
ENSGALP00000000416	SINLEJ014583
ENSGALP00000000416	SINLEJ014584
ENSGALP00000000418	SINLEJ016188
ENSGALP00000000418	SINLEJ017536
