ENSGALP00000038461	fgenesh2_pg.scaffold_351000043
ENSGALP00000024751	fgenesh2_pg.scaffold_352000001
ENSGALP00000024874	fgenesh2_pg.scaffold_352000005
ENSGALP00000027468	fgenesh2_pg.scaffold_353000014
ENSGALP00000009066	fgenesh2_pg.scaffold_353000019
ENSGALP00000041283	fgenesh2_pg.scaffold_353000019
ENSGALP00000015219	fgenesh2_pg.scaffold_353000041
ENSGALP00000024658	fgenesh2_pg.scaffold_355000001
ENSGALP00000013682	fgenesh2_pg.scaffold_355000016
ENSGALP00000007576	fgenesh2_pg.scaffold_355000037
ENSGALP00000022076	fgenesh2_pg.scaffold_355000054
ENSGALP00000041688	fgenesh2_pg.scaffold_357000004
ENSGALP00000018742	fgenesh2_pg.scaffold_357000018
ENSGALP00000042423	fgenesh2_pg.scaffold_358000032
ENSGALP00000027374	fgenesh2_pg.scaffold_359000018
ENSGALP00000001839	fgenesh2_pg.scaffold_359000028
ENSGALP00000017327	fgenesh2_pg.scaffold_359000049
ENSGALP00000004854	fgenesh2_pg.scaffold_360000041
ENSGALP00000025970	fgenesh2_pg.scaffold_360000052
ENSGALP00000007125	fgenesh2_pg.scaffold_361000015
ENSGALP00000038158	fgenesh2_pg.scaffold_361000021
ENSGALP00000035708	fgenesh2_pg.scaffold_361000021
ENSGALP00000043065	fgenesh2_pg.scaffold_361000032
ENSGALP00000010136	fgenesh2_pg.scaffold_361000038
ENSGALP00000024602	fgenesh2_pg.scaffold_362000008
ENSGALP00000020510	fgenesh2_pg.scaffold_363000007
ENSGALP00000037985	fgenesh2_pg.scaffold_363000011
ENSGALP00000032946	fgenesh2_pg.scaffold_363000022
ENSGALP00000013126	fgenesh2_pg.scaffold_363000036
ENSGALP00000024862	fgenesh2_pg.scaffold_364000023
ENSGALP00000041320	fgenesh2_pg.scaffold_364000027
ENSGALP00000030606	fgenesh2_pg.scaffold_364000030
ENSGALP00000043400	fgenesh2_pg.scaffold_364000050
ENSGALP00000011863	fgenesh2_pg.scaffold_364000053
ENSGALP00000004524	fgenesh2_pg.scaffold_365000002
ENSGALP00000042113	fgenesh2_pg.scaffold_365000027
ENSGALP00000028982	fgenesh2_pg.scaffold_367000002
ENSGALP00000037682	fgenesh2_pg.scaffold_367000018
ENSGALP00000004545	fgenesh2_pg.scaffold_367000027
ENSGALP00000004707	fgenesh2_pg.scaffold_369000015
ENSGALP00000025280	fgenesh2_pg.scaffold_371000007
ENSGALP00000018565	fgenesh2_pg.scaffold_371000020
ENSGALP00000019882	fgenesh2_pg.scaffold_371000045
ENSGALP00000026566	fgenesh2_pg.scaffold_371000045
ENSGALP00000012915	fgenesh2_pg.scaffold_371000053
ENSGALP00000016165	fgenesh2_pg.scaffold_371000061
ENSGALP00000024190	fgenesh2_pg.scaffold_372000006
ENSGALP00000041107	fgenesh2_pg.scaffold_373000026
ENSGALP00000018109	fgenesh2_pg.scaffold_374000029
ENSGALP00000002315	fgenesh2_pg.scaffold_374000029
ENSGALP00000007890	fgenesh2_pg.scaffold_374000042
ENSGALP00000004398	fgenesh2_pg.scaffold_374000042
ENSGALP00000022778	fgenesh2_pg.scaffold_375000002
ENSGALP00000039313	fgenesh2_pg.scaffold_375000019
ENSGALP00000039334	fgenesh2_pg.scaffold_376000007
ENSGALP00000040508	fgenesh2_pg.scaffold_376000054
ENSGALP00000020171	fgenesh2_pg.scaffold_376000057
ENSGALP00000043426	fgenesh2_pg.scaffold_377000001
ENSGALP00000024966	fgenesh2_pg.scaffold_377000020
ENSGALP00000026863	fgenesh2_pg.scaffold_377000035
ENSGALP00000017601	fgenesh2_pg.scaffold_378000028
ENSGALP00000016038	fgenesh2_pg.scaffold_378000047
ENSGALP00000036053	fgenesh2_pg.scaffold_379000006
ENSGALP00000026524	fgenesh2_pg.scaffold_379000013
ENSGALP00000013090	fgenesh2_pg.scaffold_379000018
ENSGALP00000024183	fgenesh2_pg.scaffold_380000008
ENSGALP00000026687	fgenesh2_pg.scaffold_380000036
ENSGALP00000036997	fgenesh2_pg.scaffold_380000036
ENSGALP00000043101	fgenesh2_pg.scaffold_381000020
ENSGALP00000005229	fgenesh2_pg.scaffold_381000020
ENSGALP00000005219	fgenesh2_pg.scaffold_381000021
ENSGALP00000042167	fgenesh2_pg.scaffold_381000034
ENSGALP00000024611	fgenesh2_pg.scaffold_382000006
ENSGALP00000012144	fgenesh2_pg.scaffold_382000007
ENSGALP00000022186	fgenesh2_pg.scaffold_382000022
ENSGALP00000042445	fgenesh2_pg.scaffold_382000045
ENSGALP00000000541	fgenesh2_pg.scaffold_383000011
ENSGALP00000021053	fgenesh2_pg.scaffold_383000020
ENSGALP00000042595	fgenesh2_pg.scaffold_384000004
ENSGALP00000015257	fgenesh2_pg.scaffold_384000024
ENSGALP00000004048	fgenesh2_pg.scaffold_384000024
ENSGALP00000007042	fgenesh2_pg.scaffold_384000039
ENSGALP00000015844	fgenesh2_pg.scaffold_384000041
ENSGALP00000006654	fgenesh2_pg.scaffold_384000041
ENSGALP00000035062	fgenesh2_pg.scaffold_385000013
ENSGALP00000001014	fgenesh2_pg.scaffold_385000014
ENSGALP00000025846	fgenesh2_pg.scaffold_385000017
ENSGALP00000020367	fgenesh2_pg.scaffold_386000031
ENSGALP00000025956	fgenesh2_pg.scaffold_386000031
ENSGALP00000036802	fgenesh2_pg.scaffold_386000031
ENSGALP00000009799	fgenesh2_pg.scaffold_386000031
ENSGALP00000043333	fgenesh2_pg.scaffold_386000031
ENSGALP00000034553	fgenesh2_pg.scaffold_386000032
ENSGALP00000022844	fgenesh2_pg.scaffold_386000033
ENSGALP00000039638	fgenesh2_pg.scaffold_386000033
ENSGALP00000034250	fgenesh2_pg.scaffold_388000032
ENSGALP00000022151	fgenesh2_pg.scaffold_388000033
ENSGALP00000025623	fgenesh2_pg.scaffold_389000024
