ENSTGUP00000010909	ENSTGUP00000008898
ENSTGUP00000008898	ENSTGUP00000010909
ENSTGUP00000010401	ENSTGUP00000005020
ENSTGUP00000005020	ENSTGUP00000010401
ENSTGUP00000007673	ENSTGUP00000011252
ENSTGUP00000011252	ENSTGUP00000007673
ENSTGUP00000005191	ENSTGUP00000005389
ENSTGUP00000005389	ENSTGUP00000005191
ENSTGUP00000007828	ENSTGUP00000003676
ENSTGUP00000003676	ENSTGUP00000007828
ENSTGUP00000002319	ENSTGUP00000011474
ENSTGUP00000011474	ENSTGUP00000002319
ENSTGUP00000012847	ENSTGUP00000000909
ENSTGUP00000000909	ENSTGUP00000012847
ENSTGUP00000003862	ENSTGUP00000003819
ENSTGUP00000003819	ENSTGUP00000003862
ENSTGUP00000000526	ENSTGUP00000001700
ENSTGUP00000001700	ENSTGUP00000000526
ENSTGUP00000000526	ENSTGUP00000004420
ENSTGUP00000004420	ENSTGUP00000000526
ENSTGUP00000000526	ENSTGUP00000001695
ENSTGUP00000001695	ENSTGUP00000000526
ENSTGUP00000000526	ENSTGUP00000014583
ENSTGUP00000014583	ENSTGUP00000000526
ENSTGUP00000001700	ENSTGUP00000004420
ENSTGUP00000004420	ENSTGUP00000001700
ENSTGUP00000001700	ENSTGUP00000001695
ENSTGUP00000001695	ENSTGUP00000001700
ENSTGUP00000001700	ENSTGUP00000014583
ENSTGUP00000014583	ENSTGUP00000001700
ENSTGUP00000004420	ENSTGUP00000001695
ENSTGUP00000001695	ENSTGUP00000004420
ENSTGUP00000004420	ENSTGUP00000014583
ENSTGUP00000014583	ENSTGUP00000004420
ENSTGUP00000001695	ENSTGUP00000014583
ENSTGUP00000014583	ENSTGUP00000001695
ENSTGUP00000002205	ENSTGUP00000010714
ENSTGUP00000010714	ENSTGUP00000002205
ENSTGUP00000006737	ENSTGUP00000002510
ENSTGUP00000002510	ENSTGUP00000006737
ENSTGUP00000009884	ENSTGUP00000000010
ENSTGUP00000000010	ENSTGUP00000009884
ENSTGUP00000009884	ENSTGUP00000001025
ENSTGUP00000001025	ENSTGUP00000009884
ENSTGUP00000000010	ENSTGUP00000001025
ENSTGUP00000001025	ENSTGUP00000000010
ENSTGUP00000006567	ENSTGUP00000003388
ENSTGUP00000003388	ENSTGUP00000006567
